"uri","movie","year","star"
"http://dbpedia.org/resource/Breakfast_at_Tiffany's_(film)","Breakfast at Tiffany's (film)","1961 films","Audrey Hepburn"
"http://dbpedia.org/resource/12_Monkeys","12 Monkeys","1995 films","Brad Pitt"
"http://dbpedia.org/resource/Beautiful_Girls_(film)","Beautiful Girls (film)","1996 films","Natalie Portman"
"http://dbpedia.org/resource/Anywhere_but_Here_(film)","Anywhere but Here (film)","1999 films","Natalie Portman"
"http://dbpedia.org/resource/Anne_of_the_Thousand_Days","Anne of the Thousand Days","1969 films","Richard Burton"
"http://dbpedia.org/resource/Beautiful_Girls_(film)","Beautiful Girls (film)","1996 films","Rosie O'Donnell"
"http://dbpedia.org/resource/Black_Narcissus","Black Narcissus","1947 films","Jean Simmons"
"http://dbpedia.org/resource/Armageddon_(1998_film)","Armageddon (1998 film)","1998 films","Steve Buscemi"
"http://dbpedia.org/resource/Animal_Crackers_(1930_film)","Animal Crackers (1930 film)","1930 films","Zeppo Marx"
"http://dbpedia.org/resource/Armageddon_(1998_film)","Armageddon (1998 film)","1998 films","Keith David"
"http://dbpedia.org/resource/Anne_of_the_Thousand_Days","Anne of the Thousand Days","1969 films","Geneviève Bujold"
"http://dbpedia.org/resource/Armageddon_(1998_film)","Armageddon (1998 film)","1998 films","Will Patton"
"http://dbpedia.org/resource/Armageddon_(1998_film)","Armageddon (1998 film)","1998 films","Billy Bob Thornton"
"http://dbpedia.org/resource/Breakfast_at_Tiffany's_(film)","Breakfast at Tiffany's (film)","1961 films","George Peppard"
"http://dbpedia.org/resource/Animal_Crackers_(1930_film)","Animal Crackers (1930 film)","1930 films","Groucho Marx"
"http://dbpedia.org/resource/Beautiful_Girls_(film)","Beautiful Girls (film)","1996 films","Mira Sorvino"
"http://dbpedia.org/resource/Beautiful_Girls_(film)","Beautiful Girls (film)","1996 films","Michael Rapaport"
"http://dbpedia.org/resource/Beautiful_Girls_(film)","Beautiful Girls (film)","1996 films","Matt Dillon"
"http://dbpedia.org/resource/Breakfast_at_Tiffany's_(film)","Breakfast at Tiffany's (film)","1961 films","Patricia Neal"
"http://dbpedia.org/resource/12_Monkeys","12 Monkeys","1995 films","Madeleine Stowe"
"http://dbpedia.org/resource/12_Monkeys","12 Monkeys","1995 films","Bruce Willis"
"http://dbpedia.org/resource/Armageddon_(1998_film)","Armageddon (1998 film)","1998 films","Bruce Willis"
"http://dbpedia.org/resource/Black_Narcissus","Black Narcissus","1947 films","Deborah Kerr"
"http://dbpedia.org/resource/Black_Narcissus","Black Narcissus","1947 films","Flora Robson"
"http://dbpedia.org/resource/Beautiful_Girls_(film)","Beautiful Girls (film)","1996 films","Martha Plimpton"
"http://dbpedia.org/resource/Anywhere_but_Here_(film)","Anywhere but Here (film)","1999 films","Susan Sarandon"
