	114	115
r11.able.j.00001	1	1
r11.able.j.00003	1	1
r11.able.j.00004	1	1
r11.able.j.00005	1	1
r11.able.j.00006	1	1
r11.able.j.00007	1	1
r11.able.j.00008	1	1
r11.able.j.00009	1	1
r11.able.j.00010	1	1
r11.able.j.00012	1	1
r11.able.j.00013	1	1
r11.able.j.00014	1	1
r11.able.j.00015	1	1
r11.able.j.00016	1	1
r11.able.j.00017	1	1
r11.able.j.00018	1	1
r11.able.j.00019	1	1
r11.able.j.00020	1	1
r11.able.j.00021	1	1
r11.able.j.00022	1	1
r11.able.j.00023	1	3
r11.able.j.00024	3	3
r11.able.j.00025	1	1
r11.able.j.00026	1	1
r11.able.j.00027	1	1
r11.able.j.00028	1	1
r11.able.j.00029	3	1
r11.able.j.00030	1	1
r11.able.j.00031	1	1
r11.able.j.00032	1	1
r11.able.j.00034	1	1
r11.able.j.00035	1	1
r11.able.j.00036	1	1
r11.able.j.00037	1	1
r11.able.j.00039	1	1
r11.able.j.00040	2	4
r11.able.j.00041	1	1
r11.able.j.00042	1	1
r11.able.j.00043	3	1
r11.able.j.00044	1	1
r11.able.j.00045	1	1
r11.able.j.00047	1	1
r11.able.j.00048	1	1
r11.able.j.00049	1	1
r11.able.j.00051	1	1
r11.able.j.00052	1	1
r11.able.j.00053	1	1
r11.able.j.00054	1	1
r11.able.j.00055	1	1
r11.able.j.00056	1	1
r11.able.j.00057	1	1
r11.able.j.00058	1	1
r11.able.j.00059	1	1
r11.able.j.00060	1	1
r11.able.j.00061	1	1
r11.able.j.00062	1	1
r11.able.j.00063	1	1
r11.able.j.00064	1	1
r11.able.j.00065	1	1
r11.able.j.00066	1	1
r11.able.j.00067	1	1
r11.able.j.00068	1	1
r11.able.j.00069	1	1
r11.able.j.00070	1	1
r11.able.j.00071	3	1
r11.able.j.00072	3	1
r11.able.j.00073	3	1
r11.able.j.00074	1	1
r11.able.j.00075	1	1
r11.able.j.00076	1	1
r11.able.j.00077	1	1
r11.able.j.00078	1	1
r11.able.j.00079	1	1
r11.able.j.00080	1	1
r11.able.j.00081	1	1
r11.able.j.00082	1	1
r11.able.j.00083	1	3
r11.able.j.00084	1	3
r11.able.j.00086	1	1
r11.able.j.00087	1	1
r11.able.j.00089	1	1
r11.able.j.00090	3	1
r11.able.j.00091	1	1
r11.able.j.00092	1	1
r11.able.j.00093	3	1
r11.able.j.00094	1	1
r11.able.j.00095	1	1
r11.able.j.00096	1	1
r11.able.j.00097	1	1
r11.able.j.00098	1	1
r11.able.j.00099	3	3
r11.able.j.00100	1	1
r11.able.j.00101	1	1
r11.able.j.00102	1	1
r11.able.j.00103	1	1
