	114	115
r11.absence.n.00996	1	1
r11.absence.n.00997	1	1
r11.absence.n.00998	1	1
r11.absence.n.00999	1	1
r11.absence.n.01000	1	1
r11.absence.n.01001	1	1
r11.absence.n.01002	1	1
r11.absence.n.01003	1	1
r11.absence.n.01004	1	1
r11.absence.n.01005	1	1
r11.absence.n.01006	1	1
r11.absence.n.01007	1	1
r11.absence.n.01008	46	46
r11.absence.n.01009	1	1
r11.absence.n.01010	1	1
r11.absence.n.01011	1	1
r11.absence.n.01030	1	1
r11.absence.n.01033	3	1
r11.absence.n.01037	1	1
r11.absence.n.01038	1	1
r11.absence.n.01056	3	3
r11.absence.n.01061	1	1
r11.absence.n.01076	1	1
r11.absence.n.01079	1	1
r11.absence.n.01088	1	1
r11.absence.n.01094	1	1
r11.absence.n.01098	44	1
r11.absence.n.01099	1	1
r11.absence.n.01111	2	1
r11.absence.n.01127	1	1
r11.absence.n.01129	3	3
r11.absence.n.01144	1	1
r11.absence.n.01151	1	1
r11.absence.n.01172	1	1
r11.absence.n.01189	1	1
r11.absence.n.01198	1	1
r11.absence.n.01221	1	1
r11.absence.n.01240	1	1
r11.absence.n.01247	1	1
r11.absence.n.01259	1	1
r11.absence.n.01266	1	1
r11.absence.n.01268	1	1
r11.absence.n.01284	1	1
r11.absence.n.01317	1	1
r11.absence.n.01321	1	1
r11.absence.n.01323	1	1
r11.absence.n.01387	1	1
r11.absence.n.01391	1	1
r11.absence.n.01408	1	1
r11.absence.n.01426	1	1
r11.absence.n.01433	1	1
r11.absence.n.01434	1	1
r11.absence.n.01439	1	1
r11.absence.n.01460	1	1
r11.absence.n.01487	1	1
r11.absence.n.01490	1	1
r11.absence.n.01493	1	1
r11.absence.n.01507	1	1
r11.absence.n.01537	1	1
r11.absence.n.01552	1	1
r11.absence.n.01606	1	1
r11.absence.n.01610	1	1
r11.absence.n.01614	1	1
r11.absence.n.01618	1	1
r11.absence.n.01639	1	1
r11.absence.n.01644	1	1
r11.absence.n.01648	1	1
r11.absence.n.01649	1	1
r11.absence.n.01661	1	1
r11.absence.n.01663	1	1
r11.absence.n.01684	1	1
r11.absence.n.01686	1	1
r11.absence.n.01698	1	1
r11.absence.n.01733	1	1
r11.absence.n.01769	1	1
r11.absence.n.01794	1	1
r11.absence.n.01798	1	1
r11.absence.n.01800	1	1
r11.absence.n.01803	1	1
r11.absence.n.01815	1	1
r11.absence.n.01819	1	1
r11.absence.n.01821	1	1
r11.absence.n.01860	1	1
r11.absence.n.01862	1	1
r11.absence.n.01873	1	1
r11.absence.n.01880	1	1
r11.absence.n.01885	1	1
r11.absence.n.01912	2	2
r11.absence.n.01917	1	2
r11.absence.n.01925	1	1
r11.absence.n.01955	1	1
r11.absence.n.01959	1	1
r11.absence.n.01966	1	1
r11.absence.n.01968	1	1
r11.absence.n.01974	1	1
r11.absence.n.01982	1	1
r11.absence.n.01988	1	1
r11.absence.n.01989	1	1
r11.absence.n.01993	1	1
