round	word-pos	coders	items	values	metric	result
round-1	demolish-v	4	54	6	masi	0.81
round-1	demolish-v	4	54	6	nominal	0.80
round-1	demolish-v	4	54	6	agreement	0.90
round-1	development-n	3	73	8	masi	0.66
round-1	development-n	3	73	8	nominal	0.66
round-1	development-n	3	73	8	agreement	0.76
round-1	history-n	4	22	8	masi	0.21
round-1	history-n	4	22	8	nominal	0.21
round-1	history-n	4	22	8	agreement	0.39
round-1	influence-n	3	97	8	masi	0.19
round-1	influence-n	3	97	8	nominal	0.19
round-1	influence-n	3	97	8	agreement	0.48
round-1	launch-v	3	99	8	masi	0.64
round-1	launch-v	3	99	8	nominal	0.64
round-1	launch-v	3	99	8	agreement	0.74
round-1	legendary-j	3	100	2	masi	0.59
round-1	legendary-j	3	100	2	nominal	0.59
round-1	legendary-j	3	100	2	agreement	0.91
round-1	name-n	3	99	8	masi	0.52
round-1	name-n	3	99	8	nominal	0.52
round-1	name-n	3	99	8	agreement	0.93
round-1	order-n	3	100	15	masi	0.37
round-1	order-n	3	100	15	nominal	0.37
round-1	order-n	3	100	15	agreement	0.47
round-1	rule-v	3	98	7	masi	0.85
round-1	rule-v	3	98	7	nominal	0.85
round-1	rule-v	3	98	7	agreement	0.90
round-2	fair-j	5	99	10	masi	0.54
round-2	fair-j	5	99	10	nominal	0.54
round-2	fair-j	5	99	10	agreement	0.70
round-2	know-v	5	99	13	masi	0.38
round-2	know-v	5	99	13	nominal	0.38
round-2	know-v	5	99	13	agreement	0.52
round-2	land-n	6	98	14	masi	0.47
round-2	land-n	6	98	14	nominal	0.47
round-2	land-n	6	98	14	agreement	0.55
round-2	long-j	6	99	8	masi	0.67
round-2	long-j	6	99	8	nominal	0.67
round-2	long-j	6	99	8	agreement	0.81
round-2	quiet-j	6	100	9	masi	0.49
round-2	quiet-j	6	100	9	nominal	0.49
round-2	quiet-j	6	100	9	agreement	0.64
round-2	say-v	6	99	14	masi	0.37
round-2	say-v	6	99	14	nominal	0.37
round-2	say-v	6	99	14	agreement	0.56
round-2	show-v	5	100	13	masi	0.46
round-2	show-v	5	100	13	nominal	0.46
round-2	show-v	5	100	13	agreement	0.53
round-2	tell-v	6	74	10	masi	0.44
round-2	tell-v	6	74	10	nominal	0.44
round-2	tell-v	6	74	10	agreement	0.59
round-2	time-n	5	100	12	masi	0.56
round-2	time-n	5	100	12	nominal	0.56
round-2	time-n	5	100	12	agreement	0.63
round-2	work-n	6	24	8	masi	0.70
round-2	work-n	6	24	8	nominal	0.70
round-2	work-n	6	24	8	agreement	0.80
round-3	chance-n	5	101	13	masi	0.72
round-3	chance-n	5	101	13	nominal	0.71
round-3	chance-n	5	101	13	agreement	0.80
round-3	cool-j	5	53	12	masi	0.53
round-3	cool-j	5	53	12	nominal	0.52
round-3	cool-j	5	53	12	agreement	0.64
round-3	familiar-j	4	34	5	masi	0.62
round-3	familiar-j	4	34	5	nominal	0.55
round-3	familiar-j	4	34	5	agreement	0.69
round-3	forget-v	5	102	9	masi	0.50
