	114	115
r11.benefit.n.01995	45	45
r11.benefit.n.01996	1	1
r11.benefit.n.01997	2	2
r11.benefit.n.01998	2	2
r11.benefit.n.01999	2	2
r11.benefit.n.02000	2	2
r11.benefit.n.02001	2	2
r11.benefit.n.02002	2	2
r11.benefit.n.02003	2	2
r11.benefit.n.02004	2	2
r11.benefit.n.02005	2	2
r11.benefit.n.02006	2	2
r11.benefit.n.02007	2	2
r11.benefit.n.02008	2	2
r11.benefit.n.02009	2	2
r11.benefit.n.02010	2	2
r11.benefit.n.02011	2	2
r11.benefit.n.02012	2	2
r11.benefit.n.02013	2	2
r11.benefit.n.02014	2	2
r11.benefit.n.02015	2	2
r11.benefit.n.02016	2	2
r11.benefit.n.02017	2	2
r11.benefit.n.02018	2	2
r11.benefit.n.02019	2	2
r11.benefit.n.02020	2	2
r11.benefit.n.02021	1	2
r11.benefit.n.02022	1	2
r11.benefit.n.02023	2	2
r11.benefit.n.02024	2	2
r11.benefit.n.02025	2	2
r11.benefit.n.02026	2	2
r11.benefit.n.02027	2	2
r11.benefit.n.02028	2	2
r11.benefit.n.02029	2	2
r11.benefit.n.02030	2	2
r11.benefit.n.02031	45	45
r11.benefit.n.02032	2	2
r11.benefit.n.02033	2	2
r11.benefit.n.02034	2	2
r11.benefit.n.02035	1	1
r11.benefit.n.02036	2	2
r11.benefit.n.02037	2	2
r11.benefit.n.02038	2	2
r11.benefit.n.02039	2	2
r11.benefit.n.02040	2	2
r11.benefit.n.02041	45	2
r11.benefit.n.02042	45	45
r11.benefit.n.02043	2	2
r11.benefit.n.02044	1	1
r11.benefit.n.02045	2	2
r11.benefit.n.02046	2	2
r11.benefit.n.02047	2	2
r11.benefit.n.02048	2	2
r11.benefit.n.02049	2	2
r11.benefit.n.02050	2	2
r11.benefit.n.02051	2	2
r11.benefit.n.02052	2	2
r11.benefit.n.02053	2	2
r11.benefit.n.02054	2	2
r11.benefit.n.02055	2	2
r11.benefit.n.02056	2	2
r11.benefit.n.02057	1	2
r11.benefit.n.02058	2	2
r11.benefit.n.02059	1	45
r11.benefit.n.02060	2	2
r11.benefit.n.02111	2	2
r11.benefit.n.02124	2	2
r11.benefit.n.02133	45	45
r11.benefit.n.02144	1	1
r11.benefit.n.02190	2	2
r11.benefit.n.02195	2	2
r11.benefit.n.02246	2	2
r11.benefit.n.02265	2	2
r11.benefit.n.02291	1	1
r11.benefit.n.02296	2	2
r11.benefit.n.02311	2	2
r11.benefit.n.02319	2	2
r11.benefit.n.02324	1	1
r11.benefit.n.02345	1	1
r11.benefit.n.02536	1	1
r11.benefit.n.02548	1	1
r11.benefit.n.02558	2	2
r11.benefit.n.02567	1	2
r11.benefit.n.02574	1	2
r11.benefit.n.02598	2	2
r11.benefit.n.02617	2	2
r11.benefit.n.02628	44	2
r11.benefit.n.02631	1	2
r11.benefit.n.02695	1	1
r11.benefit.n.02705	1	1
r11.benefit.n.02724	1	1
r11.benefit.n.02777	1	1
r11.benefit.n.02805	1	2
r11.benefit.n.02915	2	2
r11.benefit.n.02934	2	2
r11.benefit.n.02954	2	2
