	101	102	111	115
r10.board.n.00001	1	1	1	1
r10.board.n.00002	1	1	1	1
r10.board.n.00003	1	1	1	1
r10.board.n.00004	1	1	1	1
r10.board.n.00005	1	1	1	1
r10.board.n.00006	1	1	1	1
r10.board.n.00007	1	1	1	1
r10.board.n.00008	1	1	1	1
r10.board.n.00009	1	1	1	1
r10.board.n.00010	1	1	1	1
r10.board.n.00012	1	1	1	1
r10.board.n.00013	1	1	1	1
r10.board.n.00014	47	46	45	47
r10.board.n.00015	1	1	1	1
r10.board.n.00016	1	1	1	1
r10.board.n.00017	1	1	1	1
r10.board.n.00018	1	1	1	1
r10.board.n.00021	1	1	1	1
r10.board.n.00022	2	3	47	3
r10.board.n.00023	1	1	1	1
r10.board.n.00024	45	47	45	47
r10.board.n.00025	45	47	45	47
r10.board.n.00026	3	3	47	3
r10.board.n.00027	1	1	1	1
r10.board.n.00028	1	1	1	1
r10.board.n.00029	45	47	45	47
r10.board.n.00030	1	1	1	1
r10.board.n.00031	45	47	45	47
r10.board.n.00032	45	47	45	47
r10.board.n.00033	45	47	45	47
r10.board.n.00037	5	5	47	3
r10.board.n.00038	2	2	47	2
r10.board.n.00039	2	2	3	2
r10.board.n.00040	1	1	1	1
r10.board.n.00041	1	1	1	1
r10.board.n.00042	1	1	1	1
r10.board.n.00043	5	5	47	3
r10.board.n.00044	1	1	1	1
r10.board.n.00046	1	1	1	1
r10.board.n.00047	1	1	1	1
r10.board.n.00048	1	1	1	1
r10.board.n.00049	1	1	1	1
r10.board.n.00050	1	1	1	1
r10.board.n.00052	1	5	47	5
r10.board.n.00064	45	47	45	47
r10.board.n.00104	1	1	1	1
r10.board.n.00113	1	1	1	1
r10.board.n.00194	1	1	1	1
r10.board.n.00205	1	1	1	1
r10.board.n.00217	45	47	45	47
r10.board.n.00229	46	46	5	5
r10.board.n.00236	1	1	1	1
r10.board.n.00260	8	8	1	3
r10.board.n.00294	1	1	1	1
r10.board.n.00297	1	1	1	1
r10.board.n.00309	1	1	1	1
r10.board.n.00311	1	1	1	3
r10.board.n.00331	1	1	1	1
r10.board.n.00363	5	5	47	5
r10.board.n.00370	1	1	1	1
r10.board.n.00411	1	1	1	1
r10.board.n.00423	1	1	1	1
r10.board.n.00424	1	1	1	1
r10.board.n.00439	1	1	1	1
r10.board.n.00442	45	47	45	47
r10.board.n.00465	1	47	47	1
r10.board.n.00475	1	1	1	1
r10.board.n.00511	1	1	1	1
r10.board.n.00524	1	1	1	1
r10.board.n.00529	1	1	1	1
r10.board.n.00543	7	8	5	3
r10.board.n.00556	1	1	1	1
r10.board.n.00593	1	1	1	1
r10.board.n.00606	1	1	1	1
r10.board.n.00607	1	1	1	1
r10.board.n.00620	1	1	1	1
r10.board.n.00623	1	1	1	1
r10.board.n.00632	1	1	1	1
r10.board.n.00663	1	1	1	1
r10.board.n.00683	1	1	1	1
r10.board.n.00712	1	1	1	1
r10.board.n.00717	1	1	1	1
r10.board.n.00719	1	1	1	1
r10.board.n.00787	1	1	1	1
r10.board.n.00826	1	1	1	1
r10.board.n.00848	1	1	1	1
r10.board.n.00871	1	1	1	1
r10.board.n.00883	1	1	1	1
r10.board.n.00929	46	46	5	1
r10.board.n.00942	1	1	1	1
r10.board.n.00954	5	5	47	5
r10.board.n.00993	5	46	47	5
