	101	102	111	115
r10.book.n.00999	2	1	2	1
r10.book.n.01000	1	1	1	1
r10.book.n.01001	1	1&&2	1	1
r10.book.n.01003	1	1	1	1
r10.book.n.01004	1	1	1	1
r10.book.n.01006	1	1	1	1
r10.book.n.01007	1	1	1	3
r10.book.n.01009	1	1	1	1
r10.book.n.01010	1	1	1	1
r10.book.n.01011	1	1	1	1
r10.book.n.01012	1	1	1	1
r10.book.n.01013	1	1	1	1
r10.book.n.01014	2	2	1	2
r10.book.n.01015	2	2	2	2
r10.book.n.01016	2	2	2	2
r10.book.n.01017	2	2	2	2
r10.book.n.01019	2	2	2	2
r10.book.n.01020	2	2	2	2
r10.book.n.01021	1	1	1	1
r10.book.n.01022	1	1	1	1
r10.book.n.01024	2	1	1	2
r10.book.n.01025	1	1	1	1
r10.book.n.01026	1	1	1	1
r10.book.n.01028	1	1	1	1
r10.book.n.01029	1	1	1	1
r10.book.n.01030	1	1	1	1
r10.book.n.01031	1	1	1	1
r10.book.n.01032	10	10	10	10
r10.book.n.01033	10	10	10	10
r10.book.n.01034	2	2	1	2
r10.book.n.01035	1	1	1	1
r10.book.n.01037	1	1	1	1
r10.book.n.01041	1	1	3	1
r10.book.n.01042	1	1	1	1
r10.book.n.01043	7	7	7	7
r10.book.n.01044	1	1	1	1
r10.book.n.01046	10	10	1	10
r10.book.n.01047	1	1	1	1
r10.book.n.01049	1	1	1	1
r10.book.n.01050	1	1	1	1
r10.book.n.01051	1	1	1	1
r10.book.n.01053	1	1	1	1
r10.book.n.01055	1	1	1	1
r10.book.n.01057	1	1	47	1
r10.book.n.01058	1	1	1	1
r10.book.n.01060	1	1	3	1
r10.book.n.01061	1	1	3	3
r10.book.n.01063	1	1	1	1
r10.book.n.01065	1	1	1	1
r10.book.n.01066	1	1	1	1
r10.book.n.01068	2	1	1	1
r10.book.n.01070	1	1	1	1
r10.book.n.01071	1	1	1	1
r10.book.n.01072	1	1	1	1
r10.book.n.01075	1	1	1	1
r10.book.n.01076	1	1	1	1
r10.book.n.01078	1	1	1	1
r10.book.n.01079	1	1	1	1
r10.book.n.01080	1	1	1	1
r10.book.n.01082	1	1	1	1
r10.book.n.01083	1	1	1	1
r10.book.n.01084	1	1	3	3
r10.book.n.01085	1	1	1	3
r10.book.n.01086	1	1	1	3
r10.book.n.01089	1	1	1	1
r10.book.n.01090	1	1	1	1
r10.book.n.01091	1	1	1	1
r10.book.n.01092	1	1	1	1
r10.book.n.01094	1	1	1	1
r10.book.n.01096	1	1	1	1
r10.book.n.01097	2	2	2	1
r10.book.n.01098	1	2	2	1
r10.book.n.01099	2	1&&2	1	2
r10.book.n.01100	1	2	1	9
r10.book.n.01101	1	1	1	1
r10.book.n.01102	1	1	1	1
r10.book.n.01103	45	45	45	45
r10.book.n.01104	5	7	3	46
r10.book.n.01105	1	2	1	2
r10.book.n.01107	2	2	2	2
r10.book.n.01108	1	1	1	1
r10.book.n.01109	1	1	1	1
r10.book.n.01110	1	1	1	1
r10.book.n.01111	1	1	1	1
r10.book.n.01114	1	1	1	1
r10.book.n.01117	1	1	1	1
r10.book.n.01119	1	1	1	1
r10.book.n.01120	1	1	1	2
r10.book.n.01124	44	44	1	1
r10.book.n.01125	1	2	1	1
r10.book.n.01129	45	45	45	45
r10.book.n.01132	1	1	1	1
r10.book.n.01135	1	1	47	1
r10.book.n.01137	1&&2	1	1	1
