	101	102	111	115
r10.book.v.01996	2	2	2	2
r10.book.v.01997	2	1	1	1
r10.book.v.01998	45	45	45	45
r10.book.v.01999	1	1	1	1
r10.book.v.02000	45	45	45	45
r10.book.v.02001	2	2	2	2
r10.book.v.02002	2	1	2	2
r10.book.v.02003	2	2	2	2
r10.book.v.02004	2	2	2	2
r10.book.v.02005	2	2	1	2
r10.book.v.02006	45	45	45	45
r10.book.v.02007	45	45	45	1
r10.book.v.02008	1	1	1	1
r10.book.v.02009	1	1	1	1
r10.book.v.02010	2	2	3	3
r10.book.v.02011	46	3	46	3
r10.book.v.02012	45	45	45	45
r10.book.v.02013	45	45	45	45
r10.book.v.02014	2	2	2	2
r10.book.v.02015	2	2	2	2
r10.book.v.02016	2	2	4	4
r10.book.v.02017	1	1	1	2
r10.book.v.02018	2	2	2	2
r10.book.v.02019	2	2	4	2
r10.book.v.02020	2	2	2	2
r10.book.v.02021	2	2	2	2
r10.book.v.02022	2	2	2	4
r10.book.v.02023	2	2	1	2
r10.book.v.02024	45	45	45	45
r10.book.v.02025	2	47	1	2
r10.book.v.02026	2	2	2	2
r10.book.v.02027	2	2	2	2
r10.book.v.02028	2	2	2	2
r10.book.v.02029	2	2	2	2
r10.book.v.02030	45	45	45	45
r10.book.v.02031	45	45	45	45
r10.book.v.02032	45	45	45	45
r10.book.v.02033	45	45	45	45
r10.book.v.02035	45	45	45	45
r10.book.v.02036	45	45	45	45
r10.book.v.02037	2	2	2	2
r10.book.v.02038	2	2	4	4
r10.book.v.02039	2	2	2	2
r10.book.v.02040	2	2	2	2
r10.book.v.02041	2	2	2	2
r10.book.v.02042	2	2	2&&4	2
r10.book.v.02043	2	1	2	1
r10.book.v.02044	2	1	2	2
r10.book.v.02045	2	2	4	4
r10.book.v.02046	2	2	4	4
r10.book.v.02047	2	1	2	2
r10.book.v.02048	2	1	2	2
r10.book.v.02049	2	1	2	2
r10.book.v.02050	2	1	2	2
r10.book.v.02051	2	2	2	2
r10.book.v.02052	2	2	2	2
r10.book.v.02053	2	2	2&&4	2
r10.book.v.02054	2	2	2	2
r10.book.v.02055	2	2	2	2
r10.book.v.02056	2	2	2	2
r10.book.v.02058	2	2	2	2
