	107	111	113
r5.byzantine.j.01178	2	45	2
r5.byzantine.j.01180	2	45	2
r5.byzantine.j.01181	2	2	2
r5.byzantine.j.01182	2	2	2
r5.byzantine.j.01184	2	45	2
r5.byzantine.j.01185	2	45	2
r5.byzantine.j.01188	1	1	1
r5.byzantine.j.01189	2	2	2
r5.byzantine.j.01190	2	45	2
r5.byzantine.j.01191	2	45	2
r5.byzantine.j.01195	2	45	2
r5.byzantine.j.01196	1&&2	2	2
r5.byzantine.j.01197	2	2	2
r5.byzantine.j.01198	2	2	45
r5.byzantine.j.01199	1	2	1
r5.byzantine.j.01200	1	1	1
r5.byzantine.j.01201	1	2	2
r5.byzantine.j.01202	1	2	2
r5.byzantine.j.01205	1	2	1
r5.byzantine.j.01206	2	2	1
r5.byzantine.j.01207	2	2	2
r5.byzantine.j.01208	2	2	2
r5.byzantine.j.01210	2	2	2
r5.byzantine.j.01211	2	45	2
r5.byzantine.j.01213	2	45	2
r5.byzantine.j.01218	2	2	2
r5.byzantine.j.01220	2	2	1&&2
r5.byzantine.j.01221	1	2	1
r5.byzantine.j.01224	2	2	2
r5.byzantine.j.01225	1&&2	2	2
r5.byzantine.j.01228	1	2	1&&2
r5.byzantine.j.01235	1	2	1
r5.byzantine.j.01236	1	2	2
r5.byzantine.j.01237	1	2	1
r5.byzantine.j.01238	2	2	47
r5.byzantine.j.01239	1&&2	2	2
r5.byzantine.j.01241	1	2	1
r5.byzantine.j.01242	2	2	2
r5.byzantine.j.01243	2	44	2
r5.byzantine.j.01244	2	2	2
r5.byzantine.j.01247	2	2	2
r5.byzantine.j.01248	2	2	2
r5.byzantine.j.01250	1	2	1
r5.byzantine.j.01253	2	2	2
r5.byzantine.j.01254	1	2	1
r5.byzantine.j.01255	2	2	2
r5.byzantine.j.01256	1&&2	45	2
r5.byzantine.j.01259	2	1	1&&2
r5.byzantine.j.01260	2	2	2
r5.byzantine.j.01261	2	2	2
r5.byzantine.j.01262	2	2	2
r5.byzantine.j.01264	1	2	1
r5.byzantine.j.01265	1	2	1
r5.byzantine.j.01268	2	2	2
r5.byzantine.j.01269	2	45	2
r5.byzantine.j.01270	2	2	2
r5.byzantine.j.01271	1	1	1
r5.byzantine.j.01272	1	2	1
r5.byzantine.j.01275	1	2	1
r5.byzantine.j.01276	2	45	2
