	107	108	109	111	113
r3.chance.n.00002	4	4	4	4	4
r3.chance.n.00013	1	1	44	1	1
r3.chance.n.00018	1	1	1	1	1
r3.chance.n.00024	1	1	1	1	1
r3.chance.n.00032	1	1	1	1	1
r3.chance.n.00033	1	1	1	1	1
r3.chance.n.00034	1	47	4	4	1
r3.chance.n.00035	1	1	1	1	1
r3.chance.n.00041	1	1	1	1	1
r3.chance.n.00051	1	1	1	1	1
r3.chance.n.00069	1	1	1	1	1
r3.chance.n.00103	3	3	3	3	3
r3.chance.n.00112	1	1&&4&&5	4	1	1
r3.chance.n.00116	4	4	2	4	4
r3.chance.n.00119	1	1	1	1	1
r3.chance.n.00120	1	1	1	1	1
r3.chance.n.00121	3	3	3	3	3
r3.chance.n.00122	1	1	1	1	1
r3.chance.n.00125	1	1	1	1	1
r3.chance.n.00136	1	1	1	1	1
r3.chance.n.00146	1	1	1	1	1
r3.chance.n.00165	3	3	3	3	3
r3.chance.n.00179	1	44	1	4	44
r3.chance.n.00186	1	1	1	1	1
r3.chance.n.00195	1	1	1	1	1
r3.chance.n.00196	1	1	1	1	1
r3.chance.n.00206	3	3	3	3	3
r3.chance.n.00221	1	1	1	1	1
r3.chance.n.00230	1	4	4	4	1
r3.chance.n.00239	1	1	1	1	1
r3.chance.n.00243	1	1	1	1	1
r3.chance.n.00257	1&&4	1	4	2	4
r3.chance.n.00263	3	3	3	3	3
r3.chance.n.00267	4	4	4	4	4
r3.chance.n.00287	3	4	4	1	3
r3.chance.n.00298	4	4	4	4	4
r3.chance.n.00311	1	1	1	1	1
r3.chance.n.00321	1	4&&5	1	1	1
r3.chance.n.00328	4	4	4	4	47
r3.chance.n.00337	4	4	4	4	4
r3.chance.n.00369	4	4	1	5	5
r3.chance.n.00377	4	4&&5	4	4	4
r3.chance.n.00382	1	1&&5	1	4	4
r3.chance.n.00391	1	1	1	1	1
r3.chance.n.00404	4	4	4	4	4
r3.chance.n.00408	1	1	1	1	1
r3.chance.n.00432	1	1	1	1	1
r3.chance.n.00440	4	3&&4	4	4	4
r3.chance.n.00453	2	2	2	2	2
r3.chance.n.00467	1	1	1	1	1
r3.chance.n.00478	1	1	1	1	1
r3.chance.n.00502	1	1	1	1	1
r3.chance.n.00510	3	3	3	3	3
r3.chance.n.00531	4	4	4	5	4
r3.chance.n.00562	1	1	1	1	1
r3.chance.n.00566	1	1	1	1	1
r3.chance.n.00571	1	1	1	1	1
r3.chance.n.00582	4	4	4	4	4
r3.chance.n.00593	1	1	1	1	1
r3.chance.n.00594	1	1	1	1	1
r3.chance.n.00597	1	1	1	1	1
r3.chance.n.00604	1	1	1	1	1
r3.chance.n.00609	1	1	1	1	1
r3.chance.n.00622	1	5	1	4	1
r3.chance.n.00624	4	4	4	4	4
r3.chance.n.00634	4	4	4	4	1
r3.chance.n.00645	4	4	4	4	4
r3.chance.n.00652	45	45	45	2	2
r3.chance.n.00654	2	2	2	2	2
r3.chance.n.00667	2	2	2	4	2
r3.chance.n.00670	2	45	45	4	2
r3.chance.n.00674	2	2	2	4	2
r3.chance.n.00706	2	45	45	2	2
r3.chance.n.00717	2	2	2	2	2
r3.chance.n.00731	2	2	2	4	2
r3.chance.n.00753	4	4	4	4	4
r3.chance.n.00756	2	2	2	2	2
r3.chance.n.00771	2	2	2	4	2
r3.chance.n.00782	2	47	47	4	2
r3.chance.n.00788	1	4	4	1	4
r3.chance.n.00794	2	45	45	4	2
r3.chance.n.00806	4	4	4	4	4
r3.chance.n.00808	4	4	4	4	4
r3.chance.n.00818	2	2	2	4	2
r3.chance.n.00824	2	2	2	4	2
r3.chance.n.00837	4	4	3	4	4
r3.chance.n.00839	1	4	4	4	4
r3.chance.n.00843	2	2	2	4	2
r3.chance.n.00850	2	2	2	4	2
r3.chance.n.00854	1	1	1	1	1
r3.chance.n.00855	2	44	2	1	2
r3.chance.n.00863	4	4	2	4	4
r3.chance.n.00875	1	1	1	1	1
r3.chance.n.00900	4	4	4	4	4
r3.chance.n.00903	4	4	4	5	4
r3.chance.n.00914	2	2	2	2	2
r3.chance.n.00915	4	4	4	4	4
r3.chance.n.00931	1	1	1	1	1
r3.chance.n.00961	1	1	1	1	1
r3.chance.n.00970	1	1	1	1	1
r3.chance.n.00973	1	4	1	1	4
