	101	102	111	113
r6.color.n.01121	1	1	1	1
r6.color.n.01123	1	1	7	45
r6.color.n.01126	7	46	1	1
r6.color.n.01127	7	46	1	1
r6.color.n.01130	1	1	1	1
r6.color.n.01133	1	1	1	1
r6.color.n.01163	1	1	1	44
r6.color.n.01167	1	1	2	47
r6.color.n.01185	7	1	5	1
r6.color.n.01211	1	1	1&&2	1&&2
r6.color.n.01213	1	1	1	1
r6.color.n.01216	1	1	5	5
r6.color.n.01238	1	1	1	1
r6.color.n.01246	1	1	2	1&&2
r6.color.n.01275	1	1	5	1
r6.color.n.01280	1	1	1	1
r6.color.n.01304	1	1	1	1
r6.color.n.01341	1	1	1	47
r6.color.n.01352	1	1	1	1
r6.color.n.01365	1	1	1	45
r6.color.n.01399	1	1	1	45
r6.color.n.01412	1	7	1	1
r6.color.n.01427	7	4	4	47
r6.color.n.01428	7	46	1	1&&2
r6.color.n.01437	1	1	1	1
r6.color.n.01443	1	1	1	1
r6.color.n.01453	1	1	5	5
r6.color.n.01468	1	1	1	1
r6.color.n.01471	1	1	1	1
r6.color.n.01483	45	45	45	45
r6.color.n.01486	1	1	1	1
r6.color.n.01493	1	1	7	1
r6.color.n.01494	1	1	1	1
r6.color.n.01497	1	1	1	47
r6.color.n.01500	7	1	1	45
r6.color.n.01522	7	1	1	1
r6.color.n.01526	1	1	1	47
r6.color.n.01538	1	1	1	5
r6.color.n.01543	1	1	1	1&&7
r6.color.n.01546	1	1	1	1
r6.color.n.01556	1	1	1	46
r6.color.n.01559	2	2	2	2
r6.color.n.01566	1	1	5	1
r6.color.n.01567	1	1	1	45
r6.color.n.01576	7	46	1	1
r6.color.n.01587	5	1	1	1
r6.color.n.01611	1	1	5	1
r6.color.n.01619	1	1	1	1
r6.color.n.01624	7	46	1	1
r6.color.n.01635	1	1	1	45
r6.color.n.01639	1	1	1	1
r6.color.n.01642	1	1	1	45
r6.color.n.01643	1	1	1	1
r6.color.n.01645	1	6	1	47
r6.color.n.01648	1	6	1	47
r6.color.n.01656	1	1	1	1
r6.color.n.01657	1	1	1	1
r6.color.n.01658	1	1	1	1
r6.color.n.01660	1	1	1	1
r6.color.n.01661	1	1	1	1
r6.color.n.01664	1	1	1	1
r6.color.n.01666	1	1	1	1
r6.color.n.01670	1	1	1	45
r6.color.n.01673	1	1	1	1
r6.color.n.01674	1	1	1	1
r6.color.n.01678	7	1	1	1
r6.color.n.01686	1	1	1	1
r6.color.n.01689	1	1	1	1
r6.color.n.01690	1	1	1	1
r6.color.n.01691	1	1	1	1
r6.color.n.01701	1	1	1	5
r6.color.n.01703	1	1	1	1
r6.color.n.01704	1	1	1	1
r6.color.n.01718	1	1	1	45
r6.color.n.01720	1	1	1	45
r6.color.n.01721	1	1	1	1
r6.color.n.01722	1	1	1	1
r6.color.n.01728	1	1	1	1
r6.color.n.01731	1	6	1	47
r6.color.n.01732	1	6	1	1
r6.color.n.01737	1	1	1	1
r6.color.n.01742	1	1	7	1
r6.color.n.01748	1	1	1	1
r6.color.n.01752	1	1	1	1
r6.color.n.01758	1	1	1	44
r6.color.n.01764	1	1	1	1
r6.color.n.01771	7	46	1	47
r6.color.n.01777	1	1	1	1
r6.color.n.01778	1	1	1	45
r6.color.n.01788	1	1	1	46
r6.color.n.01789	1	1	1	1
r6.color.n.01793	1	1	1	45
r6.color.n.01798	1	1	1	7
r6.color.n.01808	1	1	1	47
r6.color.n.01809	1	1	1	47
r6.color.n.01810	1	1	1	47
r6.color.n.01829	1	45	7	44
r6.color.n.01831	1	1	7	1&&2
r6.color.n.01869	1	1	1	1
r6.color.n.01915	2	2	2	2
