	114	115
r11.combination.n.02990	1	1
r11.combination.n.02991	1	1
r11.combination.n.02992	46	1
r11.combination.n.02993	1	1
r11.combination.n.02994	1	1
r11.combination.n.02995	1	1
r11.combination.n.02996	7	1
r11.combination.n.02997	1	1
r11.combination.n.02998	1	1
r11.combination.n.02999	1	1
r11.combination.n.03000	1	1
r11.combination.n.03001	1	1
r11.combination.n.03002	7	1
r11.combination.n.03003	1	1
r11.combination.n.03004	1	1
r11.combination.n.03005	7	1
r11.combination.n.03006	1	1
r11.combination.n.03007	1	1
r11.combination.n.03009	44	44
r11.combination.n.03010	1	44
r11.combination.n.03012	1	1
r11.combination.n.03047	1	1
r11.combination.n.03060	1	1
r11.combination.n.03082	1	1
r11.combination.n.03089	1	1
r11.combination.n.03103	7	1
r11.combination.n.03116	7	1
r11.combination.n.03141	1	1
r11.combination.n.03146	1	1
r11.combination.n.03159	1	1
r11.combination.n.03162	7	1
r11.combination.n.03195	7	1
r11.combination.n.03229	1	1
r11.combination.n.03246	1	1
r11.combination.n.03251	1	1
r11.combination.n.03282	1	1
r11.combination.n.03285	1	1
r11.combination.n.03291	1	1
r11.combination.n.03305	1	1
r11.combination.n.03317	1	1
r11.combination.n.03344	7	1
r11.combination.n.03353	1	1
r11.combination.n.03368	1	1
r11.combination.n.03411	7	1
r11.combination.n.03412	7	1
r11.combination.n.03414	1	1
r11.combination.n.03418	1	1
r11.combination.n.03457	7	1
r11.combination.n.03460	7	1
r11.combination.n.03495	46	1
r11.combination.n.03496	46	1
r11.combination.n.03513	1	1
r11.combination.n.03522	1	1
r11.combination.n.03532	1	1
r11.combination.n.03543	1	1
r11.combination.n.03550	1	1
r11.combination.n.03558	7	1
r11.combination.n.03559	1	1
r11.combination.n.03562	7	1
r11.combination.n.03569	46	1
r11.combination.n.03577	1	1
r11.combination.n.03600	7	1
r11.combination.n.03621	1	1
r11.combination.n.03636	1	1
r11.combination.n.03640	7	1
r11.combination.n.03647	1	1
r11.combination.n.03669	7	1
r11.combination.n.03678	1	1
r11.combination.n.03696	1	1
r11.combination.n.03722	1	1
r11.combination.n.03726	1	1
r11.combination.n.03732	1	1
r11.combination.n.03749	1	1
r11.combination.n.03773	1	1
r11.combination.n.03775	1	1
r11.combination.n.03778	7	1
r11.combination.n.03782	1	1
r11.combination.n.03786	1	1
r11.combination.n.03822	1	1
r11.combination.n.03837	1	1
r11.combination.n.03843	1	1
r11.combination.n.03859	1	1
r11.combination.n.03864	7	1
r11.combination.n.03870	1	1
r11.combination.n.03875	1	1
r11.combination.n.03879	1	1
r11.combination.n.03884	1	1
r11.combination.n.03886	1	1
r11.combination.n.03895	1	1
r11.combination.n.03912	46	1
r11.combination.n.03920	1	1
r11.combination.n.03927	1	1
r11.combination.n.03935	7	1
r11.combination.n.03949	1	1
r11.combination.n.03950	1	1
r11.combination.n.03955	1	1
r11.combination.n.03969	1	1
