	101	102	111	115
r10.common.j.02059	3	3	1	3
r10.common.j.02060	3	3	3	3
r10.common.j.02061	3	4	4	3
r10.common.j.02062	3	4	4	3
r10.common.j.02063	4	4	4	4
r10.common.j.02064	2	4	3	2
r10.common.j.02065	4	4	4	2
r10.common.j.02066	4	2	1	2
r10.common.j.02067	44	4	1	2
r10.common.j.02068	4	2	1	2
r10.common.j.02069	5	4	5	2
r10.common.j.02070	4	4	4	2
r10.common.j.02071	4	4	4	2
r10.common.j.02072	4	4	4	4
r10.common.j.02073	3	3	3	3
r10.common.j.02074	4	4	4	2
r10.common.j.02075	2	7	6	6
r10.common.j.02076	2	4	4	2
r10.common.j.02077	6	6	2	6
r10.common.j.02078	47	47	47	1
r10.common.j.02079	47	47	47	1
r10.common.j.02080	47	47	47	1
r10.common.j.02081	3	3	3	3
r10.common.j.02082	3	3	3	3
r10.common.j.02083	3	3	1	3
r10.common.j.02084	4	4	4	5
r10.common.j.02085	4	4	4	5
r10.common.j.02086	4	4	4	4
r10.common.j.02087	4	4	4	5
r10.common.j.02088	3	3	3	3
r10.common.j.02089	4	4	4	2
r10.common.j.02090	47	9	47	47
r10.common.j.02091	4	4	4	2
r10.common.j.02092	4	4	4	4
r10.common.j.02093	4	4	4	4
r10.common.j.02094	4	4	4	4
r10.common.j.02095	4	4	4	4
r10.common.j.02096	4	4	4	4
r10.common.j.02097	1	1	1	3
r10.common.j.02098	1	1	3	46
r10.common.j.02099	4	4	4	2
r10.common.j.02100	4	4	4	2
r10.common.j.02101	1	3	3	3
r10.common.j.02102	3	3	3	3
r10.common.j.02103	3	2	3	3
r10.common.j.02104	3	3	3	2
r10.common.j.02105	3	3	3	2
r10.common.j.02106	3	4	3	2
r10.common.j.02107	3	4	4	2
r10.common.j.02108	4	4	4	2
r10.common.j.02109	4	4	4	2
r10.common.j.02110	4	4	4	2
r10.common.j.02111	47	1	47	1
r10.common.j.02112	47	1	47	1
r10.common.j.02113	47	1	47	1
r10.common.j.02114	47	1	47	1
r10.common.j.02115	47	1	47	1
r10.common.j.02116	47	1	47	1
r10.common.j.02117	47	1	47	1
r10.common.j.02118	47	1	47	1
r10.common.j.02119	47	1	47	1
r10.common.j.02121	47	1	47	1
r10.common.j.02122	47	1	47	1
r10.common.j.02123	47	1	47	1
r10.common.j.02125	47	1	47	1
r10.common.j.02126	47	1	47	1
r10.common.j.02155	3	1	1	3
r10.common.j.02168	47	9	47	47
r10.common.j.02170	4	2	4	2
r10.common.j.02199	4	4	4	4
r10.common.j.02243	5	5	4	5
r10.common.j.02302	2	3	3	2
r10.common.j.02322	3	3	3	3
r10.common.j.02356	4	4	4	2
r10.common.j.02365	47	9	47	47
r10.common.j.02437	4	4	4	4
r10.common.j.02455	5	5	5	5
r10.common.j.02483	1	3	3	2
r10.common.j.02517	3	3	3	3
r10.common.j.02545	3	3	3	2
r10.common.j.02586	3	3	3	3
r10.common.j.02647	4	3	4	2
r10.common.j.02648	4	4	4	4
r10.common.j.02748	4	3	4	2
r10.common.j.02774	4	4	4	2
r10.common.j.02781	4	4	4	2
r10.common.j.02846	3	3	3	3
r10.common.j.02879	3	3	3	2
r10.common.j.02895	3	3	1	2
r10.common.j.02922	3	4	4	2
r10.common.j.02924	3	4	4	2
r10.common.j.02972	2	4	4	2
r10.common.j.02977	3	3	1	2
r10.common.j.02981	3	3	3	3
r10.common.j.02987	4	4	4	4
r10.common.j.03004	3	3	3	2
r10.common.j.03014	4	4	4	45
r10.common.j.03054	4	3	4	4
