	101	102	111	115
r10.control.n.03058	1	2	1	6
r10.control.n.03059	1	1	1	11
r10.control.n.03060	9	2	9	2
r10.control.n.03061	7	1	7	7
r10.control.n.03062	1	3	7	7
r10.control.n.03063	1	1	1	1
r10.control.n.03064	7	1	1	7
r10.control.n.03065	3	3	5	3
r10.control.n.03066	4	4	4	2
r10.control.n.03067	9	9	11	2
r10.control.n.03068	5	1	1	1
r10.control.n.03069	5	1	1	1
r10.control.n.03070	2	9	2	2
r10.control.n.03071	1	2	1	6
r10.control.n.03072	2	2	2	2
r10.control.n.03073	2	2	2	2
r10.control.n.03074	4	4	2	2
r10.control.n.03075	9	2	2	2
r10.control.n.03076	1	1	1	1
r10.control.n.03077	5	2	5	1
r10.control.n.03078	1	2	5	1
r10.control.n.03079	9	2	9	2
r10.control.n.03080	2	9	2	2
r10.control.n.03081	2	5	2	2
r10.control.n.03082	2	5	2	2
r10.control.n.03083	9	9	9	9
r10.control.n.03084	9	5	9	9
r10.control.n.03085	9	9	9	9
r10.control.n.03086	2	5	2	2
r10.control.n.03087	2	5	2	2
r10.control.n.03088	9	9	9	2
r10.control.n.03089	2	5	9	2
r10.control.n.03090	9	9	9	9
r10.control.n.03091	2	9	2	2
r10.control.n.03092	2	9	2	2
r10.control.n.03093	1	2	5	5
r10.control.n.03094	2	2	2	2
r10.control.n.03095	2	2	2	2
r10.control.n.03096	2	2	2	1
r10.control.n.03097	1	2	1	6
r10.control.n.03098	1	2	1	6
r10.control.n.03099	1	2	1	6
r10.control.n.03100	1	2	1	6
r10.control.n.03101	1	1	1	6
r10.control.n.03102	1	1	1	6
r10.control.n.03103	2	5	2	2
r10.control.n.03104	1	2	1	1
r10.control.n.03105	1	45	1	45
r10.control.n.03107	1	2	1	1
r10.control.n.03108	7	1	1	7
r10.control.n.03109	5	2	9	2
r10.control.n.03110	5	2	2	6
r10.control.n.03111	1	5	2	1
r10.control.n.03114	7	1	2	7
r10.control.n.03115	7	1	1	7
r10.control.n.03116	9	9	9	9
r10.control.n.03117	9	9	9	9
r10.control.n.03118	3	1	3	2
r10.control.n.03119	3	2	3	2
r10.control.n.03120	1	1	1	1
r10.control.n.03121	1	2	6	6
r10.control.n.03122	1	1	9	2
r10.control.n.03123	2	2	2	2
r10.control.n.03124	1	1	1	5
r10.control.n.03125	9	5	2	2
r10.control.n.03126	9	5	2	2
r10.control.n.03127	9	5	2	2
r10.control.n.03128	9	5	2	2
r10.control.n.03129	9	5	2	2
r10.control.n.03130	9	5	2	2
r10.control.n.03131	9	5	2	2
r10.control.n.03132	47	47	47	2
r10.control.n.03133	47	47	47	2
r10.control.n.03134	47	47	47	2
r10.control.n.03135	47	9	47	9
r10.control.n.03136	47	9	47	9
r10.control.n.03137	9	46	4	2
r10.control.n.03138	9	44	4	2
r10.control.n.03139	1	2	1	1
r10.control.n.03140	9	5	9	2
r10.control.n.03141	1	1	1	1
r10.control.n.03142	1	2	1	1
r10.control.n.03144	1	1	1	44
r10.control.n.03157	5	2	2	1
r10.control.n.03167	2	2	2	2
r10.control.n.03287	1	2	2	1
r10.control.n.03300	1	2	1	2
r10.control.n.03340	4	4	3	2
r10.control.n.03453	4	4	4	4
r10.control.n.03535	4	4	4	4
r10.control.n.03541	4	4	4	4
r10.control.n.03579	5	2	1	1
r10.control.n.03612	4	4	4	4
r10.control.n.03815	4	4	4	4
r10.control.n.03832	4	4	4	4
r10.control.n.03944	1	5	2	2
