	107	108	109	111	113
r3.cool.j.00988	6	6	6	7	7
r3.cool.j.00989	6	6	2	5	5
r3.cool.j.00990	6	44	6	2	44
r3.cool.j.00991	6	6	6	7	7
r3.cool.j.00992	6	6	6	7	5&&7
r3.cool.j.00993	1	1	1	1	1
r3.cool.j.00994	3	3	6	7	7
r3.cool.j.00995	1	1	1	1	1
r3.cool.j.00996	6	6	6	7	7
r3.cool.j.00998	6	6	44	7	5
r3.cool.j.00999	6	6	6	7	7
r3.cool.j.01000	6	6	6	7	7
r3.cool.j.01001	46	47	46	4	4
r3.cool.j.01002	46	47	6	2	7
r3.cool.j.01003	6	6	6	7	7
r3.cool.j.01004	6	6	6	7	7
r3.cool.j.01005	6	6	6	7	7
r3.cool.j.01006	46	47	46	7	4
r3.cool.j.01007	6	6	6	7	7
r3.cool.j.01008	6	6	6	7	7
r3.cool.j.01009	4	4	2	4	4
r3.cool.j.01010	2	2	2	2	2
r3.cool.j.01011	1	1	1	3	1
r3.cool.j.01012	2	44	2	2	2
r3.cool.j.01013	6	6	6	7	7
r3.cool.j.01014	1	1	1	1	1
r3.cool.j.01015	6	6	6	7	7
r3.cool.j.01016	6	6	44	7	7
r3.cool.j.01017	6	6	6	7	7
r3.cool.j.01018	1	1	1	1	1
r3.cool.j.01019	6	6	6	5	7
r3.cool.j.01020	1	1	1	1	1
r3.cool.j.01021	4	4	4	2	4
r3.cool.j.01022	1	1	1	1	1
r3.cool.j.01023	1	1	1	1	1
r3.cool.j.01024	6	6	6	7	7
r3.cool.j.01025	1	1	1	1	1
r3.cool.j.01026	1	1	1	1	1
r3.cool.j.01027	1	1	1	1	1
r3.cool.j.01028	1	1	1	1	1
r3.cool.j.01029	1	1	1	1	1
r3.cool.j.01030	1&&3	1	1	1	1
r3.cool.j.01031	1	1	1	1	1
r3.cool.j.01032	1	1	1	1	1
r3.cool.j.01033	4	4	4	4	4
r3.cool.j.01034	1	1	1	1	1
r3.cool.j.01035	3	2	1	3	3
r3.cool.j.01036	1	1	1	1	1
r3.cool.j.01037	2	2	2	2	2
r3.cool.j.01038	1	1	1	1	1
r3.cool.j.01039	1	1	1	1	1
r3.cool.j.01040	1	1	1	1	1
r3.cool.j.01041	1	1	1	1	1
