	101	102	111	113
r4.curious.j.00006	1	1	1	1
r4.curious.j.00012	2	2	2	2
r4.curious.j.00013	2	2	1	2
r4.curious.j.00017	2	2	2	2
r4.curious.j.00020	2	2	2	2
r4.curious.j.00023	2	2	2	2
r4.curious.j.00027	2	2	2	2
r4.curious.j.00029	2	2	2	2
r4.curious.j.00036	2	2	2	2
r4.curious.j.00037	2	2	2	2
r4.curious.j.00046	1	1	1	1
r4.curious.j.00048	2	2	2	2
r4.curious.j.00052	2	2	2	2
r4.curious.j.00058	1	1	2	1
r4.curious.j.00059	2	2	2	2
r4.curious.j.00060	2	2	1	2
r4.curious.j.00064	2	2	2	2
r4.curious.j.00067	1	2	1	1
r4.curious.j.00072	2	2	2	2
r4.curious.j.00074	2	2	2	2
r4.curious.j.00075	1	1	1	1
r4.curious.j.00076	2	2	2	2
r4.curious.j.00077	1	1	1	1
r4.curious.j.00081	2	2	2	2
r4.curious.j.00083	1	1	1	1
r4.curious.j.00084	1	1	1	1
r4.curious.j.00087	1	1	1	1
r4.curious.j.00088	1	1	1	1
r4.curious.j.00089	1	1	1	1
r4.curious.j.00093	1	1	1	1
r4.curious.j.00095	1	1	1	1
r4.curious.j.00096	1	1	1	1
r4.curious.j.00104	1	1	1	1
r4.curious.j.00105	1	1	1	1
r4.curious.j.00111	2	2	2	2
r4.curious.j.00113	2	2	2	2
r4.curious.j.00119	1	1	1	1
r4.curious.j.00124	1	1	1	1
r4.curious.j.00129	2	2	2	2
r4.curious.j.00131	1	1	1	1
r4.curious.j.00132	1	1	1	1
r4.curious.j.00133	1	1	1	1
r4.curious.j.00138	1	1	1	1
r4.curious.j.00140	1	1	1	1
r4.curious.j.00141	1	1	1	1
r4.curious.j.00142	2	2	2	2
r4.curious.j.00144	1	1	1	1
r4.curious.j.00145	2	2	2	2
r4.curious.j.00147	2	2	2	2
r4.curious.j.00149	2	2	2	2
r4.curious.j.00150	1	1	1	1
r4.curious.j.00152	1	1	1	1
r4.curious.j.00153	1	1	2	2
r4.curious.j.00157	1	1	1	1
r4.curious.j.00165	2	2	2	2
r4.curious.j.00168	1	1	1	1
r4.curious.j.00169	1	1	1	1
r4.curious.j.00172	1	1	1	1
r4.curious.j.00176	2	2	2	2
r4.curious.j.00181	1	1	1	1
r4.curious.j.00182	1	1	1	1
r4.curious.j.00183	1	1	1	1
r4.curious.j.00190	2	2	2	2
r4.curious.j.00192	2	2	2	2
r4.curious.j.00193	2	2	2	2
r4.curious.j.00194	1	1	1	1
r4.curious.j.00199	2	2	2	2
r4.curious.j.00201	1	1	1	1
r4.curious.j.00204	1	2	2	2
r4.curious.j.00206	1	1	1	1
r4.curious.j.00207	1	1	1	1
r4.curious.j.00208	2	2	2	2
r4.curious.j.00209	1	1	1	1
r4.curious.j.00213	1	1	1	1
r4.curious.j.00217	1	1	1	1
r4.curious.j.00221	1	1	1	1
r4.curious.j.00230	1	1	1	1
r4.curious.j.00232	1	1	1	1
r4.curious.j.00234	1	1	1	1
r4.curious.j.00235	1	1	1	1
r4.curious.j.00236	1	1	1	1
r4.curious.j.00239	1	1	1	1
r4.curious.j.00241	1	1	1	1
r4.curious.j.00246	1	1	2	2
r4.curious.j.00250	1	1	1	1
r4.curious.j.00253	1	1	1	1
r4.curious.j.00254	1	1	1	1
r4.curious.j.00255	1	1	1	1
r4.curious.j.00256	1	1	1	1
r4.curious.j.00257	1	1	1	1
r4.curious.j.00260	1	1	1	1
r4.curious.j.00262	1	1	1	1
r4.curious.j.00268	1	1	1	1
r4.curious.j.00272	1	1	1	1
r4.curious.j.00278	2	2	2	2
r4.curious.j.00279	2	2	2	2
r4.curious.j.00283	1	1	1	1
r4.curious.j.00288	1	1	1	1
r4.curious.j.00289	1	1	1	1
r4.curious.j.00291	1	1	1	1
r4.curious.j.00293	1	1	1	1
r4.curious.j.00297	1	1	1	1
r4.curious.j.00301	1	1	1	1
