	114	115
r11.dark.j.03986	6	9
r11.dark.j.03987	6	6
r11.dark.j.03988	2	2
r11.dark.j.03989	2	2
r11.dark.j.03990	2	2
r11.dark.j.03991	3	3
r11.dark.j.03992	45	1
r11.dark.j.03993	3	2
r11.dark.j.03994	1	2
r11.dark.j.03995	4	5
r11.dark.j.03996	3	3
r11.dark.j.03997	45	1
r11.dark.j.03998	9	4
r11.dark.j.03999	7	7
r11.dark.j.04000	1	1
r11.dark.j.04001	2	2
r11.dark.j.04002	2	2
r11.dark.j.04003	1	1
r11.dark.j.04004	1	1
r11.dark.j.04005	1	1
r11.dark.j.04006	3	3
r11.dark.j.04007	2	2
r11.dark.j.04008	2	2
r11.dark.j.04009	2	2
r11.dark.j.04010	2	2
r11.dark.j.04011	2	2
r11.dark.j.04012	44	5
r11.dark.j.04013	2	2
r11.dark.j.04014	1	1
r11.dark.j.04015	1	2
r11.dark.j.04016	1	1
r11.dark.j.04017	2	2
r11.dark.j.04019	47	3
r11.dark.j.04020	47	3
r11.dark.j.04021	1	2
r11.dark.j.04022	1	1
r11.dark.j.04023	2	2
r11.dark.j.04024	3	3
r11.dark.j.04025	1	1
r11.dark.j.04026	1	1
r11.dark.j.04027	2&&4	1
r11.dark.j.04028	45	1
r11.dark.j.04029	1	1
r11.dark.j.04030	4	4
r11.dark.j.04031	3	3
r11.dark.j.04060	1	1
r11.dark.j.04064	6	9
r11.dark.j.04067	3	3
r11.dark.j.04082	1	1
r11.dark.j.04114	6	9
r11.dark.j.04117	2	2
r11.dark.j.04134	6	4
r11.dark.j.04137	3	3
r11.dark.j.04147	8	5
r11.dark.j.04159	1	2
r11.dark.j.04168	6	4
r11.dark.j.04179	2	2
r11.dark.j.04182	3	2
r11.dark.j.04183	3	3
r11.dark.j.04186	3	2
r11.dark.j.04187	3	3
r11.dark.j.04202	44	4
r11.dark.j.04208	4	4
r11.dark.j.04220	2	2
r11.dark.j.04221	4	4
r11.dark.j.04232	47	47
r11.dark.j.04239	47	47
r11.dark.j.04251	9	4
r11.dark.j.04260	4	4
r11.dark.j.04279	6	4
r11.dark.j.04287	1	9
r11.dark.j.04292	1	1
r11.dark.j.04334	45	1
r11.dark.j.04346	2	2
r11.dark.j.04364	2	2
r11.dark.j.04367	1	1
r11.dark.j.04373	2	2
r11.dark.j.04377	1	1
r11.dark.j.04379	1	1
r11.dark.j.04383	1	1
r11.dark.j.04386	1	1
r11.dark.j.04387	45	1
r11.dark.j.04390	2	2
r11.dark.j.04393	45	1
r11.dark.j.04396	45	1
r11.dark.j.04416	45	1
r11.dark.j.04433	1	1
r11.dark.j.04443	2	2
r11.dark.j.04447	2	2
r11.dark.j.04458	1	1
r11.dark.j.04467	3	3
r11.dark.j.04491	2	2
r11.dark.j.04499	45	1
r11.dark.j.04509	1	1
r11.dark.j.04518	1	1
r11.dark.j.04522	44	2
