	101	102	111	113
r6.date.n.01992	4	4	4	4
r6.date.n.02123	6	7	1	5
r6.date.n.02143	3	3	6	3
r6.date.n.02148	6	5	6	5
r6.date.n.02213	4	4	4	4
r6.date.n.02224	4	4	4	4
r6.date.n.02225	7	7	7	7
r6.date.n.02232	3	3	3	3
r6.date.n.02236	3	2	2	2
r6.date.n.02240	6	6	6	6
r6.date.n.02265	3	3	3	3
r6.date.n.02313	6	5	6	6
r6.date.n.02335	3	2	2	2
r6.date.n.02338	3	3	2	3
r6.date.n.02345	6	6	1	5&&6
r6.date.n.02359	3	2	2	2
r6.date.n.02398	6	5	44	5
r6.date.n.02399	6	5	6	5
r6.date.n.02400	6	5	1	5
r6.date.n.02401	1	1	1	5
r6.date.n.02413	1	1	1	5
r6.date.n.02439	1	1	1	5
r6.date.n.02443	1	1	1	5
r6.date.n.02469	1	1	1	5
r6.date.n.02475	1	1	1	5
r6.date.n.02501	6	5	5	5
r6.date.n.02513	6	5	5	5
r6.date.n.02517	5	6	5	5
r6.date.n.02540	5	6	1	5
r6.date.n.02546	6	5	1	5
r6.date.n.02558	6	6	6	6
r6.date.n.02567	6	6	6	5
r6.date.n.02576	6	5	6	5
r6.date.n.02595	1	5	1	5
r6.date.n.02597	6	6	6	5
r6.date.n.02598	6	5	1	5
r6.date.n.02602	45	5	1	45
r6.date.n.02603	6	5	6	5&&6
r6.date.n.02608	6	5	6	5
r6.date.n.02609	6	5	1	5&&6
r6.date.n.02610	6	5	6	5&&6
r6.date.n.02613	6	5	1	5&&6
r6.date.n.02614	4	4	4	4
r6.date.n.02616	4	4	4	4
r6.date.n.02618	4	45	4	4
r6.date.n.02622	4	4	4	4
r6.date.n.02623	45	45	45	45
r6.date.n.02628	1	5	1	5
r6.date.n.02632	4	4	4	4
r6.date.n.02644	6	6	1	5
r6.date.n.02650	6	5	1	5
r6.date.n.02652	4	4	4	4
r6.date.n.02654	6	6	1	5
r6.date.n.02656	5	5	1	5
r6.date.n.02665	4	4	4	4
r6.date.n.02669	4	4	4	4
r6.date.n.02672	6	5	1	5
r6.date.n.02675	4	4	4	4
r6.date.n.02679	4	4	4	4
r6.date.n.02685	4	4	4	4
r6.date.n.02687	6	5	5	5
r6.date.n.02688	4	4	4	4
r6.date.n.02690	4	4	4	4
r6.date.n.02693	6	5	1	5
r6.date.n.02695	6	5	5	5
r6.date.n.02698	6	5	6	5
r6.date.n.02702	6	5	5	5
r6.date.n.02705	6	5	1	5&&6
r6.date.n.02708	6	5	1	5
r6.date.n.02713	1	5	1	5
r6.date.n.02719	6	5	6	5
r6.date.n.02722	6	6	4	5
r6.date.n.02729	6	5	1	5
r6.date.n.02738	6	5	5	5
r6.date.n.02744	6	6	6	6
r6.date.n.02748	6	5	6	5&&6
r6.date.n.02753	4	4	4	4
r6.date.n.02754	5	5	1	5
r6.date.n.02759	6	6	1	5
r6.date.n.02760	1	5	1	5
r6.date.n.02763	6	5	1	5
r6.date.n.02770	1	5	5	5
r6.date.n.02775	4	4	4	4
r6.date.n.02776	6	6	1	5
r6.date.n.02777	4	4	4	4
r6.date.n.02778	4	4	4	4
r6.date.n.02779	4	4	4	4
r6.date.n.02780	6	5	6	6
r6.date.n.02782	5	5	5	5
r6.date.n.02783	4	4	4	4
r6.date.n.02785	45	45	45	45
r6.date.n.02786	6	6	6	5
r6.date.n.02791	5	6	5	5
r6.date.n.02826	45	45	45	46
r6.date.n.02856	45	45	45	45
r6.date.n.02878	45	45	45	45
r6.date.n.02882	45	45	45	45
r6.date.n.02885	45	45	45	45
r6.date.n.02910	45	45	45	45
