	114	115	116
r1.development.n.00062	1	1	1
r1.development.n.00063	1	1	1
r1.development.n.00064	1	1	1
r1.development.n.00065	1	1	1
r1.development.n.00066	1	1	1
r1.development.n.00067	1	1	1
r1.development.n.00068	1	1	1
r1.development.n.00069	1	1	2
r1.development.n.00070	3	1	2
r1.development.n.00071	1	2	1
r1.development.n.00072	3	2	2
r1.development.n.00073	1	2	1
r1.development.n.00074	1	2	1
r1.development.n.00075	1	2	2
r1.development.n.00076	1	2	2
r1.development.n.00126	1	1	2
r1.development.n.00127	4	4	4
r1.development.n.00155	2	2	2
r1.development.n.00156	1	1	1
r1.development.n.00157	1	5	6
r1.development.n.00166	2	2	2
r1.development.n.00167	2	2	2
r1.development.n.00168	2	4	2
r1.development.n.00207	5	5	5
r1.development.n.00208	4	1	7
r1.development.n.00209	1	1	1
r1.development.n.00210	2	1	1
r1.development.n.00211	4	4	4
r1.development.n.00213	3	2	2
r1.development.n.00214	2	2	7
r1.development.n.00215	2	2	2
r1.development.n.00217	1	1	1
r1.development.n.00219	3	2	3
r1.development.n.00220	3	3	3
r1.development.n.00221	3	3	3
r1.development.n.00222	3	3	3
r1.development.n.00223	3	3	3
r1.development.n.00224	3	3	3
r1.development.n.00225	3	3	3
r1.development.n.00226	3	3	3
r1.development.n.00228	3	3	3
r1.development.n.00229	3	3	3
r1.development.n.00230	3	3	3
r1.development.n.00232	3	3	3
r1.development.n.00233	3	3	3
r1.development.n.00234	3	3	2
r1.development.n.00236	1	1	2
r1.development.n.00237	44	44	44
r1.development.n.00238	3	2	3
r1.development.n.00240	3	3	3
r1.development.n.00242	3	3	3
r1.development.n.00243	3	3	3
r1.development.n.00244	3	3	3
r1.development.n.00247	1	1	1
r1.development.n.00250	1	1	1
r1.development.n.00252	1	1	1
r1.development.n.00255	1	1	1
r1.development.n.00256	4	4	7
r1.development.n.00257	1	1	1
r1.development.n.00258	1	1	1
r1.development.n.00259	1	1	1
r1.development.n.00262	1	1	1
r1.development.n.00266	1	1	1
r1.development.n.00267	44	44	44
r1.development.n.00268	1	5	1
r1.development.n.00269	3	3	3
r1.development.n.00270	1	1	1
r1.development.n.00272	1	1	1
r1.development.n.00274	3	2	3
r1.development.n.00275	3	1	3
r1.development.n.00278	2	1	1
r1.development.n.00280	6	6	6
r1.development.n.00281	2	1	2
