	101	102	111	113
r4.entitle.v.00319	1	1	1	1
r4.entitle.v.00320	1	1	1	1
r4.entitle.v.00326	1	1	1	1
r4.entitle.v.00327	1	1	1	1
r4.entitle.v.00332	1	1	1	1
r4.entitle.v.00339	1	1	1	1
r4.entitle.v.00343	1	1	1	1
r4.entitle.v.00344	1	1	1	1
r4.entitle.v.00348	1	1	1	1
r4.entitle.v.00350	1	1	1	1
r4.entitle.v.00352	2	2	2	2
r4.entitle.v.00353	2	2	2	2
r4.entitle.v.00356	1	1	1	1
r4.entitle.v.00363	1	1	1	1
r4.entitle.v.00365	1	1	1	1
r4.entitle.v.00369	1	1	1	1
r4.entitle.v.00383	1	1	1	1
r4.entitle.v.00386	1	1	1	1
r4.entitle.v.00389	2	2	2	2
r4.entitle.v.00391	2	2	2	2
r4.entitle.v.00392	1	1	1	1
r4.entitle.v.00393	1	1	1	1
r4.entitle.v.00395	1	1	1	1
r4.entitle.v.00399	1	1	1	1
r4.entitle.v.00401	1	1	1	1
r4.entitle.v.00402	1	1	1	1
r4.entitle.v.00406	1	1	1	1
r4.entitle.v.00408	1	1	1	1
r4.entitle.v.00410	1	1	1	1
r4.entitle.v.00412	2	2	2	2
r4.entitle.v.00417	1	1	1	1
r4.entitle.v.00420	1	1	1	1
r4.entitle.v.00430	2	2	2	2
r4.entitle.v.00433	2	2	2	2
r4.entitle.v.00437	1	1	1	1
r4.entitle.v.00440	2	2	2	2
r4.entitle.v.00442	1	1	1	1
r4.entitle.v.00446	2	2	2	2
r4.entitle.v.00447	2	2	2	2
r4.entitle.v.00449	1	1	1	1
r4.entitle.v.00453	1	1	1	1
r4.entitle.v.00454	1	1	1	1
r4.entitle.v.00455	2	2	2	2
r4.entitle.v.00457	1	1	1	1
r4.entitle.v.00463	1	1	1	1
r4.entitle.v.00465	1	1	1	1
r4.entitle.v.00467	1	1	1	1
r4.entitle.v.00468	1	1	1	1
r4.entitle.v.00471	1	1	1	1
r4.entitle.v.00472	1	1	1	1
r4.entitle.v.00479	1	1	1	1
r4.entitle.v.00482	1	1	1	1
r4.entitle.v.00484	1	1	1	1
r4.entitle.v.00486	1	1	1	1
r4.entitle.v.00489	2	2	2	2
r4.entitle.v.00491	2	2	2	2
r4.entitle.v.00492	2	2	2	2
r4.entitle.v.00493	1	1	1	1
r4.entitle.v.00494	1	1	1	1
r4.entitle.v.00496	1	1	1	1
r4.entitle.v.00498	1	1	1	1
r4.entitle.v.00502	1	1	1	1
r4.entitle.v.00503	1	1	1	1
r4.entitle.v.00504	2	2	2	2
r4.entitle.v.00505	2	2	2	2
r4.entitle.v.00508	1	1	1	1
r4.entitle.v.00509	2	2	2	2
r4.entitle.v.00514	1	1	1	1
r4.entitle.v.00515	2	2	2	2
r4.entitle.v.00517	2	2	2	2
r4.entitle.v.00520	2	2	2	2
r4.entitle.v.00524	1	1	1	1
r4.entitle.v.00527	2	2	2	2
r4.entitle.v.00530	2	2	2	2
r4.entitle.v.00532	2	2	2	2
r4.entitle.v.00534	1	1	1	1
r4.entitle.v.00535	2	2	2	2
r4.entitle.v.00538	2	2	2	2
r4.entitle.v.00540	2	2	2	2
r4.entitle.v.00546	2	2	2	2
r4.entitle.v.00547	2	2	2	2
r4.entitle.v.00550	2	2	2	2
r4.entitle.v.00555	2	2	2	2
r4.entitle.v.00558	2	2	2	2
r4.entitle.v.00562	2	2	2	2
r4.entitle.v.00564	2	2	2	2
r4.entitle.v.00565	2	2	2	2
r4.entitle.v.00569	2	2	2	2
r4.entitle.v.00571	2	2	2	2
r4.entitle.v.00574	2	2	2	2
r4.entitle.v.00578	2	2	2	2
r4.entitle.v.00580	2	2	2	2
r4.entitle.v.00581	2	2	2	2
r4.entitle.v.00582	2	2	2	2
r4.entitle.v.00589	2	2	2	2
r4.entitle.v.00595	2	2	2	2
r4.entitle.v.00599	1	1	1	1
r4.entitle.v.00600	1	1	1	1
r4.entitle.v.00607	2	2	2	2
r4.entitle.v.00613	2	2	2	2
