	101	102	111	113
r4.exercise.n.00633	1	1	1	1
r4.exercise.n.00660	1	1	1	1
r4.exercise.n.00665	1	1	1	1
r4.exercise.n.00667	47	1	1	1
r4.exercise.n.00673	1	1	1	1
r4.exercise.n.00688	1	1	1	1
r4.exercise.n.00689	1	1	1	1
r4.exercise.n.00700	1	1	45	45
r4.exercise.n.00703	1	1	1	1
r4.exercise.n.00704	1	1	1	1
r4.exercise.n.00717	1	1	1	1
r4.exercise.n.00733	1	1	1	1
r4.exercise.n.00740	1	1	45	45
r4.exercise.n.00741	1	1	1	1
r4.exercise.n.00751	47	1	1	1
r4.exercise.n.00760	45	45	1	1
r4.exercise.n.00766	47	1	1	1
r4.exercise.n.00769	1	1	1	1
r4.exercise.n.00772	1	1	45	1
r4.exercise.n.00785	1	1	1	1
r4.exercise.n.00786	1	1	1	1
r4.exercise.n.00792	1	1	1	1
r4.exercise.n.00797	1	1	1	1
r4.exercise.n.00835	1	1	1	1
r4.exercise.n.00841	1	1	3	1
r4.exercise.n.00842	1	1	1	1
r4.exercise.n.00846	1	1	3	1&&3
r4.exercise.n.00855	1	1	3	1
r4.exercise.n.00856	1	1	4	1
r4.exercise.n.00865	47	1	1	1
r4.exercise.n.00868	1	1	1	1
r4.exercise.n.00874	1	1	1	1
r4.exercise.n.00882	1	1	1	1
r4.exercise.n.00889	1	1	1	1
r4.exercise.n.00894	1	1	1	1
r4.exercise.n.00896	1	1	1	1&&3
r4.exercise.n.00901	1	1	1	1
r4.exercise.n.00928	1	1	1	1
r4.exercise.n.00935	45	1	45	45
r4.exercise.n.00936	1	1	1	1
r4.exercise.n.00947	1	1	1	1
r4.exercise.n.00972	4	3	3	46
r4.exercise.n.00974	4	3	1&&3	4
r4.exercise.n.00975	4	3	4	46
r4.exercise.n.00979	1	1	1	1
r4.exercise.n.00984	4	2	47	3
r4.exercise.n.00988	4	2	47	2
r4.exercise.n.00990	4	3	4	5
r4.exercise.n.00991	4	2	47	46
r4.exercise.n.01000	3	3	3	46
r4.exercise.n.01003	3	4	4	46
r4.exercise.n.01004	4	4	2	3
r4.exercise.n.01012	1	1	1	46
r4.exercise.n.01016	1	1	1	1
r4.exercise.n.01026	4	3	3	4
r4.exercise.n.01031	4	2	47	3
r4.exercise.n.01032	1	1	1	1
r4.exercise.n.01041	47	1	1	1
r4.exercise.n.01047	2	3	2	3&&4
r4.exercise.n.01066	4	2	4	46
r4.exercise.n.01070	4	2	4	4
r4.exercise.n.01071	2	2	2	3
r4.exercise.n.01074	1	1	1	1
r4.exercise.n.01089	47	1	1	1
r4.exercise.n.01091	2	2	2	2
r4.exercise.n.01092	4	3	3	46
r4.exercise.n.01093	1	3	4	3&&5
r4.exercise.n.01123	4	2	2	46
r4.exercise.n.01127	4	4	3	4
r4.exercise.n.01133	45	2	2	45
r4.exercise.n.01139	4	2	47	2
r4.exercise.n.01149	2	2	2	2
r4.exercise.n.01158	4	3	4	4
r4.exercise.n.01159	4	3	3	3
r4.exercise.n.01164	3	3	3	3
r4.exercise.n.01168	3	3	3	3
r4.exercise.n.01169	3	3	3	3
r4.exercise.n.01176	4	1	4	4
r4.exercise.n.01179	1	1	1	1
r4.exercise.n.01188	1	1	1	1
r4.exercise.n.01194	4	4	3	4
r4.exercise.n.01203	1	1	1	1
r4.exercise.n.01214	1	1	1	1
r4.exercise.n.01222	1	1	1	1
r4.exercise.n.01224	1	1	1	1
r4.exercise.n.01234	1	1	1	1
r4.exercise.n.01235	1	1	1	1
r4.exercise.n.01244	1	1	1	1
r4.exercise.n.01252	1	1	1	1
r4.exercise.n.01253	1	1	1	1
r4.exercise.n.01259	1	1	1	1
r4.exercise.n.01279	1	1	1	1
r4.exercise.n.01287	2	2	2	2
r4.exercise.n.01313	4	3	4	3
r4.exercise.n.01327	1	1	1	1
r4.exercise.n.01346	1	1	1	1
r4.exercise.n.01347	1	1	1	1
r4.exercise.n.01352	1	1	1	1
r4.exercise.n.01357	1	1	1	1
r4.exercise.n.01359	1	1	1	1
r4.exercise.n.01366	4	3	4	3
r4.exercise.n.01368	1	1	1	1
