	101	102	111	113
r4.exercise.v.01403	45	4	4	4
r4.exercise.v.01407	4	4	4	4
r4.exercise.v.01408	4	44	4	4
r4.exercise.v.01409	4	4	4	4
r4.exercise.v.01410	4	4	4	45
r4.exercise.v.01413	47	4	45	45
r4.exercise.v.01414	1	4	1	1
r4.exercise.v.01415	4	4	4	4
r4.exercise.v.01423	4	4	4	4
r4.exercise.v.01426	4	4	4	4
r4.exercise.v.01427	4	4	4	4
r4.exercise.v.01436	45	4	4	4
r4.exercise.v.01441	4	4	4	4
r4.exercise.v.01448	4	4	4	4
r4.exercise.v.01453	4	4	4	4
r4.exercise.v.01454	4	4	4	4
r4.exercise.v.01457	4	4	4	4
r4.exercise.v.01458	4	4	4	4
r4.exercise.v.01464	4	4	4	4
r4.exercise.v.01465	1	3	1	1
r4.exercise.v.01466	4	4	4	4
r4.exercise.v.01469	4	4	4	4
r4.exercise.v.01472	4	4	4	4
r4.exercise.v.01474	4	4	4	4
r4.exercise.v.01477	45	4	4	4
r4.exercise.v.01478	4	4	4	4
r4.exercise.v.01481	4	4	4	4
r4.exercise.v.01495	45	45	4	4
r4.exercise.v.01497	4	4	4	4
r4.exercise.v.01500	4	4	4	4
r4.exercise.v.01501	4	4	4	4
r4.exercise.v.01525	4	4	4	4
r4.exercise.v.01532	4	4	4	4
r4.exercise.v.01534	4	4	4	4
r4.exercise.v.01538	4	4	4	4
r4.exercise.v.01539	4	4	4	4
r4.exercise.v.01542	4	3	4	4
r4.exercise.v.01547	4	4	4	4
r4.exercise.v.01552	45	4	4	4
r4.exercise.v.01554	4	4	4	4
r4.exercise.v.01557	4	4	4	4
r4.exercise.v.01560	4	4	4	4
r4.exercise.v.01562	1	2	1	1
r4.exercise.v.01566	4	4	4	45
r4.exercise.v.01569	1	2	1	1
r4.exercise.v.01572	4	4	4	4
r4.exercise.v.01577	1	2	1	1
r4.exercise.v.01578	1	2	1	1
r4.exercise.v.01579	1	2	1	1
r4.exercise.v.01580	1	45	3	1
r4.exercise.v.01583	1	2	1	1
r4.exercise.v.01588	4	4	4	4
r4.exercise.v.01590	4	4	4	4
r4.exercise.v.01594	1	2	1	1
r4.exercise.v.01596	1	2	1	1
r4.exercise.v.01600	45	45	1	45
r4.exercise.v.01609	1	1	1	1
r4.exercise.v.01610	1	46	1	1
r4.exercise.v.01611	1	2	1	1
r4.exercise.v.01614	4	4	4	4
r4.exercise.v.01616	2	45	1	1
r4.exercise.v.01618	1	2	1	1
r4.exercise.v.01628	4	4	4	4
r4.exercise.v.01629	1	2	1	1
r4.exercise.v.01638	45	45	45	45
r4.exercise.v.01649	1	2	1	1
r4.exercise.v.01650	1	2	1	1
r4.exercise.v.01652	2	2	1	1
r4.exercise.v.01653	45	45	4	45
r4.exercise.v.01655	1	3	3	1&&3
r4.exercise.v.01657	1	2	1	1
r4.exercise.v.01661	45	45	45	45
r4.exercise.v.01666	1	2	1	1
r4.exercise.v.01669	1	2	1	1&&3
r4.exercise.v.01671	45	45	5	45
r4.exercise.v.01678	1	2	1	1
r4.exercise.v.01683	1	1	1	1
r4.exercise.v.01686	45	45	5	45
r4.exercise.v.01688	1	2	1	2
r4.exercise.v.01690	1	1	1	2
r4.exercise.v.01704	3	4	3	3
r4.exercise.v.01706	3	3	3	3
r4.exercise.v.01708	3	3	3	4
r4.exercise.v.01710	1	2	1	1
r4.exercise.v.01712	45	45	45	45
r4.exercise.v.01721	1	1	1	2
r4.exercise.v.01722	45	45	5	45
r4.exercise.v.01723	1	2	1	1
r4.exercise.v.01727	45	45	5	45
r4.exercise.v.01729	1	2	1	1
r4.exercise.v.01730	1	2	1	1
r4.exercise.v.01731	1	2	1	1
r4.exercise.v.01738	1	2	1	1
r4.exercise.v.01746	1	1	1	1
r4.exercise.v.01756	1	2	1	1
r4.exercise.v.01759	1	2	1	1
r4.exercise.v.01766	1	1	1	1
r4.exercise.v.01769	3	3	4	3
r4.exercise.v.01771	1	1	1	1
r4.exercise.v.01773	45	45	5	45
r4.exercise.v.01779	45	45	5	45
r4.exercise.v.01780	4	4	4	4
