	101	102	105	107	108
r2.fair.j.00007	1	1	1	1	1
r2.fair.j.00010	1	2	1	1	1
r2.fair.j.00015	1	1	1	1	1
r2.fair.j.00036	47	2	1	1	47
r2.fair.j.00049	2	2	2	2	47
r2.fair.j.00060	1	1	1	1	1
r2.fair.j.00064	2	2	2	2	2
r2.fair.j.00070	1	1	1	1	1
r2.fair.j.00073	1	1	2	1	1
r2.fair.j.00074	47	47	2	2	47
r2.fair.j.00083	1	7	1	1	1
r2.fair.j.00090	1	1	1	1	1
r2.fair.j.00091	8	1	1	1	1
r2.fair.j.00095	1	1	1	1	47
r2.fair.j.00102	2	2	2	2	2
r2.fair.j.00107	2	1	2	2	44
r2.fair.j.00108	1	1	1	1	1
r2.fair.j.00110	1	2	47	1	47
r2.fair.j.00117	1	1	1	8	8
r2.fair.j.00124	1	5	1	1	1
r2.fair.j.00129	1	1	2	2	2
r2.fair.j.00131	2	2	2	2	2
r2.fair.j.00135	1	1	1	1	1
r2.fair.j.00144	1	1	2	1	2
r2.fair.j.00154	1	1	1	1	1
r2.fair.j.00159	2	2	1	1	1
r2.fair.j.00160	1	1	1	1	1
r2.fair.j.00164	1	1	1	1	1
r2.fair.j.00166	1	1	1	1	1
r2.fair.j.00169	2	2	2	2	2
r2.fair.j.00170	1	1	1	1	1
r2.fair.j.00172	2	2	2	46	2
r2.fair.j.00182	5	1	2	1	44
r2.fair.j.00183	1	1	1	1	1
r2.fair.j.00196	2	2	2	1	2
r2.fair.j.00204	44	1	1	1	1
r2.fair.j.00207	47	2	1	1	47
r2.fair.j.00208	47	2	1	1	47
r2.fair.j.00212	47	1	1	1	47
r2.fair.j.00214	1	1	1	1	1
r2.fair.j.00220	1	47	47	1	47
r2.fair.j.00221	1	1	1	1	1
r2.fair.j.00228	1	1	1	1	1
r2.fair.j.00231	1	1	1	1	1
r2.fair.j.00237	1	1	1	1	1
r2.fair.j.00240	47	2	1	1	47
r2.fair.j.00241	1	2	1	1	1
r2.fair.j.00251	45	45	45	45	45
r2.fair.j.00274	1	2	1	1	1
r2.fair.j.00275	1	2	1	1	1
r2.fair.j.00278	1	1	1	1	1
r2.fair.j.00280	1	2	8	2	1
r2.fair.j.00288	1	1	1	1	1
r2.fair.j.00289	2	2	2	46	2
r2.fair.j.00292	1	1	2	2	1
r2.fair.j.00293	2	2	2	2	2
r2.fair.j.00296	2	2	2	2	2
r2.fair.j.00298	1	1	1	1	1
r2.fair.j.00301	2	2	2	2	2
r2.fair.j.00302	2	2	2	46	2
r2.fair.j.00306	44	44	45	3	45
r2.fair.j.00314	5	5	5	5	5
r2.fair.j.00326	45	45	45	45	45
r2.fair.j.00328	1	1	1	1	1
r2.fair.j.00329	1	2	1	1	1
r2.fair.j.00330	1	1	1	1	1
r2.fair.j.00333	2	2	1	1	1
r2.fair.j.00336	1	1	1	1	1
r2.fair.j.00342	5	5	5	5	5
r2.fair.j.00346	2	2	5	2	2
r2.fair.j.00347	5	2	5	2	2
r2.fair.j.00349	5	5	1	5	5
r2.fair.j.00350	5	5	5	5	5
r2.fair.j.00358	1	1	1	1	1
r2.fair.j.00359	1	1	1	1	1
r2.fair.j.00364	1	1	1	1	1
r2.fair.j.00372	2	47	2	2	47
r2.fair.j.00381	2	47	2	1	47
r2.fair.j.00383	1	1	1	1	1
r2.fair.j.00385	2	47	2	1	47
r2.fair.j.00386	1	47	2	2	47
r2.fair.j.00391	1	47	2	2	47
r2.fair.j.00393	2	47	2	2	47
r2.fair.j.00399	1	1	1	1	1
r2.fair.j.00401	1	1	1	1	1
r2.fair.j.00404	1	47	2	2	47
r2.fair.j.00407	1	47	2	1	47
r2.fair.j.00410	2	47	2	2	47
r2.fair.j.00417	1	1	1	1	1
r2.fair.j.00427	1	1	1	1	1
r2.fair.j.00431	1	2	1	1	1
r2.fair.j.00439	1	2	1	1	44
r2.fair.j.00446	45	45	45	45	45
r2.fair.j.00455	1	2	2	1	1
r2.fair.j.00456	45	45	45	45	45
r2.fair.j.00457	45	45	45	45	45
r2.fair.j.00458	2	47	2	2	47
r2.fair.j.00459	47	2	47	2	47
r2.fair.j.00469	45	45	45	45	45
