	101	102	111	113
r8.family.n.01776	1	1	1	2
r8.family.n.01777	1	1	1	1&&2
r8.family.n.01778	1	1	2	1&&2
r8.family.n.01779	1	1	2	1&&2
r8.family.n.01780	2	2	2	1&&2&&8
r8.family.n.01781	1	1	1&&2	1&&2
r8.family.n.01782	1	2	2	1&&2
r8.family.n.01783	1	2	2	2
r8.family.n.01784	2	2	2	2
r8.family.n.01785	1	2	1	1&&2
r8.family.n.01786	1	2	1	1&&2
r8.family.n.01787	1	2	1	1&&2
r8.family.n.01788	1	2	2	1&&2
r8.family.n.01789	1	2	1	1&&2
r8.family.n.01790	1	2	1&&2	1&&2
r8.family.n.01791	1	2	2	2
r8.family.n.01792	1	2	1	1&&2
r8.family.n.01793	1	2	2	1&&2
r8.family.n.01794	1	2	2	1&&2
r8.family.n.01795	1	2	1	1&&2
r8.family.n.01796	1	1	1	1&&2
r8.family.n.01797	1	2	1	1&&2
r8.family.n.01798	1	2	2	1&&2
r8.family.n.01799	2	1	2	1&&2
r8.family.n.01800	1	2	1	1&&2
r8.family.n.01801	1	2	1	1&&2
r8.family.n.01802	1	2	1	1&&2
r8.family.n.01803	1	1	1	1&&2
r8.family.n.01804	1	1	1	1&&2
r8.family.n.01805	1	2	1	1&&2
r8.family.n.01806	1	1	1	1&&2
r8.family.n.01807	1	1	1	1&&2
r8.family.n.01808	1	2	1	1&&2
r8.family.n.01809	1	2	1	1&&2
r8.family.n.01810	1	2	1	1&&2
r8.family.n.01811	1	2	1	1&&2
r8.family.n.01812	1	1	1	1&&2
r8.family.n.01813	1	1	2	1&&2
r8.family.n.01814	1	1	2	1&&2
r8.family.n.01815	1	1	2	1&&2
r8.family.n.01816	1	2	2	1&&2
r8.family.n.01817	1	2	2	2
r8.family.n.01818	1	1	1	1&&2
r8.family.n.01819	1	2	2	1&&2
r8.family.n.01820	1	2	1	1&&2
r8.family.n.01821	1	1	2	1&&2
r8.family.n.01822	1	2	2	1&&2
r8.family.n.01823	1	2	1	1&&2
r8.family.n.01824	2	2	1	47
r8.family.n.01825	1	1	1	1&&2
r8.family.n.01826	1	2	2	1&&2
r8.family.n.01827	1	2	2	1&&2
r8.family.n.01828	1	2	1	1&&2
r8.family.n.01829	1	1	2	1&&2
r8.family.n.01831	1	2	1	1&&2
r8.family.n.01832	1	2	1	1&&2
r8.family.n.01833	1	2	2	1&&2
r8.family.n.01834	1	2	1	1&&2
r8.family.n.01835	4	4	4	4
r8.family.n.01836	4	4	4	4
r8.family.n.01837	3	3	3	3
r8.family.n.01838	3	3	3	3
r8.family.n.01839	3	3	3	3
r8.family.n.01840	3	3	3	3
r8.family.n.01841	3	3	3	47
r8.family.n.01842	3	3	3	3
r8.family.n.01843	45	1	45	1&&2&&4
r8.family.n.01844	45	1	45	1&&2&&4
r8.family.n.01845	3	1	45	1&&2
r8.family.n.01846	3	1	45	1&&2&&4
r8.family.n.01847	1	1	2	2
r8.family.n.01848	1	1	2	1&&2&&4
r8.family.n.01849	45	1	45	1&&2&&4
r8.family.n.01850	3	1	3	8
r8.family.n.01851	45	1	45	1&&2&&4
r8.family.n.01852	5	2	2	1&&2
r8.family.n.01895	7	7	7	4&&7
r8.family.n.01900	1	1	2	1&&2
r8.family.n.01957	1	2	2	1&&2
r8.family.n.01962	1	2	1	1&&2
r8.family.n.01976	1	1	1	1&&2
r8.family.n.01977	2	2	2	1&&2
r8.family.n.02100	1	2	2	1&&2
r8.family.n.02110	4	4	6	3
r8.family.n.02117	1	1	2	1&&2
r8.family.n.02173	1	2	2	1&&2&&4
r8.family.n.02178	1	2	2	1&&2
r8.family.n.02228	3	3	6	3
r8.family.n.02251	3	3	6	3
r8.family.n.02267	3	3	6	3
r8.family.n.02307	3	3	6	3
r8.family.n.02316	3	3	2	3
r8.family.n.02439	3	3	6	3
r8.family.n.02457	2	1	1	47
r8.family.n.02475	3	4	6	3
r8.family.n.02505	2	2	2	1&&2
r8.family.n.02685	2	2	2	1&&2
r8.family.n.02738	1	4	1	1&&2
r8.family.n.02770	4	4	4	1&&2
