	101	102	111	115
r10.find.v.04059	10	10	7	3
r10.find.v.04067	10	10	7	3
r10.find.v.04083	1	1	9	1
r10.find.v.04092	9	2	9	2
r10.find.v.04097	13	13	6	13
r10.find.v.04100	7	3	7	1
r10.find.v.04105	1	1	2	1
r10.find.v.04106	15	1	1	3
r10.find.v.04107	7	7	3	3
r10.find.v.04111	2	2	1&&6	3
r10.find.v.04122	8	8	4	4
r10.find.v.04132	8	8	4	4
r10.find.v.04140	2	2	9	2
r10.find.v.04146	2	2	4	4
r10.find.v.04152	4	4	4	2
r10.find.v.04167	2	2	2	3
r10.find.v.04188	2	2	6	1
r10.find.v.04190	1	1	6	2
r10.find.v.04192	1	9	2	1
r10.find.v.04196	1	15	9	1
r10.find.v.04198	1	2	2	2
r10.find.v.04200	9	2	9	1
r10.find.v.04204	1	1	1	1
r10.find.v.04211	2	13	13	13
r10.find.v.04217	2	9	1	2
r10.find.v.04221	8	8	4	4
r10.find.v.04232	4	4	9	1
r10.find.v.04240	4	2	9	2
r10.find.v.04242	4	3	4	2
r10.find.v.04244	3	1	7	3
r10.find.v.04248	4	4	11	2
r10.find.v.04255	1	1	6	1
r10.find.v.04264	2	9	1	3
r10.find.v.04270	3	3	3	3
r10.find.v.04277	3	9	9	3
r10.find.v.04279	13	13	13	13
r10.find.v.04284	10	1	1&&7	3
r10.find.v.04292	2	2	2	1
r10.find.v.04295	1	3	6	3
r10.find.v.04309	1	3	8	3
r10.find.v.04311	3	2	7	3
r10.find.v.04320	5	5	5	5
r10.find.v.04325	7	3	7	3
r10.find.v.04326	1	1	6	1
r10.find.v.04327	1	5	6	1
r10.find.v.04328	1	1	6	1
r10.find.v.04329	1	1	6	1
r10.find.v.04333	13	13	13	13
r10.find.v.04334	15	2	1	3
r10.find.v.04335	1	1	6	1
r10.find.v.04346	10	10	7	3
r10.find.v.04348	1	1	6	1
r10.find.v.04352	8	9	4	4
r10.find.v.04356	1	1	9	1
r10.find.v.04357	1	1	1	1
r10.find.v.04359	8	8	8	2
r10.find.v.04367	9	2	4	4
r10.find.v.04368	2	8	4	2
r10.find.v.04373	7	3	2	3
r10.find.v.04377	1	1	1	1
r10.find.v.04381	3	3	2	3
r10.find.v.04382	1	3	1	3
r10.find.v.04386	2	9	9	1
r10.find.v.04391	2	2	3	1
r10.find.v.04393	3	3	3	3
r10.find.v.04401	7	10	9	3
r10.find.v.04402	7	3	9	3
r10.find.v.04409	3	14	3	3
r10.find.v.04411	1	1	6	1
r10.find.v.04414	3	1	7	1
r10.find.v.04416	1	1	6	1
r10.find.v.04424	4	4	9	2
r10.find.v.04438	2	8	9	2
r10.find.v.04441	5	5	5	5
r10.find.v.04443	46	3	6	1
r10.find.v.04445	3	1	6	3
r10.find.v.04446	3	1	6	3
r10.find.v.04447	3	1	6	3
r10.find.v.04453	7	3	3&&7	3
r10.find.v.04454	3	3	2	3
r10.find.v.04468	13	13	11	44
r10.find.v.04474	3	3	3	3
r10.find.v.04475	3	14	3	3
r10.find.v.04478	3	3	3	3
r10.find.v.04485	3	3	3	3
r10.find.v.04486	3	3	3	3
r10.find.v.04487	7	4	9	2
r10.find.v.04489	3	1	3	2
r10.find.v.04494	8	8	4	4
r10.find.v.04503	10	1	9	4
r10.find.v.04511	3	3	3	3
r10.find.v.04520	10	10	7	3
r10.find.v.04535	2	2	4	4
r10.find.v.04536	7	8	8	3
