	101	102	111	115
r9.fold.v.00999	5	1	1	1
r9.fold.v.01000	1	1	1	1
r9.fold.v.01001	1	1	1	1
r9.fold.v.01002	1	1	1	1
r9.fold.v.01004	45	5	46	1
r9.fold.v.01007	1	5	1	45
r9.fold.v.01008	1	5	1	1
r9.fold.v.01009	45	4	45	45
r9.fold.v.01010	1	1	1	1
r9.fold.v.01011	1	1	1	45
r9.fold.v.01012	1	1	1	45
r9.fold.v.01013	44	5	1	1
r9.fold.v.01014	44	5	1	1
r9.fold.v.01016	44	46	1	45
r9.fold.v.01017	45	47	45	45
r9.fold.v.01028	45	45	45	45
r9.fold.v.01039	45	45	45	45
r9.fold.v.01047	5	1	1	1
r9.fold.v.01058	3	3	3	3
r9.fold.v.01083	45	45	45	45
r9.fold.v.01160	45	45	45	45
r9.fold.v.01212	45	45	45	45
r9.fold.v.01216	44	5	1	1
r9.fold.v.01362	45	45	1	45
r9.fold.v.01423	45	45	45	45
r9.fold.v.01428	45	45	45	45
r9.fold.v.01470	45	45	45	45
r9.fold.v.01475	45	45	45	45
r9.fold.v.01476	45	45	45	45
r9.fold.v.01545	45	45	45	45
r9.fold.v.01550	45	45	45	45
r9.fold.v.01650	45	45	45	45
r9.fold.v.01651	45	45	45	45
r9.fold.v.01657	45	45	45	45
r9.fold.v.01676	45	45	45	45
r9.fold.v.01697	45	45	46	45
r9.fold.v.01701	45	46	46	45
r9.fold.v.01713	45	45	46	45
r9.fold.v.01715	45	45	45	45
r9.fold.v.01751	45	45	45	45
r9.fold.v.01754	45	45	1	45
