	107	108	109	111	113
r3.forget.v.01894	3	1&&2	2	1	2
r3.forget.v.01929	2	2	2	1	2
r3.forget.v.01930	3	2	2	1	2&&3
r3.forget.v.01945	2	2	2	2	2
r3.forget.v.01957	2	2	2	2	2
r3.forget.v.01959	2	2	1	1	2
r3.forget.v.01965	2	2	2	2	2
r3.forget.v.01966	1	44	2	1	2
r3.forget.v.01969	2	2	2	2	2
r3.forget.v.01972	1	1	1	1	1
r3.forget.v.01987	2	2	2	2	2
r3.forget.v.02013	2	2	2	2	2
r3.forget.v.02018	2	2	2	2	2
r3.forget.v.02025	1	1	1	1	1
r3.forget.v.02030	2	4	2	1	2
r3.forget.v.02036	2	2	2	1	2
r3.forget.v.02043	2	2	2	2	2
r3.forget.v.02058	2	2	2	2	2
r3.forget.v.02060	2	2	2	2	2
r3.forget.v.02075	2	2	2	2	2
r3.forget.v.02079	1	1	1	1	1
r3.forget.v.02090	2	2	2	1	2
r3.forget.v.02091	3	2	2	1	2
r3.forget.v.02114	2	2	2	2	2
r3.forget.v.02115	1	1	1	1	1
r3.forget.v.02125	2	2	2	1	2
r3.forget.v.02126	1	1	1	1	3
r3.forget.v.02135	2	2	2	1	2
r3.forget.v.02168	2	2	2	2	2
r3.forget.v.02176	1	1	2	1	1
r3.forget.v.02177	3	3	3	1&&2	2
r3.forget.v.02180	2	2	2	2	2
r3.forget.v.02185	2	2	2	2	2
r3.forget.v.02190	2	2	2	1	2
r3.forget.v.02193	2	2	2	2	2
r3.forget.v.02212	2	2	2	2	2
r3.forget.v.02247	2	2	2	2	2
r3.forget.v.02251	2	2	2	2	2
r3.forget.v.02255	2	2	2	2	2
r3.forget.v.02279	1	46	2	1	1&&2
r3.forget.v.02285	3	3	3	3	3
r3.forget.v.02291	2	2	2	2	2
r3.forget.v.02297	2	2	2	1	2
r3.forget.v.02318	2	2	2	1	2
r3.forget.v.02327	45	1&&2	2	1	1&&2
r3.forget.v.02332	3	3	3	3	3
r3.forget.v.02337	1	1	1	1	1
r3.forget.v.02343	2	44	2	1	2
r3.forget.v.02349	2	2	1	1	2
r3.forget.v.02359	1	1	2	1	1
r3.forget.v.02371	1	1	1	1	1
r3.forget.v.02394	2	2	1	1	2
r3.forget.v.02397	1	2	2	1	2
r3.forget.v.02398	45	44	45	45	2
r3.forget.v.02402	2	1	2	1	3
r3.forget.v.02405	46	2	2	1	2
r3.forget.v.02407	3	3	3	1	3
r3.forget.v.02449	2	2	2	1	1&&2
r3.forget.v.02462	1	1	1	1	1
r3.forget.v.02467	2	2	2	2	2
r3.forget.v.02473	1	1	1	1	1
r3.forget.v.02479	1	1	1	1	1
r3.forget.v.02484	3	3	3	3	3
r3.forget.v.02511	1	1	1	1	2
r3.forget.v.02520	1	2	1	1	1&&2
r3.forget.v.02529	2	1	2	1	2
r3.forget.v.02541	1	1	1	1	1
r3.forget.v.02557	2	46	2	1	2
r3.forget.v.02561	2	2	45	45	2
r3.forget.v.02562	2	2	2	2	2
r3.forget.v.02574	2	2	2	1	2
r3.forget.v.02575	1	1	1	1	1
r3.forget.v.02587	3	3	3	3	3
r3.forget.v.02592	1	1	1	1	1
r3.forget.v.02610	2	2	1	2	2
r3.forget.v.02612	2	1	1	1	2
r3.forget.v.02614	2	1&&2	2	1	2
r3.forget.v.02622	4	4	4	4	4
r3.forget.v.02638	46	2	2	1	2
r3.forget.v.02646	2	2	2	1	2
r3.forget.v.02676	1	2	1	2	2
r3.forget.v.02677	1	2	45	1	2
r3.forget.v.02684	2	1	2	1	2
r3.forget.v.02690	2	2	2	1	2
r3.forget.v.02697	2	2	2	2	2
r3.forget.v.02698	2	2	2	2	2
r3.forget.v.02705	2	1	2	1	2
r3.forget.v.02719	1	1	2	1	2
r3.forget.v.02720	2	2	2	2	2
r3.forget.v.02729	45	2	45	1	2
r3.forget.v.02755	2	2	45	1	2
r3.forget.v.02759	46	46	2	2	2
r3.forget.v.02763	1	1	1	1	1
r3.forget.v.02767	2	2	2	1	2
r3.forget.v.02782	2	1	1	1	2
r3.forget.v.02809	4	4	4	4	4
r3.forget.v.02830	4	4	4	4	4
r3.forget.v.02834	45	46	45	1	2
r3.forget.v.02835	3	3	3	3	3
r3.forget.v.02836	46	2	2	1	2
r3.forget.v.02839	2	2	3	2	2
r3.forget.v.02841	2	2	2	1	2
