	101	102	113
r7.frighten.v.01981	1	1	1
r7.frighten.v.01982	1	1	1
r7.frighten.v.01983	45	1	1
r7.frighten.v.01984	1	1	1
r7.frighten.v.01985	1	1	1
r7.frighten.v.01986	45	1	1
r7.frighten.v.01987	1	1	1
r7.frighten.v.01988	45	1	1
r7.frighten.v.01989	1	1	1
r7.frighten.v.01990	45	1	1
r7.frighten.v.01991	1	1	1
r7.frighten.v.01992	1	1	1
r7.frighten.v.01993	1	1	1
r7.frighten.v.01994	1	1	1
r7.frighten.v.01995	1	1	1
r7.frighten.v.01996	1	1	1
r7.frighten.v.01997	45	1	1
r7.frighten.v.01998	1	1	1
r7.frighten.v.01999	45	1	1
