	101	102	111	115
r9.full.j.01787	46	47	46	3
r9.full.j.01788	2	1	2	3
r9.full.j.01789	46	47	46	3
r9.full.j.01790	1	1	1	1
r9.full.j.01791	3	2	2	3
r9.full.j.01792	3	2	2	3
r9.full.j.01793	2	2	2	3
r9.full.j.01794	2	7	2	2
r9.full.j.01795	1	1	1	1
r9.full.j.01796	7	7	7	7
r9.full.j.01797	3	1	2	2
r9.full.j.01798	1	1	1	1
r9.full.j.01799	1	1	1	1
r9.full.j.01800	1	1	1	1
r9.full.j.01801	3	7	2	3
r9.full.j.01802	2	3	2	2
r9.full.j.01803	1	1	1	1
r9.full.j.01804	2	2	3	3
r9.full.j.01805	2	2	2	2
r9.full.j.01806	2	2	2	3
r9.full.j.01807	2	2	2	2
r9.full.j.01809	3	1	6	46
r9.full.j.01810	1	1	1	1
r9.full.j.01811	7	7	7	7
r9.full.j.01812	1	1	1	1
r9.full.j.01813	1	1	1	1
r9.full.j.01814	3	3	6	3
r9.full.j.01815	7	7	7	7
r9.full.j.01816	3	2	2	3
r9.full.j.01817	1	1	1	1
r9.full.j.01818	2	2	2	2
r9.full.j.01819	2	2	2	3
r9.full.j.01820	2	3	3	3
r9.full.j.01821	2	3	3	3
r9.full.j.01823	1	1	1	1
r9.full.j.01824	2	7	3	2
r9.full.j.01828	3	3	6	2
r9.full.j.01829	1	1	1	1
r9.full.j.01830	46	8	6	46
r9.full.j.01831	2	2	2	2
r9.full.j.01832	1	1	1	1
r9.full.j.01833	1	1	1	1
r9.full.j.01834	2	2	2	2
r9.full.j.01835	1	1	1	1
r9.full.j.01836	1	1	1	1
r9.full.j.01837	1	1	1	1
r9.full.j.01838	2	3	2	2
r9.full.j.01839	2	3	2	2
r9.full.j.01840	3	2	2	6
r9.full.j.01841	1	1	1	1
r9.full.j.01842	3	2	7	3
r9.full.j.01843	2	3	2	2
r9.full.j.01844	3	3	2	3
r9.full.j.01845	3	3	2	3
r9.full.j.01846	2	3	3	2
r9.full.j.01847	2	2	3	3
r9.full.j.01848	1	1	1	1
r9.full.j.01849	2	2	3	3
r9.full.j.01850	2	2	2	2
r9.full.j.01851	46	47	46	3
r9.full.j.01852	3	3	7	3
r9.full.j.01853	1	1	1	1
r9.full.j.01854	1	1	1	1
r9.full.j.01855	3	47	3	3
r9.full.j.01858	2	3	3	2
r9.full.j.01859	2	2	2	2
r9.full.j.01860	2	7	2	2
r9.full.j.01861	2	7	2	2
r9.full.j.01862	3	2	2	2
r9.full.j.01863	1	1	1	1
r9.full.j.01864	1	1	1	1
r9.full.j.01865	1	1	1	1
r9.full.j.01866	4	4	4	4
r9.full.j.01867	1	1	1	1
r9.full.j.01868	2	2	2	3
r9.full.j.01869	1	1	1	1
r9.full.j.01870	2	2	2	2
r9.full.j.01871	2	2	2	2
r9.full.j.01872	2	2	2	2
r9.full.j.01873	2	2	2	2
r9.full.j.01874	2	2	2	2
r9.full.j.02005	2	2	2	2
r9.full.j.02038	1	1	1	1
r9.full.j.02190	1	1	1	1
r9.full.j.02302	3	1	3	3
r9.full.j.02318	3	7	2	3
r9.full.j.02410	2	3	1	3
r9.full.j.02412	2	3	3	2
r9.full.j.02566	2	2	2	2
r9.full.j.02601	2	2	2	2
r9.full.j.02649	2	3	2	3
r9.full.j.02673	2	2	2	3
r9.full.j.02725	1	1	1	1
