	101	102	111	113
r8.great.j.02776	4	4	4	4
r8.great.j.02777	4	4	4	4
r8.great.j.02778	4	4	4	4
r8.great.j.02779	4	4	4	4
r8.great.j.02780	4	4	4	4
r8.great.j.02781	1	3	1	1
r8.great.j.02782	1	3	1	3
r8.great.j.02783	4	4	4	2&&4
r8.great.j.02784	1	1	1	3
r8.great.j.02785	1	1	1	3
r8.great.j.02786	2	2	2	2
r8.great.j.02787	2	2	2	2
r8.great.j.02788	2	2	2	2
r8.great.j.02789	1	1	1	1
r8.great.j.02790	1	3	1	1
r8.great.j.02791	4	4	2	4
r8.great.j.02792	1	1	1	1
r8.great.j.02793	4	4	4	3&&4
r8.great.j.02806	1	1	1	3
r8.great.j.02808	3	2	2	2&&4
r8.great.j.02851	1	1	1	3
r8.great.j.02877	4	2	2	2
r8.great.j.02881	4	4	4	4
r8.great.j.02897	4	4	4	4
r8.great.j.02907	2	2	2	2&&4
r8.great.j.02910	4	4	3	4
r8.great.j.02911	1	3	1	3
r8.great.j.02918	4	4	4	4
r8.great.j.02938	1	1	1	3
r8.great.j.02949	1	1	1	2&&3
r8.great.j.02981	4	4	4	4
r8.great.j.02992	1	3	1	2
r8.great.j.03012	4	4	3	4
r8.great.j.03025	4	4	4	4
r8.great.j.03031	4	4	4	4
r8.great.j.03035	1	1	1	3
r8.great.j.03037	2	2	2	2
r8.great.j.03040	4	2	4	4
r8.great.j.03056	4	4	4	4
r8.great.j.03057	2	2	2	2&&4
r8.great.j.03062	1	1	1	1
r8.great.j.03075	1	1	1	3
r8.great.j.03096	3	2	2	2&&4
r8.great.j.03097	4	4	4	4
r8.great.j.03101	2	2	2	2&&4
r8.great.j.03111	2	2	2	2&&4
r8.great.j.03118	1	4	4	3
r8.great.j.03154	4	4	4	4
r8.great.j.03158	1	1	1	3
r8.great.j.03169	4	4	4	4
r8.great.j.03172	1	1	1	3&&4
r8.great.j.03179	1	1	1	1
r8.great.j.03193	3	3	3	3
r8.great.j.03197	3	2	2	2
r8.great.j.03204	1	1	1	3
r8.great.j.03210	4	4	4	4
r8.great.j.03213	2	2	2	2
r8.great.j.03215	1	3	1	3
r8.great.j.03216	1	1	2	3
r8.great.j.03233	1	1	1	3
r8.great.j.03234	1	3	1	3
r8.great.j.03235	1	1	1	3
r8.great.j.03238	1	1	1	3
r8.great.j.03244	1	1	1	46
r8.great.j.03249	1	3	1	3
r8.great.j.03252	4	4	4	4
r8.great.j.03254	1	1	1	3
r8.great.j.03267	4	4	4	4
r8.great.j.03277	1	1	1	3&&4
r8.great.j.03280	1	1	3	3
r8.great.j.03291	1	1	1	1
r8.great.j.03295	1	1	1	1
r8.great.j.03303	1	1	1	3
r8.great.j.03319	1	1	1	3
r8.great.j.03322	1	1	1	1
r8.great.j.03337	1	1	1	1
r8.great.j.03343	1	1	1	3
r8.great.j.03345	1	1	1	1
r8.great.j.03359	47	47	47	1
r8.great.j.03362	2	2	2	2
r8.great.j.03365	1	1	1	3
r8.great.j.03366	1	2	2	2
r8.great.j.03367	1	3	1	3
r8.great.j.03387	1	1	1	3
r8.great.j.03400	1	1	1	3
r8.great.j.03404	3	2	4	2&&4
r8.great.j.03413	2	2	2	1&&2
r8.great.j.03416	2	2	2	2
r8.great.j.03448	4	4	4	4
r8.great.j.03474	4	4	4	4
r8.great.j.03497	1	2	1&&2	1
r8.great.j.03509	2	2	2	2
r8.great.j.03519	1	2	1&&2	3
r8.great.j.03521	1	3	1	1
r8.great.j.03528	1	1	2	2
r8.great.j.03532	1	2	2	1&&2
r8.great.j.03533	4	4	4	3&&4
r8.great.j.03535	1	2	2	1
r8.great.j.03537	1	2	2	1&&2
r8.great.j.03546	3	1	1	3
