	101	102	111	115
r10.help.v.05059	1	1	1	6
r10.help.v.05068	1	1	1	1
r10.help.v.05069	1	1	3	1
r10.help.v.05075	1	3	1	1
r10.help.v.05076	1	1	6	3
r10.help.v.05078	1	1	1	1
r10.help.v.05084	1	3	3	6
r10.help.v.05085	1	1	1	1
r10.help.v.05094	1	1	1	3
r10.help.v.05095	1	2	2	1
r10.help.v.05100	1	1	1	1
r10.help.v.05104	1	1	1	1
r10.help.v.05105	1	1	1	1
r10.help.v.05106	1	1	6	1
r10.help.v.05113	1	1	1	1
r10.help.v.05115	1	1	1	1
r10.help.v.05119	1	3	1	1
r10.help.v.05131	1	6	3	1
r10.help.v.05133	1	2	2	1
r10.help.v.05136	1	2	1	1
r10.help.v.05137	1	1	1	1
r10.help.v.05141	1	1	3	1
r10.help.v.05145	1	1	1	1
r10.help.v.05146	3	6	3	3
r10.help.v.05155	1	1	1	1
r10.help.v.05157	1	1	1	1
r10.help.v.05158	1	1	3	6
r10.help.v.05167	1	3	3	3
r10.help.v.05173	1	3	3	3
r10.help.v.05174	1	1	3	3
r10.help.v.05177	1	3	3	1
r10.help.v.05178	6	3	6	3
r10.help.v.05179	1	1	3	3
r10.help.v.05182	1	1	1	1
r10.help.v.05187	1	1	2	1
r10.help.v.05191	45	45	1	45
r10.help.v.05195	4	4	4	4
r10.help.v.05198	1	1	1	1
r10.help.v.05201	4	4	4	4
r10.help.v.05203	1	6	1	3
r10.help.v.05205	1	1	1	1
r10.help.v.05209	1	1	1	1
r10.help.v.05212	1	1	1	45
r10.help.v.05219	1	1	1	1
r10.help.v.05223	1	1	3	3
r10.help.v.05224	1	1	1	1
r10.help.v.05227	1	3	1	1
r10.help.v.05233	1	2	2	1
r10.help.v.05236	1	6	3&&6	1
r10.help.v.05242	1	1	3	3
r10.help.v.05245	2	1	1	3
r10.help.v.05246	1	1	3	3
r10.help.v.05248	1	1	1	1
r10.help.v.05256	4	4	4	4
r10.help.v.05258	1	1	3	1
r10.help.v.05260	1	3	3	3
r10.help.v.05262	4	4	4	4
r10.help.v.05263	1	1	2	1
r10.help.v.05268	1	6	6	3
r10.help.v.05269	1	1	3	3
r10.help.v.05271	1	45	1	45
r10.help.v.05276	1	1	1	1
r10.help.v.05282	1	1	1	1
r10.help.v.05284	1	1	1	1
r10.help.v.05285	1	1	1	1
r10.help.v.05291	1	1	3	3
r10.help.v.05303	1	3	3	3
r10.help.v.05306	2	1	3	3
r10.help.v.05309	1	6	1	3
r10.help.v.05311	1	1	2	1
r10.help.v.05312	1	6	1	3
r10.help.v.05314	1	6	6	6
r10.help.v.05315	1	1	2	1
r10.help.v.05319	1	1	3	3
r10.help.v.05323	1	3	3	1
r10.help.v.05328	1	1	1	1
r10.help.v.05331	6	2	1	6
r10.help.v.05334	1	1	1&&3	6
r10.help.v.05350	1	1	1	6
r10.help.v.05353	1	3	3	3
r10.help.v.05354	1	6	1	1
r10.help.v.05356	1	1	1	1
r10.help.v.05358	1	1	1	1
r10.help.v.05363	1	3	3	3
r10.help.v.05365	1	1	1	1
r10.help.v.05372	1	6	3	3
r10.help.v.05374	1	3	2	3
r10.help.v.05376	1	1	1	1
r10.help.v.05377	2	2	3	3
r10.help.v.05378	2	2	1	44
r10.help.v.05396	1	1	3	3
r10.help.v.05397	1	1	3	3
r10.help.v.05400	1	1	1	1
r10.help.v.05401	1	1	1	1
r10.help.v.05402	1	3	6	6
r10.help.v.05403	1	1	3	6
r10.help.v.05406	1	1	3	1
r10.help.v.05409	6	2	1	1
