	101	102	111	115
r10.high.j.06048	47	47	47	47
r10.high.j.06049	1	1	1	1
r10.high.j.06050	1	1	1	1
r10.high.j.06051	1	1	1	1
r10.high.j.06052	47	47	47	47
r10.high.j.06053	47	47	47	47
r10.high.j.06054	1	1	1	1
r10.high.j.06055	47	47	47	47
r10.high.j.06056	1	1	1	1
r10.high.j.06057	1	1	1	1
r10.high.j.06058	2	2	2	2
r10.high.j.06059	47	47	47	47
r10.high.j.06060	2	2	2	2
r10.high.j.06061	1	1	1	1
r10.high.j.06062	47	47	47	47
r10.high.j.06063	2	2	2	2
r10.high.j.06064	1	1	1	44
r10.high.j.06065	1	1	1	1
r10.high.j.06066	1	1	1	1
r10.high.j.06067	1	1	1	1
r10.high.j.06068	1	1	1	1
r10.high.j.06069	1	1	1	1
r10.high.j.06070	1	1	1	1
r10.high.j.06071	1	1	1	1
r10.high.j.06072	1	1	1	1
r10.high.j.06073	1	1	1	1
r10.high.j.06074	1	1	1	1
r10.high.j.06075	1	1	1	1
r10.high.j.06077	47	47	47	47
r10.high.j.06078	47	47	47	47
r10.high.j.06079	1	1	1	1
r10.high.j.06080	1	1	2	1
r10.high.j.06081	1	1	1	1
r10.high.j.06082	2	2	2	2
r10.high.j.06083	1	1	1	1
r10.high.j.06084	1	1	1	1
r10.high.j.06085	1	1	1	1
r10.high.j.06086	1	1	1	1
r10.high.j.06087	1	1	1	1
r10.high.j.06088	1	1	3	1
r10.high.j.06089	1	1	1	1
r10.high.j.06090	1	1	1	1
r10.high.j.06091	1	1	3	1
r10.high.j.06092	1	3	3	1
r10.high.j.06093	1	1	3	1
r10.high.j.06094	2	2	2	2
r10.high.j.06095	1	1&&3	47	1
r10.high.j.06096	47	47	47	47
r10.high.j.06097	3	3	3	3
r10.high.j.06098	1	1	1	1
r10.high.j.06099	2	2	2	2
r10.high.j.06100	2	2	2	2
r10.high.j.06101	47	47	47	47
r10.high.j.06102	1	1	1	1
r10.high.j.06103	1	1	1	1
r10.high.j.06105	47	47	47	46
r10.high.j.06106	2	2	2	2
r10.high.j.06107	47	47	47	47
r10.high.j.06108	3	3	3	3
r10.high.j.06109	2	2	2	2
r10.high.j.06110	1	1	1	1
r10.high.j.06111	1	1	1	1
r10.high.j.06112	2	2	2	2
r10.high.j.06113	1	1	1	1
r10.high.j.06114	2	47	1	2
r10.high.j.06115	2	2	2	2
r10.high.j.06116	1	1	1	1
r10.high.j.06117	2	2	2	2
r10.high.j.06118	47	47	47	47
r10.high.j.06119	1	1	3	1
r10.high.j.06120	47	1	47	47
r10.high.j.06121	1	1	1	1
r10.high.j.06122	1	1	1	1
r10.high.j.06123	1	1	1	1
r10.high.j.06124	1	1	1	1
r10.high.j.06125	1	1	1	1
r10.high.j.06126	1	1	1	1
r10.high.j.06127	1	1	1	1
r10.high.j.06128	1	44	47	1
r10.high.j.06129	1	1	1	1
r10.high.j.06130	1	1	1	1
r10.high.j.06131	1	1	1	1
r10.high.j.06132	1	1	1	1
r10.high.j.06133	1	1	1	1
r10.high.j.06134	1	1	1	1
r10.high.j.06135	1	1	1	1
r10.high.j.06136	1	1	1	1
r10.high.j.06138	1	1	1	1
r10.high.j.06139	1	1	1	1
r10.high.j.06140	1	1	1	1
r10.high.j.06141	1	44	1	1
r10.high.j.06142	1	1	1	1
r10.high.j.06143	2	2	2	2
r10.high.j.06145	47	47	47	47
r10.high.j.06146	47	47	47	47
r10.high.j.06147	47	47	47	47
r10.high.j.06148	1	1	1	1
r10.high.j.06149	1	1	47	2
