	112	114	115	116
r1.history.n.00295	2	46	1	1
r1.history.n.00296	1	4	1	1
r1.history.n.00315	2	2	2	44
r1.history.n.00316	4	4	2	3
r1.history.n.00317	1	1	1	2
r1.history.n.00318	2	2	2	44
r1.history.n.00319	5	5	2	5
r1.history.n.00320	4	4	1	4
r1.history.n.00342	3	2	2	2
r1.history.n.00343	2	2	2	2
r1.history.n.00344	4	1	5	2
r1.history.n.00345	4	2	2	2
r1.history.n.00346	4	5	2	2
r1.history.n.00347	4	1	2	4
r1.history.n.00348	3	1	1	2
r1.history.n.00364	4	4	1	4
r1.history.n.00384	4	4	4	4
r1.history.n.00386	2	1	2	1
r1.history.n.00407	44	3	2	44
r1.history.n.00432	5	46	2	1
r1.history.n.00448	2	2	2	47
r1.history.n.00461	5	1	1	3
