	101	102	111	115
r9.hit.v.02785	9	9	9	9
r9.hit.v.02786	9	5	9	9
r9.hit.v.02787	2	2	2	2
r9.hit.v.02788	1	8	8	8
r9.hit.v.02789	1	8	8	8
r9.hit.v.02790	4	4	4	4
r9.hit.v.02791	1	8	8	8
r9.hit.v.02792	45	45	8	45
r9.hit.v.02793	1	8	8	8
r9.hit.v.02794	45	45	15	45
r9.hit.v.02795	4	4	4	4
r9.hit.v.02796	1	8	8	8
r9.hit.v.02797	1	8	8	8
r9.hit.v.02798	1	9	8	8
r9.hit.v.02799	1	8	8	8
r9.hit.v.02800	5	5	5	5
r9.hit.v.02801	2	4	4	4
r9.hit.v.02802	2	2	2	2
r9.hit.v.02803	2	2	2	2
r9.hit.v.02804	4	4	4	4
r9.hit.v.02805	4	4	4	4
r9.hit.v.02806	2	2	2	2
r9.hit.v.02807	5	5	5	5
r9.hit.v.02808	5	5	5	5
r9.hit.v.02809	5	5	5	5
r9.hit.v.02810	5	5	5	5
r9.hit.v.02811	4	4	4	4
r9.hit.v.02812	3	3	3	3
r9.hit.v.02813	10	6	10	10
r9.hit.v.02814	10	6	11	11
r9.hit.v.02815	10	6	10	10
r9.hit.v.02816	9	9	9	9
r9.hit.v.02817	5	5	5	44
r9.hit.v.02818	13	4	4	13
r9.hit.v.02819	2	2	2	2
r9.hit.v.02820	2	2	2	2
r9.hit.v.02821	2	2	12	3
r9.hit.v.02822	2	3	2	2
r9.hit.v.02823	3	3	2	2
r9.hit.v.02824	2	4	2	2
r9.hit.v.02825	13	4	2	2
r9.hit.v.02826	2	4	2	2
r9.hit.v.02827	2	3	2	2
r9.hit.v.02828	14	12	15	46
r9.hit.v.02829	4	47	4	2
r9.hit.v.02830	2	2	2	2
r9.hit.v.02832	2	3	3	2
r9.hit.v.02833	2	2	2	2
r9.hit.v.02837	45	45	11	45
r9.hit.v.02838	4	4	45	4
r9.hit.v.02840	4	4	4	46
r9.hit.v.02841	13	4	13	13
r9.hit.v.02842	5	5	5	5
r9.hit.v.02843	13	4	13	13
r9.hit.v.02844	13	4	13	13
r9.hit.v.02848	16	16	16	16
r9.hit.v.02894	13	4	13	13
r9.hit.v.02917	45	45	45	45
r9.hit.v.02928	5	5	5	5
r9.hit.v.02934	3	10	3	10
r9.hit.v.02985	5	47	47	46
r9.hit.v.03003	5	5	5	5
r9.hit.v.03044	2	2	2	2
r9.hit.v.03046	45	45	45	45
r9.hit.v.03087	4	4	4	46
r9.hit.v.03091	45	45	45	45
r9.hit.v.03114	9	9	9	9
r9.hit.v.03159	15	4	13	13
r9.hit.v.03193	1	1	1	3
r9.hit.v.03194	1	8	1	1
r9.hit.v.03197	1	8	8	45
r9.hit.v.03238	1	8	8	8
r9.hit.v.03255	2	15	6	6
r9.hit.v.03311	5	3	10	10
r9.hit.v.03319	15	4	14	46
r9.hit.v.03326	4	4	4	4
r9.hit.v.03333	45	45	45	45
r9.hit.v.03340	1	44	2	44
r9.hit.v.03370	45	45	6	45
r9.hit.v.03392	6	10	10	6
r9.hit.v.03398	15	4	4	46
r9.hit.v.03403	5	4	5	46
r9.hit.v.03425	2	2	2	2
r9.hit.v.03430	2	2	2	2
r9.hit.v.03444	13	4	13	13
r9.hit.v.03481	2	2	2	2
r9.hit.v.03500	2	2	2	2
r9.hit.v.03548	2	15	2	2
r9.hit.v.03563	2	15	2	2
r9.hit.v.03579	2	3	6	2
r9.hit.v.03580	45	45	45	45
r9.hit.v.03584	15	44	1	44
r9.hit.v.03611	15	44	4	44
r9.hit.v.03613	45	45	45	45
