	101	102	111	113
r6.image.n.02960	8	8	8	8
r6.image.n.02967	8	8	8	8
r6.image.n.02968	8	8	8	8
r6.image.n.02970	4	4	4	1&&4
r6.image.n.02975	3	3	3	3
r6.image.n.02977	8	3	3	3
r6.image.n.02983	3	3	3	3
r6.image.n.02992	3	3	3	3
r6.image.n.02993	3	3	3	3
r6.image.n.02996	3	3	3	3
r6.image.n.02997	8	8	8	8
r6.image.n.02998	3	1	1	3
r6.image.n.02999	3	1	3	3
r6.image.n.03002	3	3	3	3
r6.image.n.03003	8	2	2	8
r6.image.n.03004	8	8	8	8
r6.image.n.03006	8	8	8	8
r6.image.n.03007	8	8	2	8
r6.image.n.03010	8	8	8	8
r6.image.n.03011	8	8	8	8
r6.image.n.03012	8	8	8	2&&8
r6.image.n.03017	1	1	3	3
r6.image.n.03024	3	3	3	3
r6.image.n.03027	3	3	3	3
r6.image.n.03028	3	3	1	3
r6.image.n.03030	8	2	8	8
r6.image.n.03032	3	3	3	3
r6.image.n.03039	3	3	3	3
r6.image.n.03045	8	8	8	8
r6.image.n.03046	8	8	8	8
r6.image.n.03047	8	8	8	8
r6.image.n.03048	3	1	1&&3	1
r6.image.n.03050	3	3	3	3
r6.image.n.03052	3	3	3	3
r6.image.n.03054	3	3	3	3
r6.image.n.03055	3	3	3	3
r6.image.n.03056	3	3	3	3&&9
r6.image.n.03059	3	3	3	3
r6.image.n.03060	3	3	3	3
r6.image.n.03062	1	4	4	3
r6.image.n.03063	8	8	8	8
r6.image.n.03066	8	4	4	1&&8
r6.image.n.03067	3	1	1	1
r6.image.n.03073	1	2	3	1
r6.image.n.03077	1	1	1&&5	1
r6.image.n.03080	3	3	3	3
r6.image.n.03081	3	1	3	3
r6.image.n.03083	3	5	5	3
r6.image.n.03084	3	3	3	3
r6.image.n.03094	8	8	8	8
r6.image.n.03096	4	4	4	4
r6.image.n.03099	3	3	3	3
r6.image.n.03100	3	1	3	3
r6.image.n.03108	3	3	8	3
r6.image.n.03114	1	8	1	2&&3
r6.image.n.03120	2	3	1	1&&4
r6.image.n.03122	3	3	1	3
r6.image.n.03123	3	3	3	3
r6.image.n.03126	3	3	3	3
r6.image.n.03127	3	3	3	3
r6.image.n.03128	3	1	1&&3	3
r6.image.n.03134	8	2	2&&8	8
r6.image.n.03137	1	1	1	1
r6.image.n.03139	8	8	8	8
r6.image.n.03145	3	3	3	3
r6.image.n.03154	3	3	9	9
r6.image.n.03155	3	3	3	3
r6.image.n.03157	3	3	9	9
r6.image.n.03159	8	8	2	8
r6.image.n.03162	3	8	2	8
r6.image.n.03165	8	8	8	8
r6.image.n.03170	8	3	3	3
r6.image.n.03173	8	3	5	1
r6.image.n.03174	1	1	1	1
r6.image.n.03175	8	2	2	2
r6.image.n.03176	5	5	1	1
r6.image.n.03177	1	1	5	1
r6.image.n.03179	3	3	3	3
r6.image.n.03181	1	5	2	1
r6.image.n.03188	3	45	45	3
r6.image.n.03190	1	1	4	4
r6.image.n.03229	4	4	4	9
r6.image.n.03239	3	4	6	1&&3&&6
r6.image.n.03297	3	3	3	3
r6.image.n.03325	3	3	3	3
r6.image.n.03329	3	3	3	3
r6.image.n.03330	3	3	3	3
r6.image.n.03342	3	3	3	3
r6.image.n.03352	3	3	3	3
r6.image.n.03354	3	3	3	3
r6.image.n.03411	3	3	3	3
r6.image.n.03441	3	3	3	3
r6.image.n.03488	3	3	3	3
r6.image.n.03543	3	3	3	3
r6.image.n.03576	1	3	1	1
r6.image.n.03599	3	45	45	45
r6.image.n.03641	3	3	3	3
r6.image.n.03657	3	3	9	9
r6.image.n.03671	1	3	3	1
r6.image.n.03704	3	3	9	9
