	107	108	109	111	113
r3.juice.n.02847	1	1	1	1	1
r3.juice.n.02848	1	1	47	1	1
r3.juice.n.02849	1	1	1	1	1
r3.juice.n.02850	1	1	44	1	1
r3.juice.n.02851	1	1	1	1	1
r3.juice.n.02852	1	1	1	1	1
r3.juice.n.02855	1	1	1	1	1
r3.juice.n.02858	1	1	1	1	1
r3.juice.n.02859	1	1	1	1	1
r3.juice.n.02861	1	1	47	1	1
r3.juice.n.02863	1	1	1	1	1
r3.juice.n.02864	1	1	47	1	1
r3.juice.n.02865	1	1	1	1	1
r3.juice.n.02866	1	1	47	1	1
r3.juice.n.02867	1	1	47	1	1
r3.juice.n.02868	1	1	47	1	1
r3.juice.n.02869	1	1	47	1	1
r3.juice.n.02870	1	1	1	1	1
r3.juice.n.02871	1	1	1	1	1
r3.juice.n.02872	1	1	47	1	1
r3.juice.n.02873	1	1	47	1	1
r3.juice.n.02874	1	1	1	1	1
r3.juice.n.02875	1	1	1	1	1
r3.juice.n.02876	45	45	45	2	45
r3.juice.n.02878	1	1	1	1	1
r3.juice.n.02879	1	1	47	1	1
r3.juice.n.02881	2	2	2	2	2
r3.juice.n.02882	1	1	1	1	1
r3.juice.n.02884	1	47	47	1	1
r3.juice.n.02885	1	1	1	1	1
r3.juice.n.02886	1	1	1	1	1
r3.juice.n.02888	1	1	1	44	1
r3.juice.n.02889	1	1	47	1	1
r3.juice.n.02891	2&&3	3	2	2	2
r3.juice.n.02892	1	1	1	1	1
r3.juice.n.02895	1	1	1	1	1
r3.juice.n.02896	1	1	1	1	1
r3.juice.n.02897	1	1	47	1	1
r3.juice.n.02898	2	4	2	4	4
r3.juice.n.02899	1	1	47	1	1
r3.juice.n.02900	1	1	47	1	1
r3.juice.n.02901	1	1	47	1	1
r3.juice.n.02902	1	1	47	1	1
r3.juice.n.02903	1	1	47	1	1
r3.juice.n.02904	1	1	47	1	1
r3.juice.n.02905	1	1	1	1	1
r3.juice.n.02906	1	1	47	1	1
r3.juice.n.02908	1	1	47	1	1
r3.juice.n.02910	1	1	1	1	1
r3.juice.n.02911	1	1	2	1	44
r3.juice.n.02914	2	2	2	2	2
r3.juice.n.02915	2	2	4	2	2
r3.juice.n.02916	1	3	1	1	1
r3.juice.n.02918	1	1	1	1	1
r3.juice.n.02919	1	1	1	1	1
r3.juice.n.02923	1	1	47	1	1
r3.juice.n.02924	1	1	2	1	1
r3.juice.n.02925	2	2	4	2	2
r3.juice.n.02926	44	44	2	1	44
r3.juice.n.02927	1	1	1	1	1
r3.juice.n.02928	44	44	1	1	44
r3.juice.n.02929	2	2	2	2	2
r3.juice.n.02930	1	1	47	1	1
r3.juice.n.02931	1	1	47	1	1
r3.juice.n.02932	1	1	47	1	1
r3.juice.n.02933	1	1	47	1	1
r3.juice.n.02934	1	1	47	1	1
r3.juice.n.02935	1	1	1	1	1
r3.juice.n.02936	1	1	47	1	1
r3.juice.n.02937	1	1	1	1	1
r3.juice.n.02938	1	1	47	1	1
r3.juice.n.02942	1	1	1	1	1
r3.juice.n.02943	1	1	1	1	1
r3.juice.n.02944	1	1	1	1	1
r3.juice.n.02946	1	1	1	1	1
r3.juice.n.02947	1	1	1	1	1
r3.juice.n.02948	1	1	1	1	1
r3.juice.n.02949	1	1	1	1	1
r3.juice.n.02950	1	1	1	1	1
r3.juice.n.02951	1	1	1	1	1
r3.juice.n.02952	1	1	1	1	1
r3.juice.n.02953	1	1	1	1	1
r3.juice.n.02955	1	1	1	1	1
r3.juice.n.02957	1	1	1	1	1
r3.juice.n.02958	1	1	1	1	1
r3.juice.n.02959	1	1	1	1	1
r3.juice.n.02960	1	1	1	1	1
r3.juice.n.02962	1	1	47	1	1
r3.juice.n.02963	1	1	1	1	1
r3.juice.n.02964	1	1	1	1	1
r3.juice.n.02966	1	1	1	1	1
r3.juice.n.02967	1	1	1	1	1
r3.juice.n.02968	1	1	1	1	1
r3.juice.n.02969	1	1	1	1	1
r3.juice.n.02970	1	1	1	1	1
r3.juice.n.02971	1	1	47	1	1
r3.juice.n.02972	1	1	1	1	1
r3.juice.n.02973	1	1	1	1	1
r3.juice.n.02974	1	1	1	1	1
r3.juice.n.02975	1	1	47	1	1
r3.juice.n.02976	1	1	1	1	1
