	101	102	111	115
r9.kill.v.03662	1	1	1	1
r9.kill.v.03663	1	1	1	1
r9.kill.v.03664	1	1	1	44
r9.kill.v.03665	1	1	1	45
r9.kill.v.03666	1	1	1	1
r9.kill.v.03667	1	1	1	1
r9.kill.v.03668	1	1	1	1
r9.kill.v.03669	1	1	1	1
r9.kill.v.03670	1	1	1	1
r9.kill.v.03671	1	1	1	44
r9.kill.v.03672	1	6	6	44
r9.kill.v.03673	1	1	1	1
r9.kill.v.03674	1	1	1	44
r9.kill.v.03675	1	1	1	1
r9.kill.v.03676	1	1	1	1
r9.kill.v.03677	1	1	1	1
r9.kill.v.03678	1	1	1	1
r9.kill.v.03679	1	1	1	1
r9.kill.v.03680	1	1	1	1
r9.kill.v.03681	1	1	10	1
r9.kill.v.03682	1	1	1	1
r9.kill.v.03683	1	1	1	1
r9.kill.v.03684	1	9	1	1
r9.kill.v.03685	1	1	1	1
r9.kill.v.03686	1	1	1	1
r9.kill.v.03687	1	1	1	1
r9.kill.v.03689	1	1	1	1
r9.kill.v.03690	9	1	10	1
r9.kill.v.03691	3	3	12	3
r9.kill.v.03692	1	1	1	1
r9.kill.v.03693	1	1	1	1
r9.kill.v.03694	1	1	1	1
r9.kill.v.03695	1	1	1	1
r9.kill.v.03696	1	1	1	1
r9.kill.v.03697	1	1	1	1
r9.kill.v.03698	1	1	1	1
r9.kill.v.03699	9	1	1	1
r9.kill.v.03700	9	45	1	45
r9.kill.v.03701	1	1	1	1
r9.kill.v.03702	1	1	1	1
r9.kill.v.03703	9	1	1	9
r9.kill.v.03704	1	45	1	45
r9.kill.v.03705	1	1	1	1
r9.kill.v.03706	1	1	1	1
r9.kill.v.03707	1	1	1	1
r9.kill.v.03708	1	45	1	45
r9.kill.v.03709	1	1	1	1
r9.kill.v.03710	1	1	1	1
r9.kill.v.03711	3	1	3	1
r9.kill.v.03712	1	1	9	1
r9.kill.v.03713	1	1	1	1
r9.kill.v.03714	1	1	1	1
r9.kill.v.03716	1	1	1	1
r9.kill.v.03717	1	1	1	1
r9.kill.v.03718	1	1	1	45
r9.kill.v.03719	1	1	1	45
r9.kill.v.03720	1	1	1	15
r9.kill.v.03721	1	1	1	1
r9.kill.v.03722	9	1	1	1
r9.kill.v.03723	1	5	1	46
r9.kill.v.03724	1	5	1	15
r9.kill.v.03725	1	1	1	1
r9.kill.v.03726	1	10	1	15
r9.kill.v.03727	1	1	1	46
r9.kill.v.03728	1	1	1	1
r9.kill.v.03729	1	1	1	1
r9.kill.v.03730	1	1	1	1
r9.kill.v.03731	1	1	1	1
r9.kill.v.03734	9	1	1	1
r9.kill.v.03739	1	1	1	1
r9.kill.v.03740	1	1	1	1
r9.kill.v.03741	13	6	1	44
r9.kill.v.03742	1	4	1	4
r9.kill.v.03743	9	4	1	4
r9.kill.v.03786	1	1	1	1
r9.kill.v.03886	1	1	1	1
r9.kill.v.03943	3	12	12	2
r9.kill.v.04067	1	1	1	1
r9.kill.v.04076	9	5	1	4
r9.kill.v.04084	1	1	1	1
r9.kill.v.04126	1	1	1	1
r9.kill.v.04246	13	6	5	5
r9.kill.v.04340	1	1	1	1
r9.kill.v.04342	1	1	1	1
r9.kill.v.04349	3	3	15	3
r9.kill.v.04452	1	1	1	1
r9.kill.v.04479	1	1	1	1
r9.kill.v.04534	1	1	1	1
r9.kill.v.04586	1	1	1	3
r9.kill.v.04600	1	1	1	1
r9.kill.v.04631	9	1	1	1
