	101	102	111	115
r9.late.j.04660	4	4	4	4
r9.late.j.04661	4	4	4	4
r9.late.j.04662	4	4	4	4
r9.late.j.04663	4	4	4	4
r9.late.j.04664	4	4	4	4
r9.late.j.04665	4	4	4	4
r9.late.j.04667	4	4	4	4
r9.late.j.04668	4	4	4	4
r9.late.j.04669	4	4	4	4
r9.late.j.04670	4	4	4	4
r9.late.j.04671	4	4	4	4
r9.late.j.04672	4	4	4	4
r9.late.j.04673	4	4	4	4
r9.late.j.04674	4	4	4	4
r9.late.j.04675	4	4	4	4
r9.late.j.04676	4	4	4	4
r9.late.j.04677	4	4	4	4
r9.late.j.04678	4	4	4	4
r9.late.j.04679	4	4	4	4
r9.late.j.04680	3	3	3	3
r9.late.j.04681	2	1	2	2
r9.late.j.04682	6	1	1	44
r9.late.j.04683	1	1	1	1
r9.late.j.04684	2	2	2	2
r9.late.j.04685	1	1	1	1
r9.late.j.04686	1	3	1	1
r9.late.j.04687	4	4	4	4
r9.late.j.04688	1	6	1&&6	1
r9.late.j.04689	1	1	1	1
r9.late.j.04690	1	1	1	1
r9.late.j.04691	1	1	1	1
r9.late.j.04692	4	4	4	4
r9.late.j.04693	1	1	1	1
r9.late.j.04694	1	1	1	1
r9.late.j.04695	2	2	2	2
r9.late.j.04696	2	2	2	2
r9.late.j.04697	1	1	1	1
r9.late.j.04698	1	1	1	1
r9.late.j.04699	4	4	4	4
r9.late.j.04700	6	6	5	6
r9.late.j.04701	4	4	4	4
r9.late.j.04702	1	1	1	1
r9.late.j.04703	4	4	4	4
r9.late.j.04704	1	1	1	1
r9.late.j.04705	1	6	1	1
r9.late.j.04706	1	1	1	1
r9.late.j.04707	1	1	1	1
r9.late.j.04708	1	1	1	1
r9.late.j.04709	2	2	2	2
r9.late.j.04710	2	2	2	2
r9.late.j.04711	2	2	2	2
r9.late.j.04712	2	2	2	2
r9.late.j.04713	2	2	2	2
r9.late.j.04714	2	2	2	2
r9.late.j.04715	2	2	2	2
r9.late.j.04716	4	4	4	4
r9.late.j.04717	1	6	1	1
r9.late.j.04718	2	2	2	2
r9.late.j.04719	1	1	1	1
r9.late.j.04721	4	4	4	4
r9.late.j.04724	4	4	4	4
r9.late.j.04756	2	2	2	2
r9.late.j.04804	1	1	1	1
r9.late.j.04814	1	1	1	1
r9.late.j.04822	1	1	1	1
r9.late.j.04824	1	1	1	1
r9.late.j.04825	1	1	1	1
r9.late.j.04872	1	1	1	1
r9.late.j.04879	1	1	1	1
r9.late.j.04896	3	3	3	3
r9.late.j.04961	2	2	2	2
r9.late.j.05008	1	1	1	1
r9.late.j.05021	1	1	1	1
r9.late.j.05053	1	6	6	1
r9.late.j.05114	4	4	4	4
r9.late.j.05130	1	1	1	1
r9.late.j.05136	4	4	4	7
r9.late.j.05155	4	4	4	4
r9.late.j.05179	2	2	2	2
r9.late.j.05254	1	6	1	1
r9.late.j.05265	1	1	1	1
r9.late.j.05266	1	1	1	1
r9.late.j.05298	1	1	1	1
r9.late.j.05368	6	2	6	6
r9.late.j.05379	6	2	2	2
r9.late.j.05423	6	2	2	3
r9.late.j.05431	6	2	2	2
r9.late.j.05502	1	1	1	1
r9.late.j.05518	2	2	2	2
r9.late.j.05525	2	2	2	2
r9.late.j.05543	6	2	44	44
r9.late.j.05559	1	1	1	1
r9.late.j.05563	1	6	1	1
r9.late.j.05581	1	1	1	1
r9.late.j.05594	1	1	1	1
r9.late.j.05607	1	6	1	1
r9.late.j.05641	1	1	1	1
