	114	115	116
r1.launch.v.00590	1	3	1
r1.launch.v.00591	1	45	1
r1.launch.v.00602	5	5	5
r1.launch.v.00603	1	1	1
r1.launch.v.00604	45	45	45
r1.launch.v.00605	5	5	1
r1.launch.v.00606	5	5	5
r1.launch.v.00607	5	5	5
r1.launch.v.00608	5	5	5
r1.launch.v.00609	45	2	45
r1.launch.v.00610	2	3	3
r1.launch.v.00611	2	2	2
r1.launch.v.00612	3	3	2
r1.launch.v.00613	2	2	2
r1.launch.v.00614	2	2	2
r1.launch.v.00615	2	2	2
r1.launch.v.00616	45	45	45
r1.launch.v.00617	2	2	2
r1.launch.v.00618	2	2	2
r1.launch.v.00619	5	5	5
r1.launch.v.00620	5	2	2
r1.launch.v.00621	5	5	5
r1.launch.v.00622	5	5	1
r1.launch.v.00623	5	5	5
r1.launch.v.00624	4	4	4
r1.launch.v.00625	5	5	5
r1.launch.v.00626	1	1	1
r1.launch.v.00627	3	3	3
r1.launch.v.00628	1	1	1
r1.launch.v.00629	5	5	5
r1.launch.v.00630	2	2	2
r1.launch.v.00631	1	5	1
r1.launch.v.00633	5	5	5
r1.launch.v.00634	5	5	1
r1.launch.v.00635	45	45	45
r1.launch.v.00636	2	2	2
r1.launch.v.00637	5	1	1
r1.launch.v.00638	1	1	1
r1.launch.v.00639	2	2	2
r1.launch.v.00640	5	5	2
r1.launch.v.00641	1	1	1
r1.launch.v.00642	2	4	2
r1.launch.v.00643	5	5	5
r1.launch.v.00644	3	3	3
r1.launch.v.00645	5	5	46
r1.launch.v.00646	5	2	5
r1.launch.v.00647	4	4	4
r1.launch.v.00648	5	5	5
r1.launch.v.00649	5	5	5
r1.launch.v.00650	1	5	1
r1.launch.v.00651	1	5	1
r1.launch.v.00652	4	2	2
r1.launch.v.00653	5	5	5
r1.launch.v.00654	5	5	5
r1.launch.v.00655	5	5	5
r1.launch.v.00656	5	5	1
r1.launch.v.00657	1	5	1
r1.launch.v.00658	5	5	1
r1.launch.v.00659	5	5	1
r1.launch.v.00660	1	5	1
r1.launch.v.00661	2	2	2
r1.launch.v.00662	5	5	5
r1.launch.v.00663	47	45	2
r1.launch.v.00664	47	45	2
r1.launch.v.00665	1	1	1
r1.launch.v.00666	5	5	1
r1.launch.v.00667	5	5	1
r1.launch.v.00668	1	1	1
r1.launch.v.00669	5	5	5
r1.launch.v.00670	5	5	5
r1.launch.v.00671	5	5	5
r1.launch.v.00672	5	5	1
r1.launch.v.00673	5	5	1
r1.launch.v.00674	5	5	5
r1.launch.v.00675	1	1	1
r1.launch.v.00676	5	1	5
r1.launch.v.00677	1	1	1
r1.launch.v.00678	1	1	1
r1.launch.v.00679	1	1	1
r1.launch.v.00680	5	5	5
r1.launch.v.00681	5	1	1
r1.launch.v.00682	1	5	1
r1.launch.v.00683	5	5	5
r1.launch.v.00684	1	1	1
r1.launch.v.00685	1	1	1
r1.launch.v.00686	5	1	1
r1.launch.v.00687	1	5	1
r1.launch.v.00688	1	5	1
r1.launch.v.00689	5	1	5
r1.launch.v.00690	1	1	1
r1.launch.v.00691	5	5	5
r1.launch.v.00692	5	5	5
r1.launch.v.00693	5	5	5
r1.launch.v.00694	45	45	45
r1.launch.v.00695	2	2	2
r1.launch.v.00696	2	2	2
r1.launch.v.00697	2	2	2
r1.launch.v.00698	1	1	1
r1.launch.v.00699	5	5	1
