	101	102	111	115
r9.level.n.05659	2	1	1	1
r9.level.n.05660	2	1	1	1
r9.level.n.05661	3	2	1	3
r9.level.n.05663	3	1	1	3
r9.level.n.05664	7	7	7	7
r9.level.n.05666	3	1	1	3
r9.level.n.05667	2	3	3	2
r9.level.n.05668	2	2	1	3
r9.level.n.05669	2	1	1	1
r9.level.n.05670	2	1	1	1
r9.level.n.05673	2	1	1	1
r9.level.n.05674	2	1	1	1
r9.level.n.05675	2	1	1	1
r9.level.n.05676	2	1	1	1
r9.level.n.05678	2	1	1	1
r9.level.n.05679	2	1	1	1
r9.level.n.05681	2	1	1	1
r9.level.n.05682	2	1	3	3
r9.level.n.05685	3	2	2	1
r9.level.n.05686	2	1	1	1
r9.level.n.05687	2	1	1	1
r9.level.n.05688	2	1	1	1
r9.level.n.05690	2	1	1	1
r9.level.n.05695	1	1	1	1
r9.level.n.05696	4	4	4	4
r9.level.n.05697	2	2	1	3
r9.level.n.05699	2	2	1	3
r9.level.n.05700	4	4	47	47
r9.level.n.05701	3	7	1	3
r9.level.n.05702	3	7	3	7
r9.level.n.05703	3	7	1	3
r9.level.n.05704	3	1	1	3
r9.level.n.05706	3	1	1	3
r9.level.n.05707	2	1	1	1
r9.level.n.05708	2	1	1	1
r9.level.n.05709	2	1	1	1
r9.level.n.05711	2	1	1	1
r9.level.n.05712	2	1	1	1
r9.level.n.05713	2	1	1	1
r9.level.n.05714	2	1	1	1
r9.level.n.05716	2	1	1	1
r9.level.n.05717	2	1	1&&4	1
r9.level.n.05719	4	4	47	47
r9.level.n.05720	45	6	45	45
r9.level.n.05721	3	2	1	3
r9.level.n.05722	3	1	1	3
r9.level.n.05723	3	2	2	3
r9.level.n.05724	2	1	1	1
r9.level.n.05725	3	1	1	3
r9.level.n.05726	3	1	1	3
r9.level.n.05727	2	2	1	1
r9.level.n.05728	7	7	1	1
r9.level.n.05729	2	1	1	1
r9.level.n.05730	3	7	2	3
r9.level.n.05734	8	8	8	8
r9.level.n.05735	8	45	8	8
r9.level.n.05736	2	1	1	1
r9.level.n.05737	3	7	7	3
r9.level.n.05738	3	1	1	3
r9.level.n.05739	3	7	1	1
r9.level.n.05740	3	2	1	1
r9.level.n.05743	3	2	2	45
r9.level.n.05744	3	2	2	2
r9.level.n.05746	3	2	3	3
r9.level.n.05747	2	1	1	1
r9.level.n.05748	2	1	1	1
r9.level.n.05750	3	2	2	3
r9.level.n.05751	3	2	3	3
r9.level.n.05752	1	1	1	1
r9.level.n.05755	3	1	1	3
r9.level.n.05757	2	2	3	3
r9.level.n.05758	2	2	3	2
r9.level.n.05759	2	2	3	3
r9.level.n.05761	2	2	3	2
r9.level.n.05762	2	1	3	2
r9.level.n.05763	3	2	3	45
r9.level.n.05765	2	2	2	3
r9.level.n.05766	3	2	3	3
r9.level.n.05767	2	4	3	2
r9.level.n.05768	2	1	1	1
r9.level.n.05770	2	1	1	1
r9.level.n.05771	2	1	1	1
r9.level.n.05772	2	1	1	1
r9.level.n.05773	2	1	1	1
r9.level.n.05774	1	1	1	1
r9.level.n.05776	4	4	8	4
r9.level.n.05778	2	2	2	1
r9.level.n.05779	2	1	1	1
r9.level.n.05780	1	2	1	1
r9.level.n.05781	1	1	1	1
r9.level.n.05782	3	1	1	1
