	101	102	111	113
r8.life.n.03551	3	3	3	1&&3
r8.life.n.03552	7	7	5	7
r8.life.n.03553	3	3	3	1&&3
r8.life.n.03554	2	3	3	1&&3
r8.life.n.03555	2	3	3	1&&3
r8.life.n.03556	2	3	3	5
r8.life.n.03557	3	3	3	3
r8.life.n.03558	3	3	3	3
r8.life.n.03559	3	3	3	3
r8.life.n.03560	3	3	3	3
r8.life.n.03561	1	3	3	3
r8.life.n.03563	3	3	3	1&&3
r8.life.n.03564	3	3	3	1&&3
r8.life.n.03565	3	3	3	1&&3
r8.life.n.03566	3	3	3	1&&3
r8.life.n.03567	3	3	3	2
r8.life.n.03568	3	8	3	1&&3
r8.life.n.03569	3	3&&8	8	3
r8.life.n.03570	2	3	3	1&&3
r8.life.n.03571	2	3	2	1&&3
r8.life.n.03572	3	2	3	2
r8.life.n.03573	3	3	3	1&&3
r8.life.n.03574	3	3&&8	3	1&&3
r8.life.n.03575	3	45	47	2
r8.life.n.03576	5	3	3	3&&5
r8.life.n.03577	3	3	3	1&&3
r8.life.n.03578	3	1	1	1
r8.life.n.03579	3	3	12	1&&2&&3
r8.life.n.03580	1	11	1	1
r8.life.n.03581	1	1	1	1
r8.life.n.03582	3	3	12	3&&5&&12
r8.life.n.03583	3	3	12	3&&5&&12
r8.life.n.03584	1	1	1	1
r8.life.n.03585	3	5	5	5
r8.life.n.03586	8	8	8	10
r8.life.n.03587	6	3	6	5
r8.life.n.03588	1	3	3	1
r8.life.n.03590	2	2	2	2
r8.life.n.03591	2	2	2	2
r8.life.n.03592	3	3	3	3
r8.life.n.03593	5	3	12	12
r8.life.n.03594	3	12	12	1&&3
r8.life.n.03595	4	4	11	4
r8.life.n.03596	3	3	5	3
r8.life.n.03597	10	11	10	10&&11
r8.life.n.03598	4	4	47	47
r8.life.n.03599	1	2	47	1
r8.life.n.03600	1	2	47	1
r8.life.n.03601	5	5	4	5
r8.life.n.03602	5	5	4	5
r8.life.n.03626	3	3	3	3
r8.life.n.03718	1	3	3	1
r8.life.n.03731	1	1	1	1
r8.life.n.03783	3	3	3	3
r8.life.n.03796	4	4	11	47
r8.life.n.03824	8	8	8	8
r8.life.n.03825	3	3	3	3
r8.life.n.03846	1	1	1	1
r8.life.n.03859	8	8	8	8
r8.life.n.03867	3	5	5	5
r8.life.n.03871	1	1	1	1
r8.life.n.03913	11	4	11	10&&11
r8.life.n.03949	1	1	1	1
r8.life.n.03953	1	1	1	1
r8.life.n.03967	3	3	12	12
r8.life.n.03980	2	8	9	2&&4&&8&&9
r8.life.n.03981	5	12	12	12
r8.life.n.03994	7	7	7	7
r8.life.n.04018	14	14	4	14
r8.life.n.04030	1	3	3	1&&3
r8.life.n.04032	8	4	8	10
r8.life.n.04035	8	8	8	4&&8
r8.life.n.04076	1	46	1	46
r8.life.n.04080	3	3	3	3
r8.life.n.04103	3	2	2	2
r8.life.n.04104	3	2	2	2&&8&&10
r8.life.n.04110	1	1	1	1
r8.life.n.04144	2	2	2	2
r8.life.n.04176	5	12	12	12
r8.life.n.04180	2	11	10	4&&8
r8.life.n.04196	6	3	3	6
r8.life.n.04207	3	2	3	3
r8.life.n.04223	45	45	45	45
r8.life.n.04271	45	46	11	46
r8.life.n.04272	46	46	11	46
r8.life.n.04297	4	4	4	47
r8.life.n.04308	3	2	2	2&&3
r8.life.n.04338	46	46	11	46
r8.life.n.04378	47	8	47	47
r8.life.n.04396	3	3	3	1&&3
r8.life.n.04422	11	11	11	10
r8.life.n.04427	5	3	12	47
r8.life.n.04448	2	1	4	3
r8.life.n.04462	2	2	2	2
r8.life.n.04485	1	1	1	1
r8.life.n.04487	3	12	12	12
r8.life.n.04515	1	1	1	1
