	101	102	111	113
r8.live.v.04551	2	2	2	2
r8.live.v.04552	1	1	1	1
r8.live.v.04553	1	1	1	1
r8.live.v.04554	1	1	1	1
r8.live.v.04555	1	1	1	1
r8.live.v.04556	1	1	1&&2	1
r8.live.v.04557	3	3	3	6
r8.live.v.04558	1	1	1	1
r8.live.v.04559	1	1	1	1
r8.live.v.04560	45	5	5	5
r8.live.v.04561	2	2	2	2
r8.live.v.04562	1	1	1	1
r8.live.v.04563	1	1	1	1
r8.live.v.04564	1	1	1	1
r8.live.v.04565	1	1	1	1
r8.live.v.04566	2	2	2	2
r8.live.v.04567	3	5	7	5
r8.live.v.04568	3	2	2	3
r8.live.v.04569	1	1	1	1
r8.live.v.04570	45	5	5	45
r8.live.v.04571	45	45	45	47
r8.live.v.04572	45	45	45	47
r8.live.v.04573	45	45	45	45
r8.live.v.04576	45	5	5	5
r8.live.v.04580	1	1	2&&5	1
r8.live.v.04585	45	45	45	45
r8.live.v.04588	1	3	3	2
r8.live.v.04602	1	1	1	1
r8.live.v.04627	1	1	1	1
r8.live.v.04634	45	45	45	47
r8.live.v.04652	5	3	5	3
r8.live.v.04655	45	1	4	1
r8.live.v.04663	4	4	5	44
r8.live.v.04664	1	1	1	1
r8.live.v.04672	47	45	47	47
r8.live.v.04675	1	1	1	1
r8.live.v.04685	1	1	1	1
r8.live.v.04693	1	1	1	1
r8.live.v.04696	45	45	45	45
r8.live.v.04700	4	4	5	3
r8.live.v.04704	2	2	4	2
r8.live.v.04705	45	45	5	45
r8.live.v.04726	1	1	1&&5	1
r8.live.v.04727	1	4	4	3
r8.live.v.04748	45	45	45	45
r8.live.v.04767	1	1	1	1
r8.live.v.04777	1	1	5	1
r8.live.v.04793	2	6	5	5&&6
r8.live.v.04796	1	1	4	1
r8.live.v.04813	47	47	47	47
r8.live.v.04826	1	1	1	1
r8.live.v.04830	1	1	1	1
r8.live.v.04835	1	1	1	1
r8.live.v.04855	47	45	47	47
r8.live.v.04863	2	2	2	2
r8.live.v.04866	45	45	45	45
r8.live.v.04868	6	2	2	47
r8.live.v.04878	1	1	1	1
r8.live.v.04904	1	1	5	1
r8.live.v.04905	2	2	2	2
r8.live.v.04907	2	2	2	2
r8.live.v.04908	2	2	6	6
r8.live.v.04911	45	45	45	45
r8.live.v.04922	1	1	1	1
r8.live.v.04934	2	2	2	2
r8.live.v.04972	1	1	1	1
r8.live.v.04981	1	1	1	1
r8.live.v.04983	5	5	5	5
r8.live.v.04999	45	5	45	45
r8.live.v.05001	1	1	1	1
r8.live.v.05005	1	1	1	1
r8.live.v.05007	1	1	1	1
r8.live.v.05045	1	1	1	1
r8.live.v.05058	45	45	45	45
r8.live.v.05061	1	1	1	1
r8.live.v.05069	1	1	5	1
r8.live.v.05075	1	1	5	1
r8.live.v.05088	1	1	1	1
r8.live.v.05111	3	3	3	2&&5
r8.live.v.05117	1	1	1	1
r8.live.v.05118	45	45	45	45
r8.live.v.05127	1	1	1	1
r8.live.v.05142	6	5	5	5
r8.live.v.05146	45	45	45	45
r8.live.v.05160	1	1	1	1
r8.live.v.05170	1	1	1	1
r8.live.v.05178	1	1	1	1
r8.live.v.05202	1	1	1	1
r8.live.v.05204	3	3	3	2&&5
r8.live.v.05211	3	3	3	2&&5
r8.live.v.05236	6	5	5	6
r8.live.v.05240	1	1	1	1
r8.live.v.05244	1	1	1	1
r8.live.v.05246	1	1	1	1
r8.live.v.05256	1	1	1	1
r8.live.v.05258	45	45	45	45
r8.live.v.05310	1	1	1	1
r8.live.v.05313	45	45	45	45
r8.live.v.05318	47	47	47	47
r8.live.v.05320	1	1	1	1
