	101	102	111	113
r6.lose.v.03768	5	1	8	5
r6.lose.v.03777	1	5	5	5
r6.lose.v.03787	3	3	3	3
r6.lose.v.03799	1	1	1	1
r6.lose.v.03825	1	1	1	1&&10
r6.lose.v.03873	1	1	1	1&&10
r6.lose.v.03901	1	1	4	3
r6.lose.v.03905	5	5	5	5
r6.lose.v.03913	5	1	8	5
r6.lose.v.03920	1	4	4	4
r6.lose.v.03949	1	1	1	1
r6.lose.v.03950	1	1	2	2
r6.lose.v.03963	1	1	1	1
r6.lose.v.03967	1	1	4	4
r6.lose.v.03972	6	6	6	6
r6.lose.v.03976	6	1	6	1
r6.lose.v.03982	45	6	6	45
r6.lose.v.04009	1	1	1	1&&10
r6.lose.v.04012	1	5	5	1&&10
r6.lose.v.04013	6	6	6	6
r6.lose.v.04015	1	1	1	1
r6.lose.v.04021	1	1	1	45
r6.lose.v.04022	5	5	5	5
r6.lose.v.04026	1	1	1	1&&10
r6.lose.v.04030	1	1	1	1&&10
r6.lose.v.04034	2	2	2	2
r6.lose.v.04040	1	2	2	1
r6.lose.v.04047	6	6	6	45
r6.lose.v.04050	1	1	1	1
r6.lose.v.04052	1	1	7	1&&10
r6.lose.v.04053	3	3	3	46
r6.lose.v.04056	1	5	5	1&&4&&5&&10
r6.lose.v.04057	1	1	2	1
r6.lose.v.04061	1	1	1	1&&10
r6.lose.v.04064	45	7	5	7
r6.lose.v.04076	1	1	1	3
r6.lose.v.04078	1	45	5	45
r6.lose.v.04092	1	1	5	1
r6.lose.v.04095	3	3	3	3
r6.lose.v.04097	2	2	1	1
r6.lose.v.04105	1	1	1	1&&5
r6.lose.v.04106	1	1	1	1
r6.lose.v.04110	5	1	1	1&&5
r6.lose.v.04112	8	5	8	1&&5
r6.lose.v.04113	2	2	2	2
r6.lose.v.04115	1	1	1	1
r6.lose.v.04117	1	5	1	5
r6.lose.v.04120	7	1	7	7
r6.lose.v.04121	1	1	1	1
r6.lose.v.04123	1	45	5	1&&5
r6.lose.v.04125	4	4	4	1
r6.lose.v.04127	8	45	5	45
r6.lose.v.04130	1	1	1	1
r6.lose.v.04132	3	3	3	3
r6.lose.v.04136	1	1	1	1
r6.lose.v.04147	3	3	3	3
r6.lose.v.04158	6	6	6	6
r6.lose.v.04185	1	1	1&&4	46
r6.lose.v.04196	5	3	5	1
r6.lose.v.04199	1	1	1	5&&10
r6.lose.v.04200	1	1	2	1
r6.lose.v.04201	1	1	2	1
r6.lose.v.04208	45	7	7	45
r6.lose.v.04211	45	7	1	7
r6.lose.v.04215	5	1	2	1&&5
r6.lose.v.04221	1	1	1	1&&3
r6.lose.v.04227	1	1	1	45
r6.lose.v.04236	1	1	1	1
r6.lose.v.04241	1	1	1	1
r6.lose.v.04243	1	1	1	1
r6.lose.v.04245	1	1	1	1
r6.lose.v.04254	1	1	1	1
r6.lose.v.04258	1	1	1	1
r6.lose.v.04260	1	1	5	1
r6.lose.v.04261	1	1	1	1
r6.lose.v.04265	1	5	1	1&&10
r6.lose.v.04266	1	45	1	1
r6.lose.v.04281	1	1	1	1
r6.lose.v.04282	1	1	1	1
r6.lose.v.04289	1	1	1	1
r6.lose.v.04294	1	1	1	1
r6.lose.v.04298	1	1	1	1
r6.lose.v.04300	1	45	1	45
r6.lose.v.04303	1	1	1	1
r6.lose.v.04311	1	1	1	1
r6.lose.v.04319	45	7	1	7
r6.lose.v.04320	45	7	1	3
r6.lose.v.04322	1	1	7	1&&10
r6.lose.v.04350	6	6	6	6
r6.lose.v.04353	6	1	1	46
r6.lose.v.04354	6	6	6	46
r6.lose.v.04359	5	45	1	1&&4
r6.lose.v.04370	2	2	2	2
r6.lose.v.04375	8	7	8	8
r6.lose.v.04377	1	1	1	1
r6.lose.v.04406	2	3	3	3
r6.lose.v.04445	1	5	5	45
r6.lose.v.04455	2	1	2	1
