	101	102	111	113
r4.mature.v.01792	45	45	45	45
r4.mature.v.01794	1	1	1	1
r4.mature.v.01798	1	1	1	1
r4.mature.v.01802	45	45	1	45
r4.mature.v.01803	45	45	1	45
r4.mature.v.01804	1	1	1	1
r4.mature.v.01809	45	45	45	45
r4.mature.v.01810	1	3	3	3
r4.mature.v.01824	1	1	1	1
r4.mature.v.01825	1	1	1	1
r4.mature.v.01827	45	45	45	45
r4.mature.v.01830	45	45	45	45
r4.mature.v.01836	45	45	45	45
r4.mature.v.01837	45	45	1	45
r4.mature.v.01840	45	45	45	45
r4.mature.v.01841	45	45	45	45
r4.mature.v.01845	1	1	1	1
r4.mature.v.01847	45	45	45	45
r4.mature.v.01852	45	45	45	45
r4.mature.v.01859	45	1	1	1
r4.mature.v.01862	1	2	1	1
r4.mature.v.01863	45	45	45	45
r4.mature.v.01867	45	45	45	45
r4.mature.v.01872	45	45	45	45
r4.mature.v.01874	45	45	45	45
r4.mature.v.01886	45	45	45	45
r4.mature.v.01893	1	1	1	1
r4.mature.v.01900	1	1	1	1
r4.mature.v.01905	45	45	45	45
r4.mature.v.01914	45	45	45	45
r4.mature.v.01918	45	45	45	45
r4.mature.v.01926	45	45	45	45
r4.mature.v.01930	45	45	45	45
r4.mature.v.01946	45	45	45	45
r4.mature.v.01968	45	45	45	45
r4.mature.v.01970	45	45	45	45
r4.mature.v.01972	45	1	1	1
r4.mature.v.01976	45	45	45	45
r4.mature.v.01980	1	1	1	1
r4.mature.v.01988	45	45	45	45
r4.mature.v.01993	45	45	45	45
r4.mature.v.01994	45	45	45	45
r4.mature.v.01995	45	45	45	45
r4.mature.v.01996	45	45	45	45
r4.mature.v.01997	45	45	45	45
r4.mature.v.02000	45	45	45	45
r4.mature.v.02004	45	45	45	45
r4.mature.v.02015	45	45	45	45
r4.mature.v.02021	45	45	45	45
r4.mature.v.02022	45	45	45	45
r4.mature.v.02025	45	45	45	45
r4.mature.v.02026	45	45	45	45
r4.mature.v.02030	45	45	45	45
r4.mature.v.02031	45	45	45	45
r4.mature.v.02032	45	45	45	45
r4.mature.v.02034	45	1	1	1
r4.mature.v.02040	1	1	1	1
r4.mature.v.02062	45	45	45	45
r4.mature.v.02063	45	45	45	45
r4.mature.v.02064	45	45	45	45
r4.mature.v.02065	45	45	45	45
r4.mature.v.02066	45	45	45	45
r4.mature.v.02067	45	45	45	45
r4.mature.v.02068	45	45	45	45
r4.mature.v.02087	45	45	45	45
r4.mature.v.02092	45	45	45	45
r4.mature.v.02102	45	45	45	45
r4.mature.v.02103	45	45	45	45
r4.mature.v.02109	45	45	45	45
r4.mature.v.02112	45	45	45	45
r4.mature.v.02113	45	45	45	45
r4.mature.v.02116	45	45	45	45
r4.mature.v.02117	45	45	45	45
r4.mature.v.02123	45	45	45	45
r4.mature.v.02125	1	1	1	1
r4.mature.v.02129	45	45	45	45
r4.mature.v.02135	45	45	45	45
r4.mature.v.02136	45	45	45	45
r4.mature.v.02140	45	45	45	45
r4.mature.v.02142	45	45	45	45
r4.mature.v.02144	45	45	45	45
r4.mature.v.02148	45	45	45	45
r4.mature.v.02153	45	45	45	45
r4.mature.v.02164	45	45	45	45
r4.mature.v.02167	1	1	1	1
r4.mature.v.02169	45	45	45	45
r4.mature.v.02172	45	45	45	45
r4.mature.v.02173	45	45	45	45
r4.mature.v.02175	45	45	45	45
r4.mature.v.02176	45	45	45	45
r4.mature.v.02177	45	45	45	45
r4.mature.v.02182	45	45	45	45
r4.mature.v.02191	1	1	4	4
r4.mature.v.02196	45	45	45	45
r4.mature.v.02203	1	1	1	1
r4.mature.v.02204	45	45	45	45
r4.mature.v.02206	45	45	45	45
r4.mature.v.02210	45	45	45	45
r4.mature.v.02217	45	45	45	45
r4.mature.v.02218	45	45	45	45
