	101	102	111	113
r4.maturity.n.02226	2	2	2	2
r4.maturity.n.02227	2	2	2	2
r4.maturity.n.02228	2	2	2	2
r4.maturity.n.02229	2	1	1	1
r4.maturity.n.02230	2	1	1	1
r4.maturity.n.02231	2	45	1	1
r4.maturity.n.02232	2	45	1	1
r4.maturity.n.02233	2	2	2	2
r4.maturity.n.02234	2	2	2	2
r4.maturity.n.02235	2	2	2	2
r4.maturity.n.02236	2	1	2	2
r4.maturity.n.02237	2	45	2	1
r4.maturity.n.02238	2	45	2	1
r4.maturity.n.02239	2	45	2	1
r4.maturity.n.02240	2	45	2	1
r4.maturity.n.02241	3	3	3	3
r4.maturity.n.02242	2	2	2	2
r4.maturity.n.02243	1	2	1	2
r4.maturity.n.02244	2	2	2	2
r4.maturity.n.02245	2	2	2	2
r4.maturity.n.02246	2	2	2	2
r4.maturity.n.02247	2	2	2	2
r4.maturity.n.02248	2	2	2	2
r4.maturity.n.02249	3	3	3	3
r4.maturity.n.02250	2	2	2	2
r4.maturity.n.02251	2	2	2	2
r4.maturity.n.02252	2	2	2	1
r4.maturity.n.02253	2	2	2	2
r4.maturity.n.02254	2	1	2	1
r4.maturity.n.02255	2	2	2	2
r4.maturity.n.02256	2	2	2	2
r4.maturity.n.02257	2	2	2	2
r4.maturity.n.02258	2	2	2	2
r4.maturity.n.02259	2	2	1	46
r4.maturity.n.02260	2	2	2	2
r4.maturity.n.02261	2	2	2	2
r4.maturity.n.02262	2	2	2	2
r4.maturity.n.02263	2	2	2	2
r4.maturity.n.02264	2	45	44	2
r4.maturity.n.02265	2	2	2	2
r4.maturity.n.02266	2	2	2	2
r4.maturity.n.02267	2	2	2	1&&2
r4.maturity.n.02268	2	1	1	1
r4.maturity.n.02269	1	1	1	2
r4.maturity.n.02270	1	2	1	2
r4.maturity.n.02271	2	2	1	2
r4.maturity.n.02272	1	1	1	2
r4.maturity.n.02273	1	1	1	1
r4.maturity.n.02274	1	2	1	2
r4.maturity.n.02275	1	1	1	2
r4.maturity.n.02276	1	1	1	1
r4.maturity.n.02277	1	2	1	1
r4.maturity.n.02278	1	2	1	1
r4.maturity.n.02279	1	1	1	1
r4.maturity.n.02280	1	1	1	2
r4.maturity.n.02281	1	1	1	1
r4.maturity.n.02282	1	1	1	1
r4.maturity.n.02283	2	2	2	2
r4.maturity.n.02284	2	1	1	2
r4.maturity.n.02285	2	1	2	2
r4.maturity.n.02286	3	3	3	3
r4.maturity.n.02287	3	3	3	3
r4.maturity.n.02288	3	3	3	3
r4.maturity.n.02289	3	3	3	3
r4.maturity.n.02290	3	3	3	3
r4.maturity.n.02291	3	3	3	3
r4.maturity.n.02292	3	3	3	3
r4.maturity.n.02293	3	3	3	3
r4.maturity.n.02294	3	3	3	3
r4.maturity.n.02295	3	3	3	3
r4.maturity.n.02296	3	3	3	3
r4.maturity.n.02297	3	3	3	3
r4.maturity.n.02298	3	3	3	3
r4.maturity.n.02299	3	3	3	3
r4.maturity.n.02300	3	3	3	3
r4.maturity.n.02301	3	3	3	3
r4.maturity.n.02302	3	3	3	3
r4.maturity.n.02303	3	3	3	3
r4.maturity.n.02304	2	45	44	2
r4.maturity.n.02305	3	3	3	3
r4.maturity.n.02306	2	2	1	2
r4.maturity.n.02307	2	2	1	2
r4.maturity.n.02308	2	2	2	2
r4.maturity.n.02309	2	2	2	2
r4.maturity.n.02311	2	2	2	2
r4.maturity.n.02312	1	1	1	1
r4.maturity.n.02313	2	1	3	2
r4.maturity.n.02314	1	1	1	2
r4.maturity.n.02315	2	2	1	2
r4.maturity.n.02316	2	2	2	2
