	101	102	111	113
r6.meet.v.04549	45	45	45	45
r6.meet.v.04557	6	1	6	6
r6.meet.v.04574	6	6	6	6
r6.meet.v.04579	6	6	6	6
r6.meet.v.04582	6	6	1&&6	6
r6.meet.v.04585	6	6	1&&6	6
r6.meet.v.04586	6	6	6	6
r6.meet.v.04588	6	6	1&&6	1
r6.meet.v.04594	6	6	6	1&&6
r6.meet.v.04601	6	6	1&&6	6
r6.meet.v.04611	6	6	6	6
r6.meet.v.04621	4	4	4	4
r6.meet.v.04636	4	4	4	4
r6.meet.v.04644	4	4	4	4
r6.meet.v.04656	6	6	6	2&&6
r6.meet.v.04664	6	6	6	6
r6.meet.v.04665	7	7	6	2&&7
r6.meet.v.04666	6	1	6	1&&6
r6.meet.v.04678	6	6	6	6
r6.meet.v.04682	6	6	1	1&&6
r6.meet.v.04686	6	6	1&&6	1&&6
r6.meet.v.04698	6	1	4	1
r6.meet.v.04707	6	1	6	1&&6
r6.meet.v.04721	6	6	6	6
r6.meet.v.04723	5	6	2&&5	2&&5
r6.meet.v.04749	4	4	4	4
r6.meet.v.04759	6	7	1	44
r6.meet.v.04806	4	4	4	4
r6.meet.v.04834	1	1	1&&6	1
r6.meet.v.04837	2	7	2	2&&7
r6.meet.v.04840	4	4	4	4
r6.meet.v.04851	2	7	2	2
r6.meet.v.04866	6	6	6	1&&6
r6.meet.v.04891	4	4	4	4
r6.meet.v.04905	5	5	2&&5	5
r6.meet.v.04917	2	7	1	2&&7
r6.meet.v.04926	6	6	6	6
r6.meet.v.04927	6	1	6	6
r6.meet.v.04938	2	7	2	2&&7
r6.meet.v.04964	4	4	4	4
r6.meet.v.04967	4	4	4	4
r6.meet.v.04968	4	4	4	4
r6.meet.v.04974	4	4	4	4
r6.meet.v.04978	9	9	1	46
r6.meet.v.04979	45	45	45	45
r6.meet.v.04983	4	4	4	4
r6.meet.v.04994	4	4	4	4
r6.meet.v.04998	4	9	4	4
r6.meet.v.05012	4	4	4	4
r6.meet.v.05021	4	4	4	4
r6.meet.v.05033	4	4	4	4
r6.meet.v.05034	4	4	4	4
r6.meet.v.05037	6	6	5	1
r6.meet.v.05040	1	5	8	5
r6.meet.v.05058	45	45	45	45
r6.meet.v.05063	6	1	1&&6	1&&6
r6.meet.v.05066	45	45	45	45
r6.meet.v.05074	45	45	45	45
r6.meet.v.05082	2	7	2	2&&7
r6.meet.v.05090	45	45	45	45
r6.meet.v.05097	4	4	4	4
r6.meet.v.05103	4	4	4	4
r6.meet.v.05111	4	4	4	4
r6.meet.v.05122	2	7	2	2&&7
r6.meet.v.05124	2	7	2&&6	2
r6.meet.v.05125	4	4	4	4
r6.meet.v.05128	4	4	4	4
r6.meet.v.05132	4	4	4	4
r6.meet.v.05133	4	4	4	4
r6.meet.v.05140	4	4	4	4
r6.meet.v.05144	4	4	4	4
r6.meet.v.05145	4	4	4	4
r6.meet.v.05146	4	4	4	4
r6.meet.v.05147	4	4	4	4
r6.meet.v.05149	4	4	4	4
r6.meet.v.05150	2	7	2	2
r6.meet.v.05156	2	1	2&&6	2
r6.meet.v.05163	4	4	4	4
r6.meet.v.05172	4	4	4	4
r6.meet.v.05176	3	3	4	11
r6.meet.v.05188	4	4	4	4
r6.meet.v.05204	4	4	4	4
r6.meet.v.05209	4	4	4	4
r6.meet.v.05223	4	4	4	4
r6.meet.v.05224	4	4	4	4
r6.meet.v.05226	6	6	1&&6	6
r6.meet.v.05234	9	9	9	9
r6.meet.v.05236	1	8	8	6&&8
r6.meet.v.05249	11	3	3	11
r6.meet.v.05250	11	3	3	11
r6.meet.v.05255	1	1	6	1&&6
r6.meet.v.05256	5	2	2&&5	2
r6.meet.v.05265	1	5	5	2&&5&&7
r6.meet.v.05267	7	2	6	1
r6.meet.v.05284	3	3	3	11
r6.meet.v.05287	5	5	2	2
r6.meet.v.05306	1	1	1	1
r6.meet.v.05315	6	6	2	1&&6
r6.meet.v.05327	5	5	2&&5	2&&5
r6.meet.v.05333	11	3	3	11
