	114	115	116
r1.name.n.00811	1	1	1
r1.name.n.00812	1	1	1
r1.name.n.00813	1	1	1
r1.name.n.00842	1	1	1
r1.name.n.00852	1	1	1
r1.name.n.00853	1	1	1
r1.name.n.00854	1	1	1
r1.name.n.00855	1	1	1
r1.name.n.00856	1	1	1
r1.name.n.00857	1	1	1
r1.name.n.00858	47	1	1
r1.name.n.00859	47	1	1
r1.name.n.00860	1	1	1
r1.name.n.00861	1	1	1
r1.name.n.00862	1	1	1
r1.name.n.00863	1	1	1
r1.name.n.00864	1	1	1
r1.name.n.00865	1	1	1
r1.name.n.00866	1	1	1
r1.name.n.00867	1	1	1
r1.name.n.00868	1	1	1
r1.name.n.00869	1	1	1
r1.name.n.00870	1	1	1
r1.name.n.00908	1	1	1
r1.name.n.00909	1	1	1
r1.name.n.00910	1	1	1
r1.name.n.00934	1	1	1
r1.name.n.00935	1	1	1
r1.name.n.00936	1	1	1
r1.name.n.00937	1	1	1
r1.name.n.00938	1	1	1
r1.name.n.00939	1	1	1
r1.name.n.00940	1	1	1
r1.name.n.00954	1	1	1
r1.name.n.00955	1	1	1
r1.name.n.00956	1	1	1
r1.name.n.01010	5	5	5
r1.name.n.01011	5	5	5
r1.name.n.01012	1	1	6
r1.name.n.01013	1	1	1
r1.name.n.01014	1	1	1
r1.name.n.01015	2	2	2
r1.name.n.01016	1	1	1
r1.name.n.01017	1	1	1
r1.name.n.01018	1	1	1
r1.name.n.01019	1	1	4
r1.name.n.01020	1	1	1
r1.name.n.01021	1	1	1
r1.name.n.01022	1	1	1
r1.name.n.01023	1	1	1
r1.name.n.01024	1	1	1
r1.name.n.01025	1	1	1
r1.name.n.01026	1	1	1
r1.name.n.01027	3	1	1
r1.name.n.01028	1	4	4
r1.name.n.01029	47	1	1
r1.name.n.01030	1	1	1
r1.name.n.01031	1	1	1
r1.name.n.01032	45	45	45
r1.name.n.01033	1	1	1
r1.name.n.01034	1	1	1
r1.name.n.01035	1	1	1
r1.name.n.01036	1	1	1
r1.name.n.01037	47	1	1
r1.name.n.01038	1	1	1
r1.name.n.01039	1	1	1
r1.name.n.01040	47	1	1
r1.name.n.01041	1	1	1
r1.name.n.01042	47	1	1
r1.name.n.01043	1	1	1
r1.name.n.01044	1	1	1
r1.name.n.01045	1	1	1
r1.name.n.01046	1	1	1
r1.name.n.01047	1	1	1
r1.name.n.01048	1	1	1
r1.name.n.01049	1	1	1
r1.name.n.01050	1	1	1
r1.name.n.01051	1	1	1
r1.name.n.01052	1	1	1
r1.name.n.01053	1	1	1
r1.name.n.01054	1	1	1
r1.name.n.01055	1	1	1
r1.name.n.01056	1	1	1
r1.name.n.01058	1	1	1
r1.name.n.01059	1	1	1
r1.name.n.01060	1	1	1
r1.name.n.01061	1	1	1
r1.name.n.01062	1	1	1
r1.name.n.01063	1	1	1
r1.name.n.01064	1	1	1
r1.name.n.01065	1	1	1
r1.name.n.01066	1	1	1
r1.name.n.01067	1	1	1
r1.name.n.01068	1	1	1
r1.name.n.01069	1	1	1
r1.name.n.01070	1	1	1
r1.name.n.01071	1	1	1
r1.name.n.01072	1	1	1
r1.name.n.01073	47	1	1
