	101	102	111	113
r8.number.n.05325	1	1	1	1
r8.number.n.05326	1	1	1	1
r8.number.n.05327	1	1	1	1
r8.number.n.05328	1	1	1	1
r8.number.n.05329	1	1	1	1
r8.number.n.05330	1	1	1	1
r8.number.n.05331	1	1	1	1
r8.number.n.05332	1	1	2	1
r8.number.n.05334	1	1	1	1
r8.number.n.05335	1	1	1	1
r8.number.n.05336	1	1	2	1
r8.number.n.05337	1	1	1	1
r8.number.n.05338	1	1	1	1
r8.number.n.05339	1	1	1	1
r8.number.n.05340	1	1	1	1
r8.number.n.05341	1	1	2	1
r8.number.n.05342	1	1	1	1
r8.number.n.05343	1	1	1	1
r8.number.n.05344	1	1	1	1
r8.number.n.05345	1	1	1	1
r8.number.n.05375	1	1	1	1
r8.number.n.05376	1	1	1	1
r8.number.n.05382	1	1	1	1
r8.number.n.05392	1	1	1	1
r8.number.n.05417	1	1	1	1
r8.number.n.05422	1	1	1	1
r8.number.n.05459	4	4	4	4
r8.number.n.05462	1	1	1	1
r8.number.n.05466	1	1	1	1
r8.number.n.05490	1	1	1	1
r8.number.n.05498	5	10	1	10
r8.number.n.05506	1	1	1	1
r8.number.n.05507	1	1	1	1
r8.number.n.05515	2	5	2	2
r8.number.n.05526	5	8	2	47
r8.number.n.05540	1	1	1	1
r8.number.n.05541	1	1	1	1
r8.number.n.05543	1	1	1	1
r8.number.n.05557	1	1	1	1
r8.number.n.05588	1	1	1	1
r8.number.n.05605	1	2	1	1
r8.number.n.05628	1	1	1	1
r8.number.n.05630	1	1	1	1
r8.number.n.05634	1	1	1	1
r8.number.n.05638	1	1	1	1
r8.number.n.05641	1	1	1	1
r8.number.n.05660	1	1	1	1
r8.number.n.05663	1	1	1	1
r8.number.n.05664	1	1	1	1
r8.number.n.05677	1	1	1	1
r8.number.n.05696	1	1	1	1
r8.number.n.05702	1	1	1	1
r8.number.n.05710	1	1	1	1
r8.number.n.05725	1	1	2	1
r8.number.n.05734	1	1	1	1
r8.number.n.05736	1	1	1	1
r8.number.n.05745	1	1	1	1
r8.number.n.05766	1	1	1	1
r8.number.n.05777	1	1	1	1
r8.number.n.05785	1	1	1	1
r8.number.n.05789	1	1	1	1
r8.number.n.05803	1	1	1	1
r8.number.n.05809	1	1	1	1
r8.number.n.05810	1	1	1	1
r8.number.n.05816	1	1	1	1
r8.number.n.05822	1	1	1	1
r8.number.n.05826	8	8	8	8
r8.number.n.05833	1	1	1	1
r8.number.n.05848	1	1	1	1
r8.number.n.05851	1	1	1	1
r8.number.n.05855	1	1	1	1
r8.number.n.05862	1	1	1	1
r8.number.n.05866	1	1	1	1
r8.number.n.05873	1	1	1	1
r8.number.n.05878	1	1	1	1
r8.number.n.05880	1	1	8	1
r8.number.n.05897	1	1	1	1
r8.number.n.05915	1	1	1	1
r8.number.n.05927	1	1	1	1
r8.number.n.05928	1	1	1	1
r8.number.n.05943	1	1	1	1
r8.number.n.05952	1	1	1	1
r8.number.n.05954	1	1	1	1
r8.number.n.05962	1	1	1	1
r8.number.n.05969	1	1	1	1
r8.number.n.05970	1	1	1	1
r8.number.n.05985	1	1	1	1
r8.number.n.05990	1	1	1	1
r8.number.n.05998	1	1	1	1
r8.number.n.06014	8	8	8	8
r8.number.n.06020	1	1	1	1
r8.number.n.06032	1	1	1	1
r8.number.n.06036	1	1	1	1
r8.number.n.06039	1	1	1	1
r8.number.n.06052	1	1	1	1
r8.number.n.06060	1	1	1	1
r8.number.n.06064	1	1	1	1
r8.number.n.06082	1	1	1	1
r8.number.n.06093	1	1	1	1
