	101	102	103	111	113
r4.officer.n.02395	3	3	3	3	3
r4.officer.n.02397	3	3	3	3	3
r4.officer.n.02414	3	3	3	3	3
r4.officer.n.02416	3	3	3	3	3
r4.officer.n.02418	2	2	2	2	2
r4.officer.n.02424	2	2	2	2	2
r4.officer.n.02441	3	3	3	3	3
r4.officer.n.02458	2	1	2	3	2
r4.officer.n.02459	2	2	1	1	1
r4.officer.n.02488	3	3	3	3	3
r4.officer.n.02500	3	3	3	3	3
r4.officer.n.02501	1	1	1	1	1
r4.officer.n.02515	1	1	1	1	1
r4.officer.n.02519	1	1	1	1	4
r4.officer.n.02523	2	2	2	2	2
r4.officer.n.02560	2	2	2	2	2
r4.officer.n.02575	3	3	2	3	3
r4.officer.n.02619	3	3	3	3	3
r4.officer.n.02694	3	3	3	3	3
r4.officer.n.02722	2	2	2	2	2
r4.officer.n.02729	2	2	2	2	2
r4.officer.n.02799	3	3	3	3	3
r4.officer.n.02830	2	2	2	2	2
r4.officer.n.02854	3	3	3	3	3
r4.officer.n.02868	3	3	3	3	3
r4.officer.n.02926	2	2	2	1	1
r4.officer.n.02984	2	2	2	2	2
r4.officer.n.03027	2	1	1	1	1
r4.officer.n.03123	2	2	2	2	2
r4.officer.n.03178	2	2	2	2	2
r4.officer.n.03267	2	2	2	2	2
r4.officer.n.03283	2	2	2	2	2
r4.officer.n.03354	1	1	1	1	1
