	114	115	116
r1.order.n.01089	45	47	47
r1.order.n.01154	45	47	47
r1.order.n.01155	45	47	47
r1.order.n.01165	5	4	3
r1.order.n.01166	45	47	47
r1.order.n.01203	3	3	3
r1.order.n.01204	13	13	7
r1.order.n.01205	45	47	47
r1.order.n.01206	3	3	3
r1.order.n.01207	45	47	47
r1.order.n.01208	3	3	3
r1.order.n.01209	45	47	47
r1.order.n.01210	1	1	1
r1.order.n.01211	45	47	47
r1.order.n.01212	3	3	3
r1.order.n.01213	6	44	1
r1.order.n.01214	45	47	47
r1.order.n.01215	8	8	11
r1.order.n.01216	45	47	47
r1.order.n.01217	45	47	47
r1.order.n.01218	45	47	47
r1.order.n.01219	5	4	5
r1.order.n.01220	45	47	47
r1.order.n.01221	3	3	3
r1.order.n.01222	5	5	3
r1.order.n.01223	5	4	4
r1.order.n.01224	45	45	45
r1.order.n.01225	2	46	8
r1.order.n.01226	45	47	47
r1.order.n.01227	45	47	47
r1.order.n.01228	45	47	47
r1.order.n.01229	3	3	3
r1.order.n.01230	7	13	7
r1.order.n.01231	4	4	4
r1.order.n.01232	45	47	47
r1.order.n.01233	45	47	47
r1.order.n.01234	45	47	47
r1.order.n.01235	6	6	1
r1.order.n.01236	45	47	47
r1.order.n.01237	47	4	4
r1.order.n.01238	45	47	47
r1.order.n.01239	1	1	1
r1.order.n.01240	4	4	4
r1.order.n.01241	4	4	4
r1.order.n.01242	7	4	44
r1.order.n.01243	45	47	47
r1.order.n.01244	45	47	47
r1.order.n.01245	2	2	2
r1.order.n.01246	45	47	47
r1.order.n.01247	45	47	47
r1.order.n.01248	45	47	47
r1.order.n.01249	45	47	47
r1.order.n.01250	4	4	4
r1.order.n.01251	45	47	47
r1.order.n.01252	45	47	47
r1.order.n.01253	45	47	47
r1.order.n.01254	4	4	4
r1.order.n.01255	4	4	4
r1.order.n.01256	45	47	47
r1.order.n.01257	45	47	47
r1.order.n.01258	4	4	4
r1.order.n.01259	4	4	12
r1.order.n.01260	2	47	2
r1.order.n.01261	45	47	47
r1.order.n.01262	2	2	2
r1.order.n.01263	2	4	2
r1.order.n.01264	45	47	47
r1.order.n.01265	4	4	4
r1.order.n.01266	45	47	47
r1.order.n.01267	45	47	47
r1.order.n.01268	2	47	2
r1.order.n.01269	45	47	47
r1.order.n.01270	13	13	7
r1.order.n.01271	45	47	47
r1.order.n.01272	13	13	7
r1.order.n.01273	45	47	47
r1.order.n.01274	45	47	47
r1.order.n.01275	45	47	47
r1.order.n.01276	13	13	7
r1.order.n.01277	6	6	1
r1.order.n.01278	6	6	1
r1.order.n.01279	6	8	1
r1.order.n.01280	6	3	3
r1.order.n.01281	6	6	1
r1.order.n.01282	6	6	1
r1.order.n.01283	6	6	1
r1.order.n.01284	6	6	1
r1.order.n.01285	6	1	1
r1.order.n.01286	6	6	1
r1.order.n.01287	45	47	47
r1.order.n.01288	13	7	7
r1.order.n.01289	6	6	6
r1.order.n.01290	6	6	6
r1.order.n.01291	6	6	6
r1.order.n.01292	6	6	6
r1.order.n.01293	45	47	47
r1.order.n.01294	45	47	47
r1.order.n.01295	45	47	47
r1.order.n.01296	8	8	11
r1.order.n.01297	8	11	11
