	101	102	111	115
r9.paper.n.07654	5	5	5	5
r9.paper.n.07655	5	2	2	1
r9.paper.n.07656	5	2	2	1
r9.paper.n.07657	2	2	2	2
r9.paper.n.07658	1	4	4	1
r9.paper.n.07659	1	4	4	1
r9.paper.n.07660	2	2	2	5
r9.paper.n.07661	1	4	4	1
r9.paper.n.07662	5	5	5	5
r9.paper.n.07663	5	5	5	5
r9.paper.n.07666	1	4	4	1
r9.paper.n.07667	5	5	2	2
r9.paper.n.07668	3	3	3	3
r9.paper.n.07669	3	3	3	3
r9.paper.n.07670	6	3	6	3
r9.paper.n.07671	3	2	3	3
r9.paper.n.07672	3	3	3	3
r9.paper.n.07673	5	2	2	1
r9.paper.n.07674	5	5	2	1
r9.paper.n.07675	5	2	5	5
r9.paper.n.07676	5	2	5	5
r9.paper.n.07677	3	3	5	3
r9.paper.n.07678	1	1	47	1
r9.paper.n.07679	1	1	47	1
r9.paper.n.07680	1	1	47	1
r9.paper.n.07681	1	1	47	1
r9.paper.n.07682	1	1	1	1
r9.paper.n.07683	1	4	4	1
r9.paper.n.07684	1	1	47	1
r9.paper.n.07685	1	4	4	1
r9.paper.n.07686	1	4	4	1
r9.paper.n.07687	1	4	4	1
r9.paper.n.07688	1	4	4	1
r9.paper.n.07689	1	4	4	1
r9.paper.n.07690	1	1	47	1
r9.paper.n.07691	1	1	47	1
r9.paper.n.07692	1	4	4	1
r9.paper.n.07693	1	1	1	1
r9.paper.n.07694	1	1	1	1
r9.paper.n.07695	5	5	5	44
r9.paper.n.07696	5	5	5	5
r9.paper.n.07697	5	5	5	5
r9.paper.n.07698	5	3	5	44
r9.paper.n.07699	1	1	1	1
r9.paper.n.07700	1	1	1	1
r9.paper.n.07701	5	3	2	44
r9.paper.n.07702	5	2	2	2
r9.paper.n.07703	3	3	6	3
r9.paper.n.07704	5	2	2	2
r9.paper.n.07705	5	2	2	2
r9.paper.n.07706	3	3	7	3
r9.paper.n.07707	3	3	7	3
r9.paper.n.07708	3	3	7	3
r9.paper.n.07709	47	47	47	47
r9.paper.n.07710	47	47	47	47
r9.paper.n.07711	1	1	1	1
r9.paper.n.07712	2	2	2	2
r9.paper.n.07713	4	1	1	4
r9.paper.n.07714	1	1	4	1
r9.paper.n.07715	44	2	2	4
r9.paper.n.07717	2	2	2	2
r9.paper.n.07718	1	1	4	1
r9.paper.n.07719	3	3	7	3
r9.paper.n.07721	1	1	45	1
r9.paper.n.07722	3	3	3	3
r9.paper.n.07760	3	3	3	3
r9.paper.n.07766	4	4	4	1
r9.paper.n.07782	4	1	47	4
r9.paper.n.07794	3	3	3	3
r9.paper.n.07802	3	3	3	3
r9.paper.n.07816	6	3	3	3
r9.paper.n.07863	3	3	3	3
r9.paper.n.07884	3	3	5	3
r9.paper.n.07885	3	3	3	3
r9.paper.n.07898	3	3	3	3
r9.paper.n.07905	3	3	3	3
r9.paper.n.07919	3	3	3	3
r9.paper.n.07920	3	3	3	3
r9.paper.n.08108	3	3	3	3
r9.paper.n.08130	3	3	3	3
r9.paper.n.08133	3	3	3	3
r9.paper.n.08148	3	3	3	3
r9.paper.n.08157	3	3	3	3
r9.paper.n.08202	3	3	3	3
r9.paper.n.08246	3	3	3	3
r9.paper.n.08287	3	3	3	3
r9.paper.n.08288	3	3	3	3
r9.paper.n.08341	3	3	3	3
r9.paper.n.08359	3	3	3	3
r9.paper.n.08433	3	3	3	5
r9.paper.n.08444	5	5	5	5
r9.paper.n.08594	4	3	45	1
r9.paper.n.08597	4	1	4	1
r9.paper.n.08612	5	5	5	5
r9.paper.n.08614	5	5	5	2
