	101	102	111	115
r10.particular.j.07047	1	1	1	3
r10.particular.j.07048	3	3	3	4
r10.particular.j.07049	1	5	3	3
r10.particular.j.07050	1	47	47	3
r10.particular.j.07051	1	2	2	2
r10.particular.j.07052	1	2	2	2
r10.particular.j.07053	1	47	47	3
r10.particular.j.07054	1	1	2	2
r10.particular.j.07056	1	2	2	2
r10.particular.j.07057	1	2	2	2
r10.particular.j.07058	1	2	2	2
r10.particular.j.07059	1	2	2	2
r10.particular.j.07060	1	1	2	6
r10.particular.j.07061	47	47	47	3
r10.particular.j.07062	1	2	2	2
r10.particular.j.07063	1	2	2	2
r10.particular.j.07065	1	2	2	2
r10.particular.j.07069	1	2	2	2
r10.particular.j.07071	1	2	2	2
r10.particular.j.07072	1	2	2	2
r10.particular.j.07073	1	1	1	2
r10.particular.j.07074	1	2	2	2
r10.particular.j.07075	1	2	2	2
r10.particular.j.07076	1	2	2	2
r10.particular.j.07077	1	2	2	2
r10.particular.j.07078	1	2	2	2
r10.particular.j.07079	1	2	1	2
r10.particular.j.07080	1	1	2	2
r10.particular.j.07081	1	1	2	2
r10.particular.j.07082	2	2	1	2
r10.particular.j.07083	1	2	2	2
r10.particular.j.07084	47	47	47	3
r10.particular.j.07085	2	2	2	2
r10.particular.j.07086	3	3	3	3
r10.particular.j.07087	1	2	2	2
r10.particular.j.07088	1	2	2	2
r10.particular.j.07089	1	2	2	2
r10.particular.j.07090	1	1	1	1
r10.particular.j.07091	1	2	2	2
r10.particular.j.07092	1	1	1	1
r10.particular.j.07093	1	2	2	2
r10.particular.j.07094	1	2	2	2
r10.particular.j.07095	1	1	2	2
r10.particular.j.07096	1	2	1	2
r10.particular.j.07097	1	2	2	2
r10.particular.j.07098	1	2	2	2
r10.particular.j.07099	1	2	2	2
r10.particular.j.07100	1	2	2	2
r10.particular.j.07101	1	2	2	2
r10.particular.j.07102	1	2	1	2
r10.particular.j.07103	1	2	1	2
r10.particular.j.07121	1	2	1	2
r10.particular.j.07123	2	2	2	2
r10.particular.j.07194	1	2	1	2
r10.particular.j.07225	2	47	47	3
r10.particular.j.07287	3	3	3	3
r10.particular.j.07296	1	2	2	2
r10.particular.j.07351	1	1	1	1
r10.particular.j.07367	1	2	2	2
r10.particular.j.07436	3	2	3	3
r10.particular.j.07437	1	1	1	2
r10.particular.j.07454	3	2	3	3
r10.particular.j.07482	1	2	2	2
r10.particular.j.07497	1	2	2	2
r10.particular.j.07542	1	2	1	2
r10.particular.j.07570	47	47	47	3
r10.particular.j.07601	47	47	47	3
r10.particular.j.07623	1	2	2	2
r10.particular.j.07629	3	3	3	3
r10.particular.j.07643	1	2	1	2
r10.particular.j.07644	1	1	2	2
r10.particular.j.07658	47	47	47	3
r10.particular.j.07666	1	2	1	2
r10.particular.j.07668	1	2	1	2
r10.particular.j.07673	47	47	47	3
r10.particular.j.07685	1	2	2	2
r10.particular.j.07731	1	1	2	2
r10.particular.j.07788	1	2	1	2
r10.particular.j.07790	1	2	2	2
r10.particular.j.07800	1	2	1	1
r10.particular.j.07819	1	47	47	3
r10.particular.j.07825	1	47	47	2
r10.particular.j.07834	1	2	1	2
r10.particular.j.07850	1	2	1	2
r10.particular.j.07912	47	47	47	3
r10.particular.j.07952	47	47	47	3
r10.particular.j.07965	1	2	2	2
r10.particular.j.07969	1	2	2	2
r10.particular.j.07973	47	47	47	3
r10.particular.j.07984	1	2	2	2
r10.particular.j.07993	1	2	1	2
r10.particular.j.08000	1	4	1	2
