	107	108	109	111	113
r3.player.n.03255	1	1	47	1	1
r3.player.n.03261	1	1	1	1	1
r3.player.n.03268	1	1	1	1	1
r3.player.n.03277	1	1	1	1	1
r3.player.n.03285	1	1	1	1	1
r3.player.n.03287	1	1	1	1	1
r3.player.n.03317	1	1	1	1	1
r3.player.n.03321	1	1	1	1	1
r3.player.n.03335	1	1	1	1	1
r3.player.n.03366	1	1	1	1	1
r3.player.n.03381	1	1	1	1	1
r3.player.n.03383	1	1	1	1	1
r3.player.n.03389	1	1	1	1	1
r3.player.n.03396	1	1	1	1	1
r3.player.n.03407	2	2	2	2	2
r3.player.n.03412	1	1	1	1	1
r3.player.n.03420	1	1	1	1	1
r3.player.n.03424	1	1	1	1	1
r3.player.n.03428	1	1	1	1	1
r3.player.n.03429	1	1	1	1	1
r3.player.n.03430	1	1	1	1	1
r3.player.n.03432	1	1	1	1	1
r3.player.n.03462	1	1	1	1	1
r3.player.n.03475	1	1	1	1	1
r3.player.n.03476	1	1	1	1	1
r3.player.n.03491	1	1	1	1	1
r3.player.n.03494	1	1	1	1	1
r3.player.n.03502	1	1	1	1	5
r3.player.n.03513	1	1	44	44	5
r3.player.n.03520	5	5	5	5	5
r3.player.n.03531	5	5	5	1	5
r3.player.n.03532	46	47	47	46	46
r3.player.n.03542	5	5	5	5	5
r3.player.n.03548	5	5	5	5	5
r3.player.n.03551	1	1	1	1	1
r3.player.n.03561	2	2	2	2	2
r3.player.n.03582	5	5	5	5	5
r3.player.n.03583	5	5	5	5	5
r3.player.n.03587	1	1	1	1	1
r3.player.n.03592	1	1	1	1	1
r3.player.n.03611	5	5	5	5	5
r3.player.n.03627	1	1	1	1	1
r3.player.n.03661	1	1	1	1	1
r3.player.n.03670	1	1	1	1	1
r3.player.n.03673	1	1	1	1	1
r3.player.n.03677	1	1	1	1	1
r3.player.n.03680	1	1	1	1	1
r3.player.n.03682	1	1	1	1	1
r3.player.n.03697	1	1	1	1	1
r3.player.n.03703	1	1	1	1	1
r3.player.n.03708	1	1	1	1	1
r3.player.n.03713	1	1	1	1	1
r3.player.n.03742	1	1	1	1	1
r3.player.n.03754	5	5	5	5	5
r3.player.n.03756	5	5	5	5	5
r3.player.n.03759	1	1	1	1	1
r3.player.n.03766	1	1	47	1	1
r3.player.n.03774	1	1	1	1	1
r3.player.n.03783	1	1	1	1	1
r3.player.n.03793	1	1	1	1	1
r3.player.n.03797	1	1	1	1	1
r3.player.n.03801	5	5	5	5	5
r3.player.n.03802	5	3	5	3	5
r3.player.n.03825	5	5	5	5	5
r3.player.n.03835	1	1	1	1	1
r3.player.n.03860	46	46	46	46	46
r3.player.n.03866	1	1	1	1	1
r3.player.n.03875	1	1	1	1	1
r3.player.n.03884	1	1	1	1	1
r3.player.n.03888	3	3	3	3	3
r3.player.n.03889	1	1	1	1	1
r3.player.n.03900	4	46	4	5	5
r3.player.n.03913	5	5	5	5	5
r3.player.n.03919	1	1	1	1	1
r3.player.n.03934	1	1	1	1	1
r3.player.n.03935	1	1	1	1	1
r3.player.n.03937	1	1	1	1	1
r3.player.n.03944	1	1	1	1	1
r3.player.n.03965	1	1	1	1	1
r3.player.n.03971	1	1	1	1	1
r3.player.n.03979	1	1	1	1	1
r3.player.n.03981	1	1	1	1	1
r3.player.n.03982	1	1	1	1	1
r3.player.n.03988	1	1	1	1	1
r3.player.n.03993	1	1	1	1	1
r3.player.n.03998	1	1	1	1	1
r3.player.n.04002	1	1	1	1	1
r3.player.n.04019	1	1	1	1	1
r3.player.n.04020	1	5	5	5	5
r3.player.n.04022	1	1	1	1	1
r3.player.n.04023	1	1	1	1	1
r3.player.n.04024	1	1	1	1	1
r3.player.n.04048	1	1	1	1	1
r3.player.n.04058	5	5	5	1	5
r3.player.n.04061	5	5	5	5	5
r3.player.n.04066	1	1	5	3	1
r3.player.n.04085	1	1	1	5	5
r3.player.n.04099	5	5	5	5	5
r3.player.n.04103	5	5	5	5	5
r3.player.n.04104	5	5	5	1	5
r3.player.n.04134	1	1	1	1	1
r3.player.n.04159	46	47	47	46	46
