	101	102	111	113
r7.poor.j.02020	3	3	3	3
r7.poor.j.02028	1	1	1	1
r7.poor.j.02047	1	1	1	1
r7.poor.j.02050	2	2	2	2
r7.poor.j.02078	2	2	2	2
r7.poor.j.02082	2	2	2	2
r7.poor.j.02086	2	2	2	2
r7.poor.j.02148	5	5	4	5
r7.poor.j.02152	2	45	45	45
r7.poor.j.02207	2	45	45	45
r7.poor.j.02226	2	45	45	45
r7.poor.j.02230	4	5	4	5
r7.poor.j.02245	2	2	2	1
r7.poor.j.02257	2	2	2	2
r7.poor.j.02262	4	5	4	5
r7.poor.j.02266	2	45	45	45
r7.poor.j.02267	2	45	45	45
r7.poor.j.02275	5	5	4	5
r7.poor.j.02279	2	3	2	2&&3
r7.poor.j.02285	2	3	3	2&&3
r7.poor.j.02300	2	45	45	45
r7.poor.j.02322	2	2	2	2
r7.poor.j.02334	2	2	2	2
r7.poor.j.02366	2	2	2	2
r7.poor.j.02375	4	5	4	4&&5
r7.poor.j.02387	2	2	2	2
r7.poor.j.02409	46	5	4	4
r7.poor.j.02415	4	5	4	5
r7.poor.j.02421	2	2	2	2
r7.poor.j.02427	2	45	45	45
r7.poor.j.02445	1	1	1	1
r7.poor.j.02464	4	5	4	5
r7.poor.j.02494	3	3	3	3
r7.poor.j.02502	1	1	1	1
r7.poor.j.02509	2	2	2	2
r7.poor.j.02514	4	4	4	4
r7.poor.j.02515	2	3	3&&4	3
r7.poor.j.02518	1	1	1	1
r7.poor.j.02519	44	44	44	2
r7.poor.j.02523	4	5	5	5
r7.poor.j.02529	2	2	2	2
r7.poor.j.02541	4	5	4	4
r7.poor.j.02542	2	2	2	2
r7.poor.j.02569	4	5	4	5
r7.poor.j.02588	4	5	5	4
r7.poor.j.02597	5	5	5	5
r7.poor.j.02606	5	5	5	5
r7.poor.j.02614	4	4	4	4
r7.poor.j.02628	4	5	4	4&&5
r7.poor.j.02638	4	5	4	5
r7.poor.j.02643	4	5	4	4&&5
r7.poor.j.02648	3	3	3	3
r7.poor.j.02650	5	5	5	4&&5
r7.poor.j.02674	5	5	5	4
r7.poor.j.02677	4	5	4	4&&5
r7.poor.j.02698	4	5	5	5
r7.poor.j.02703	4	5	4	5
r7.poor.j.02717	4	5	5	5
r7.poor.j.02719	4	5	5	5
r7.poor.j.02729	5	5	5	4&&5
r7.poor.j.02739	4	5	5	4&&5
r7.poor.j.02750	5	5	5	5
r7.poor.j.02752	5	5	4	5
r7.poor.j.02759	2	2	2	2
r7.poor.j.02760	2	2	2	2
r7.poor.j.02768	2	45	45	45
r7.poor.j.02786	5	5	4	5
r7.poor.j.02790	2	2	45	45
r7.poor.j.02791	2	45	45	45
r7.poor.j.02796	2	2	2	2
r7.poor.j.02816	2	45	45	45
r7.poor.j.02824	2	45	45	45
r7.poor.j.02839	2	2	2	2
r7.poor.j.02844	2	2	2	2
r7.poor.j.02850	2	45	45	45
r7.poor.j.02858	2	45	45	45
r7.poor.j.02885	2	2	2	2
r7.poor.j.02896	2	2	2	2
r7.poor.j.02899	2	2	2	2
r7.poor.j.02904	2	45	45	45
r7.poor.j.02913	2	2	2	2
r7.poor.j.02929	2	45	45	45
r7.poor.j.02937	2	45	45	45
r7.poor.j.02948	2	45	45	45
r7.poor.j.02961	2	2	2	2
r7.poor.j.02972	4	5	4	5
r7.poor.j.02978	5	5	5	5
r7.poor.j.02979	5	5	5	5
r7.poor.j.02983	5	5	5	5
r7.poor.j.02996	2	45	45	45
r7.poor.j.03007	2	2	2	2
r7.poor.j.03012	4	5	5	4&&5
r7.poor.j.03024	4	5	4	5
r7.poor.j.03029	2	45	45	45
