	109	111
r5.power.n.06969	4	5
r5.power.n.06975	46	9
r5.power.n.06977	46	9
r5.power.n.06978	46	9
r5.power.n.06980	46	9
r5.power.n.06981	46	45
r5.power.n.06982	46	3&&7
r5.power.n.06983	46	3&&7
r5.power.n.06984	46	3&&7
r5.power.n.06987	1	1
r5.power.n.06988	1&&4	4
r5.power.n.06994	47	1
r5.power.n.07001	47	9
r5.power.n.07003	46	9
r5.power.n.07006	1	1
r5.power.n.07008	1	4
r5.power.n.07013	47	8
r5.power.n.07014	1	1
r5.power.n.07017	1	4
r5.power.n.07018	1	1
r5.power.n.07023	1	1
r5.power.n.07025	8	8
r5.power.n.07026	5&&8	8
r5.power.n.07027	47	9
r5.power.n.07028	47	9
r5.power.n.07031	1&&3	3
r5.power.n.07032	1	1
r5.power.n.07034	1&&4	4
r5.power.n.07040	1	1
r5.power.n.07043	7	7
r5.power.n.07044	1	1
r5.power.n.07045	1	1
r5.power.n.07046	1	1
r5.power.n.07047	1&&4	4
r5.power.n.07050	1	1
r5.power.n.07052	1	4
r5.power.n.07053	1	1
r5.power.n.07054	47	1
r5.power.n.07056	1	1
r5.power.n.07058	46	9
r5.power.n.07065	1	1
r5.power.n.07066	1	1
r5.power.n.07067	8	8
r5.power.n.07070	1	1
r5.power.n.07072	1	1
r5.power.n.07073	1	1
r5.power.n.07076	46	9
r5.power.n.07077	46	9
r5.power.n.07079	46	9
r5.power.n.07081	1	1
r5.power.n.07083	46	9
r5.power.n.07085	1	1
r5.power.n.07087	46	9
r5.power.n.07088	47	9
r5.power.n.07089	1&&7	7
r5.power.n.07090	1&&7	7
r5.power.n.07095	1	1
r5.power.n.07096	1	9
r5.power.n.07097	1&&4	4
r5.power.n.07099	1	5
r5.power.n.07102	1	4
r5.power.n.07103	46	9
r5.power.n.07104	1	1
r5.power.n.07105	3	1
r5.power.n.07106	46	9
r5.power.n.07107	46	9
r5.power.n.07109	1	3
r5.power.n.07110	8	8
r5.power.n.07111	1	1
r5.power.n.07113	46	9
r5.power.n.07117	46	9
r5.power.n.07121	1	1
r5.power.n.07124	46	9
r5.power.n.07125	1	1
r5.power.n.07128	47	9
r5.power.n.07129	1	7
r5.power.n.07134	1	4
r5.power.n.07135	1	5
r5.power.n.07136	1	1
r5.power.n.07137	1	3
r5.power.n.07140	1	1
r5.power.n.07141	2	9
r5.power.n.07144	1&&3	1
r5.power.n.07146	2	9
r5.power.n.07151	1	1
r5.power.n.07152	1	1
r5.power.n.07154	46	9
r5.power.n.07156	1	1
r5.power.n.07160	1	9
r5.power.n.07162	1	1
r5.power.n.07163	1	1
r5.power.n.07164	1	4
r5.power.n.07165	47	1
r5.power.n.07166	47	1
r5.power.n.07168	46	9
r5.power.n.07170	3	3
r5.power.n.07171	1	1
r5.power.n.07174	1	7
r5.power.n.07175	1&&7	7
r5.power.n.07176	1	5
r5.power.n.07177	1	5
r5.power.n.07179	1	5
r5.power.n.07180	5	4
r5.power.n.07181	1	1
