	101	102	103	105	107	108
r2.quiet.j.03411	2	1	2	2	2	2
r2.quiet.j.03412	47	2	2	2	2	47
r2.quiet.j.03413	47	2	2	1	2	47
r2.quiet.j.03414	47	2	2	2	2	47
r2.quiet.j.03415	3	3	3	1	1	3
r2.quiet.j.03417	3	3	3	1	1	1
r2.quiet.j.03419	2	2	2	2	2	2
r2.quiet.j.03421	1	3	3	1	3	3
r2.quiet.j.03422	3	2	3	3	2	3
r2.quiet.j.03427	1	1	1	1	1	1
r2.quiet.j.03428	1	1	1	1	1	1
r2.quiet.j.03433	2	46	3	3	1	46
r2.quiet.j.03434	1	3	3	4	1	46
r2.quiet.j.03436	3	2	2	2	2	2
r2.quiet.j.03442	2	2	2	2	2	2
r2.quiet.j.03445	3	2	3	4	1	3
r2.quiet.j.03446	1	1	1	1	1	1
r2.quiet.j.03450	3	45	3	2	45	45
r2.quiet.j.03451	47	2	2	1	1	47
r2.quiet.j.03452	1	1	1	1	2	44
r2.quiet.j.03454	3	3	3	3	1	3
r2.quiet.j.03455	3	2	3	2	1	3
r2.quiet.j.03463	3	4	3	2	2	3
r2.quiet.j.03464	3	2	3	3	1	3
r2.quiet.j.03466	47	2	2	1	2	47
r2.quiet.j.03467	2	2	1	1	1	1
r2.quiet.j.03468	2	3	3	3	3	3
r2.quiet.j.03470	1	1	1	1	1	1
r2.quiet.j.03474	3	3	3	3	3	3
r2.quiet.j.03477	1	4	3	4	1	3
r2.quiet.j.03479	2	2	2	1	1	2
r2.quiet.j.03482	3	2	3	3	1	3
r2.quiet.j.03483	3	3	3	3	1	3
r2.quiet.j.03487	3	3	3	3	1	3
r2.quiet.j.03488	3	2	2	2	2	46
r2.quiet.j.03489	3	3	3	3	3	3
r2.quiet.j.03491	2	2	2	2	2	2
r2.quiet.j.03493	2	4	2	4	2	4
r2.quiet.j.03495	3	3	3	3	1	3
r2.quiet.j.03499	47	2	2	2	2	47
r2.quiet.j.03503	1	1	1	1	1	1
r2.quiet.j.03504	2	2	2	2	4	47
r2.quiet.j.03506	47	2	2	2	2	47
r2.quiet.j.03512	1	2	1	1	1	1
r2.quiet.j.03516	46	3	3	3	1	3
r2.quiet.j.03523	3	4	3	1	1	3
r2.quiet.j.03526	3	3	3	2	3	3
r2.quiet.j.03528	1	1	1	1	1	1
r2.quiet.j.03529	5	5	1	5	1	5
r2.quiet.j.03530	3	3	3	3	1	3
r2.quiet.j.03533	1	2	1	2	45	45
r2.quiet.j.03534	3	3	3	3	3	3
r2.quiet.j.03536	1	2	3	4	1	46
r2.quiet.j.03538	2	2	2	2	2	2
r2.quiet.j.03540	3	3	3	3	3	3
r2.quiet.j.03541	3	3	3	3	3	3
r2.quiet.j.03543	3	4	3	3	1	3
r2.quiet.j.03544	2	2	1	4	1	44
r2.quiet.j.03545	2	2	2	2	2	2
r2.quiet.j.03549	47	3	3	4	3	47
r2.quiet.j.03550	47	2	3	4	1	47
r2.quiet.j.03552	2	2	2	2	2	2
r2.quiet.j.03554	3	3	3	3	3	3
r2.quiet.j.03559	1	2	1	1	1	1
r2.quiet.j.03565	1	1	3	1	1	46
r2.quiet.j.03566	1	2	1	2	2	44
r2.quiet.j.03567	1	1	1	5	1	1
r2.quiet.j.03576	1	1	1	1	1	1
r2.quiet.j.03578	1	2	1	1	1	1
r2.quiet.j.03580	3	1	3	3	3	3
r2.quiet.j.03583	1	1	1	1	1	1
r2.quiet.j.03584	2	2	1	1	1	1
r2.quiet.j.03586	1	1	1	1	1	1
r2.quiet.j.03594	1	1	1	1	1	1
r2.quiet.j.03596	1	2	1	1	1	1
r2.quiet.j.03599	1	1	1	1	1	1
r2.quiet.j.03602	1	1	1	1	1	1
r2.quiet.j.03604	1	1	1	1	1	1
r2.quiet.j.03606	1	1	1	1	1	1
r2.quiet.j.03607	1	1	1	1	1	1
r2.quiet.j.03610	2	1	1	1	1	1
r2.quiet.j.03614	1	1	1	1	1	1
r2.quiet.j.03618	47	2	2	1	2	1
r2.quiet.j.03621	3	1	3	3	3	3
r2.quiet.j.03622	3	1	3	1	3	3
r2.quiet.j.03623	1	1	1	1	1	1
r2.quiet.j.03624	5	5	1	5	5	5
r2.quiet.j.03628	1	1	1	1	1	1
r2.quiet.j.03629	1	2	1	2	1	1
r2.quiet.j.03631	1	1	1	1	1	1
r2.quiet.j.03635	2	2	1	1	2	2
r2.quiet.j.03637	1	1	1	1	3	1
r2.quiet.j.03638	1	1	1	1	1	1
r2.quiet.j.03640	1	1	1	1	1	1
r2.quiet.j.03641	2	2	2	1	2	1
r2.quiet.j.03642	1	2	1	1	1	1
r2.quiet.j.03646	1	1	1	1	1	1
r2.quiet.j.03648	1	1	1	1	1	1
r2.quiet.j.03649	2	2	2	2	2	44
r2.quiet.j.03651	1	2	1	1	1	1
