	101	102	111	113
r4.rate.n.03510	1	3	1	1
r4.rate.n.03518	4	4	4	4
r4.rate.n.03529	4	2	2	1&&2
r4.rate.n.03539	2	2	1	3
r4.rate.n.03547	4	2	2	1&&2
r4.rate.n.03556	4	4	4	1&&4
r4.rate.n.03563	45	45	45	45
r4.rate.n.03566	4	4	4	1&&4
r4.rate.n.03580	3	3	4	3
r4.rate.n.03586	1	3	1	1
r4.rate.n.03588	47	47	4	47
r4.rate.n.03614	4	4	1	1
r4.rate.n.03620	4	4	4	4
r4.rate.n.03621	4	2	2	1&&2
r4.rate.n.03628	4	2	2	1&&2
r4.rate.n.03634	45	45	45	45
r4.rate.n.03655	4	4	4	1&&4
r4.rate.n.03674	4	2	2	1&&2
r4.rate.n.03689	45	47	45	47
r4.rate.n.03691	45	45	45	45
r4.rate.n.03698	1	3	1	1
r4.rate.n.03704	4	2	2	1&&2
r4.rate.n.03715	1	3	1	1
r4.rate.n.03732	2	1	4	2
r4.rate.n.03735	4	4	4	1&&4
r4.rate.n.03739	2	2	2	2
r4.rate.n.03742	4	4	4	4
r4.rate.n.03749	2	2	2	2
r4.rate.n.03751	4	4	4	1&&4
r4.rate.n.03764	2	2	2	2
r4.rate.n.03798	3	3	4	3
r4.rate.n.03800	4	2	2	2
r4.rate.n.03812	4	3	4	1
r4.rate.n.03857	4	4	4	1&&4
r4.rate.n.03863	4	4	1	1
r4.rate.n.03865	2	2	2	2
r4.rate.n.03882	4	2	2	1&&2
r4.rate.n.03884	4	2	2	2
r4.rate.n.03894	4	4	4	1&&4
r4.rate.n.03897	4	4	4	1&&4
r4.rate.n.03902	2	2	2	2
r4.rate.n.03910	2	2	2	2
r4.rate.n.03914	1	3	1	1
r4.rate.n.03922	4	2	2	2
r4.rate.n.03932	2	2	2	2
r4.rate.n.03936	4	2	2	2
r4.rate.n.03937	2	3	2	1
r4.rate.n.03947	4	3	1	1
r4.rate.n.03950	4	4	4	1
r4.rate.n.03956	2	2	2	2
r4.rate.n.03965	2	2	2	2
r4.rate.n.03968	4	2	2	2
r4.rate.n.03969	47	47	3	47
r4.rate.n.03971	2	2	2	2
r4.rate.n.03972	4	2	2	2
r4.rate.n.03976	4	2	2	1&&2
r4.rate.n.04008	2	2	2	2
r4.rate.n.04010	4	2	2	2
r4.rate.n.04017	2	2	2	2
r4.rate.n.04023	4	2	2	1&&2
r4.rate.n.04037	45	45	46	47
r4.rate.n.04050	47	47	47	47
r4.rate.n.04057	4	4	4	1&&4
r4.rate.n.04095	4	4	1	1
r4.rate.n.04111	3	3	1	3
r4.rate.n.04126	1	3	1	1
r4.rate.n.04143	4	1	1	1&&4
r4.rate.n.04164	4	1	4	4
r4.rate.n.04172	3	1	1	1
r4.rate.n.04191	4	3	4	1&&4
r4.rate.n.04197	1	4	1	1
r4.rate.n.04205	1	3	1	1
r4.rate.n.04212	1	3	1	1
r4.rate.n.04232	4	4	4	1&&4
r4.rate.n.04240	4	4	4	1&&4
r4.rate.n.04251	1	3	4	4
r4.rate.n.04257	4	4	4	4
r4.rate.n.04259	4	3	4	1
r4.rate.n.04266	1	3	1	1
r4.rate.n.04271	4	4	1	1
r4.rate.n.04278	1	3	1	1
r4.rate.n.04294	4	4	4	1
r4.rate.n.04312	4	2	4	1
r4.rate.n.04321	4	4	4	1&&4
r4.rate.n.04329	1	3	4	1
r4.rate.n.04335	4	1	4	4
r4.rate.n.04340	4	4	4	4
r4.rate.n.04341	4	1	4	4
r4.rate.n.04346	4	4	4	4
r4.rate.n.04373	1	3	1	3
r4.rate.n.04378	2	2	2	2&&4
r4.rate.n.04386	4	4	2	2&&4
r4.rate.n.04409	2	3	2	1
r4.rate.n.04410	2	2	2	2
r4.rate.n.04420	2	2	2	2
r4.rate.n.04449	4	4	4	4
r4.rate.n.04457	2	2	2	2
r4.rate.n.04465	4	4	4	1&&4
r4.rate.n.04473	4	4	4	1&&4
r4.rate.n.04488	2	2	2	2
