	101	102	111	113
r6.read.v.05342	1	1	1	1
r6.read.v.05351	1	1	1	1
r6.read.v.05359	3	3	3	3
r6.read.v.05367	1	1	1	1
r6.read.v.05377	1	1	1	1
r6.read.v.05420	1	44	1	1
r6.read.v.05478	1	1	1	1
r6.read.v.05507	1	1	1	1
r6.read.v.05513	1	1	1	1
r6.read.v.05541	1	3	1	46
r6.read.v.05547	1	1	1	45
r6.read.v.05591	1	1	1	45
r6.read.v.05602	1	1	1	1
r6.read.v.05613	1	1	1	1
r6.read.v.05618	1	3	1	1
r6.read.v.05623	1	1	1	1
r6.read.v.05625	1	1	1	1
r6.read.v.05626	1	1	1	1
r6.read.v.05634	1	1	1	1
r6.read.v.05642	1	1	1	1
r6.read.v.05644	1	1	1	1
r6.read.v.05651	1	1	1	1
r6.read.v.05655	1	1	1	1
r6.read.v.05656	1	1	1	1
r6.read.v.05661	1	1	1	1
r6.read.v.05666	1	1	1	1
r6.read.v.05668	1	1	1	1
r6.read.v.05670	1	1	1	1
r6.read.v.05677	1	1	1	1
r6.read.v.05681	1	1	1	1
r6.read.v.05686	1	3	3	3
r6.read.v.05691	1	1	1	1
r6.read.v.05718	2	2	2	2
r6.read.v.05730	1	1	1	1
r6.read.v.05733	1	1	1	1
r6.read.v.05736	1	1	1	1
r6.read.v.05739	1	3	1	3
r6.read.v.05745	1	1	1	1
r6.read.v.05748	1	1	1	1
r6.read.v.05750	1	1	1	1
r6.read.v.05768	1	1	1	1
r6.read.v.05771	1	1	1	1
r6.read.v.05777	1	1	1	1
r6.read.v.05780	1	1	1	1
r6.read.v.05783	1	1	1	1
r6.read.v.05784	1	1	1	1
r6.read.v.05785	1	1	1	1
r6.read.v.05814	1	1	1	1
r6.read.v.05816	1	1	1	1
r6.read.v.05820	1	1	1	1
r6.read.v.05821	1	1	1	1
r6.read.v.05824	1	1	1	1
r6.read.v.05825	3	3	1	3
r6.read.v.05826	1	1	1	1
r6.read.v.05829	1	1	1	1
r6.read.v.05833	1	1	1	1
r6.read.v.05835	1	1	1	1
r6.read.v.05839	6	6	5	6
r6.read.v.05841	3	1	1	3
r6.read.v.05843	3	3	3	3
r6.read.v.05844	1	1	1	1
r6.read.v.05845	1	1	1	1
r6.read.v.05848	1	1	1	1
r6.read.v.05851	1	1	1	7
r6.read.v.05854	1	1	1	1
r6.read.v.05857	1	1	1	1
r6.read.v.05858	1	1	1	1
r6.read.v.05860	1	1	1	1
r6.read.v.05862	1	1	1	1
r6.read.v.05864	1	1	1	1
r6.read.v.05866	1	6	6	47
r6.read.v.05873	1	1	1	1
r6.read.v.05877	1	1	1	1
r6.read.v.05879	1	1	1	1
r6.read.v.05880	6	6	5	5
r6.read.v.05881	1	1	1	1&&6
r6.read.v.05883	1	1	1	1
r6.read.v.05885	1	2	2	1
r6.read.v.05887	1	1	1	1
r6.read.v.05888	2	2	1	2
r6.read.v.05889	1	1	1	11
r6.read.v.05890	1	1	1	1
r6.read.v.05891	1	1	1	1
r6.read.v.05892	1	1	1	1
r6.read.v.05893	1	1	1	1
r6.read.v.05894	1	1	1	1
r6.read.v.05895	11	11	1&&11	11
r6.read.v.05896	2	2	2	2
r6.read.v.05901	1	1	1	1
r6.read.v.05904	3	1	6	6
r6.read.v.05905	1	1	1	1
r6.read.v.05906	1	1	1	1
r6.read.v.06104	3	3	3	3
r6.read.v.06106	1	1	1	1
r6.read.v.06114	2	2	2	2
r6.read.v.06124	3	3	3	3
r6.read.v.06128	1	1	1	1
r6.read.v.06130	1	1	1	1
