	114	115
r11.recommend.v.05509	2	2
r11.recommend.v.05510	1	1
r11.recommend.v.05511	1	1
r11.recommend.v.05512	1	1
r11.recommend.v.05513	1	1
r11.recommend.v.05514	1	1
r11.recommend.v.05515	1	1
r11.recommend.v.05516	1	1
r11.recommend.v.05517	1	1
r11.recommend.v.05518	1	1
r11.recommend.v.05519	1	1
r11.recommend.v.05520	1	1
r11.recommend.v.05521	3	3
r11.recommend.v.05522	1	1
r11.recommend.v.05523	1	1
r11.recommend.v.05524	1	1
r11.recommend.v.05525	1	1
r11.recommend.v.05526	2	2
r11.recommend.v.05548	2	2
r11.recommend.v.05558	2	2
r11.recommend.v.05567	2	2
r11.recommend.v.05573	1	1
r11.recommend.v.05577	1	1
r11.recommend.v.05605	1	1
r11.recommend.v.05635	1	1
r11.recommend.v.05645	1	45
r11.recommend.v.05653	1	1
r11.recommend.v.05656	2	2
r11.recommend.v.05668	1	2
r11.recommend.v.05675	1	1
r11.recommend.v.05684	2	1
r11.recommend.v.05700	1	44
r11.recommend.v.05709	1	1
r11.recommend.v.05727	1	1
r11.recommend.v.05729	1	1
r11.recommend.v.05748	1	1
r11.recommend.v.05764	2	2
r11.recommend.v.05776	2	2
r11.recommend.v.05787	1	1
r11.recommend.v.05796	1	1
r11.recommend.v.05800	1	1
r11.recommend.v.05842	1	45
r11.recommend.v.05852	1	1
r11.recommend.v.05863	1	1
r11.recommend.v.05866	2	2
r11.recommend.v.05871	1	1
r11.recommend.v.05883	1	1
r11.recommend.v.05886	1	1
r11.recommend.v.05893	1	1
r11.recommend.v.05904	1	1
r11.recommend.v.05907	1	1
r11.recommend.v.05920	1	1
r11.recommend.v.05922	1	1
r11.recommend.v.05934	1	1
r11.recommend.v.05939	1	1
r11.recommend.v.05948	1	1
r11.recommend.v.05952	1	1
r11.recommend.v.05959	1	1
r11.recommend.v.05961	1	1
r11.recommend.v.06021	1	45
r11.recommend.v.06032	1	1
r11.recommend.v.06040	1	1
r11.recommend.v.06050	1	1
r11.recommend.v.06053	1	1
r11.recommend.v.06057	1	1
r11.recommend.v.06059	1	1
r11.recommend.v.06061	1	1
r11.recommend.v.06062	1	1
r11.recommend.v.06065	1	1
r11.recommend.v.06070	1	1
r11.recommend.v.06073	1	1
r11.recommend.v.06076	1	1
r11.recommend.v.06082	1	1
r11.recommend.v.06088	1	1
r11.recommend.v.06097	1	1
r11.recommend.v.06106	1	1
r11.recommend.v.06133	1	1
r11.recommend.v.06152	1	1
r11.recommend.v.06160	1	1
r11.recommend.v.06163	1	1
r11.recommend.v.06164	1	1
r11.recommend.v.06166	1	1
r11.recommend.v.06173	1	1
r11.recommend.v.06187	1	45
r11.recommend.v.06206	1	1
r11.recommend.v.06210	1	1
r11.recommend.v.06213	1	1
r11.recommend.v.06223	1	45
r11.recommend.v.06227	1	1
r11.recommend.v.06235	1	1
r11.recommend.v.06246	1	1
r11.recommend.v.06247	1	1
r11.recommend.v.06260	1	1
r11.recommend.v.06268	2	2
r11.recommend.v.06271	1	1
r11.recommend.v.06282	1	1
r11.recommend.v.06337	1	1
