	114	115
r11.refer.v.06338	4	4
r11.refer.v.06339	4	5
r11.refer.v.06340	4	4
r11.refer.v.06341	4	4
r11.refer.v.06342	4	4
r11.refer.v.06343	1	1
r11.refer.v.06344	2	1
r11.refer.v.06345	7	7
r11.refer.v.06346	7	7
r11.refer.v.06347	1	1
r11.refer.v.06348	1	1
r11.refer.v.06349	7	1
r11.refer.v.06350	6	1
r11.refer.v.06351	7	7
r11.refer.v.06352	2	1
r11.refer.v.06353	1	1
r11.refer.v.06354	6	1
r11.refer.v.06355	1	1
r11.refer.v.06356	1	1
r11.refer.v.06357	1	1
r11.refer.v.06358	1	1
r11.refer.v.06359	1	1
r11.refer.v.06360	2	6
r11.refer.v.06361	1	1
r11.refer.v.06362	6	6
r11.refer.v.06363	1	1
r11.refer.v.06364	1	1
r11.refer.v.06365	7	7
r11.refer.v.06366	1	1
r11.refer.v.06367	4	4
r11.refer.v.06368	7	1
r11.refer.v.06369	1	1
r11.refer.v.06370	4	4
r11.refer.v.06371	1	1
r11.refer.v.06372	1	4
r11.refer.v.06373	5	1
r11.refer.v.06374	6	1
r11.refer.v.06375	6	1
r11.refer.v.06376	7	1
r11.refer.v.06377	1	1
r11.refer.v.06378	1	1
r11.refer.v.06379	1	1
r11.refer.v.06380	6	1
r11.refer.v.06381	7	1
r11.refer.v.06382	1	5
r11.refer.v.06383	1	5
r11.refer.v.06384	1	5
r11.refer.v.06385	7	1
r11.refer.v.06431	1	1
r11.refer.v.06441	1	1
r11.refer.v.06445	1	1
r11.refer.v.06463	1	1
r11.refer.v.06477	6	6
r11.refer.v.06495	1	1
r11.refer.v.06502	6	1
r11.refer.v.06513	1	1
r11.refer.v.06528	7	1
r11.refer.v.06538	1	1
r11.refer.v.06573	6	1
r11.refer.v.06607	2	44
r11.refer.v.06610	1	1
r11.refer.v.06622	7	1
r11.refer.v.06628	4	4
r11.refer.v.06635	1	1
r11.refer.v.06686	6	1
r11.refer.v.06716	6	1
r11.refer.v.06775	7	1
r11.refer.v.06788	7	1
r11.refer.v.06815	1	1
r11.refer.v.06819	1	1
r11.refer.v.06821	1	1
r11.refer.v.06823	1	6
r11.refer.v.06909	7	1
r11.refer.v.06915	1	1
r11.refer.v.06918	6	1
r11.refer.v.06919	1	1
r11.refer.v.06921	2	1
r11.refer.v.06926	6	5
r11.refer.v.07023	7	1
r11.refer.v.07024	7	1
r11.refer.v.07026	7	7
r11.refer.v.07043	6	1
r11.refer.v.07061	1	1
r11.refer.v.07103	4	4
r11.refer.v.07125	7	1
r11.refer.v.07154	2	1
r11.refer.v.07157	6	1
r11.refer.v.07219	7	1
r11.refer.v.07235	4	4
r11.refer.v.07246	6	1
r11.refer.v.07248	6	1
r11.refer.v.07262	1	1
r11.refer.v.07301	7	1
r11.refer.v.07308	6	1
r11.refer.v.07325	7	1
