	107	108	109	111	113
r3.rip.v.04830	1	1	47	1	1
r3.rip.v.04831	1	1	47	1	1
r3.rip.v.04832	47	47	47	1	1
r3.rip.v.04833	47	47	47	1	1
r3.rip.v.04834	1	1	1	1&&4	1
r3.rip.v.04835	47	47	47	4	4
r3.rip.v.04836	47	47	47	4	4
r3.rip.v.04837	47	47	47	4	4
r3.rip.v.04838	1	1	1	4	1
r3.rip.v.04839	1	1	1	4	1
r3.rip.v.04840	1	1	1	1	1
r3.rip.v.04841	1	1	1	1	1
r3.rip.v.04842	1	1	1	1	1
r3.rip.v.04843	1	1&&2	1	1	1
r3.rip.v.04844	1	1	47	1	1
r3.rip.v.04845	1	1	47	1	1
r3.rip.v.04846	1	1	1	1	1
r3.rip.v.04847	47	47	47	4	4
r3.rip.v.04848	1	1	47	1	1
r3.rip.v.04849	1	1	47	1	1
r3.rip.v.04850	1	1	1	1	1
r3.rip.v.04851	3	3	3	3	3
r3.rip.v.04852	1	1	1	1	1
r3.rip.v.04853	47	47	47	4	4
r3.rip.v.04854	1	1	1	45	1&&3
r3.rip.v.04855	45	44	45	45	46
r3.rip.v.04856	46	1	47	1&&4	4
r3.rip.v.04857	1	1	1	1	1
r3.rip.v.04858	1	1	1	1	1
r3.rip.v.04859	47	47	47	4	4
r3.rip.v.04860	47	47	47	4	4
r3.rip.v.04861	1	1	47	1	1
r3.rip.v.04862	47	47	47	4	4
r3.rip.v.04863	47	47	47	4	4
r3.rip.v.04864	2	2	45	2	46
r3.rip.v.04865	1	1	1	1	1
r3.rip.v.04866	47	47	47	4	4
r3.rip.v.04867	47	47	47	4	4
r3.rip.v.04868	47	47	47	4	4
r3.rip.v.04869	47	47	47	4	4
r3.rip.v.04870	47	47	47	4	4
r3.rip.v.04871	47	47	47	4	4
r3.rip.v.04872	47	47	47	4	4
r3.rip.v.04873	47	47	47	4	4
r3.rip.v.04874	47	47	47	4	4
r3.rip.v.04875	47	47	47	4	4
r3.rip.v.04876	47	47	47	4	4
r3.rip.v.04877	47	4	47	1	1&&5
r3.rip.v.04878	1	1	1	1	1
r3.rip.v.04879	4	4	1	1	1&&5
r3.rip.v.04880	47	47	47	4	4
r3.rip.v.04881	1	1	1	1	1
r3.rip.v.04882	1	1	47	1	1
r3.rip.v.04883	2	2	2	2	2
r3.rip.v.04884	1	1	1	1	1
r3.rip.v.04885	47	47	47	1&&4	1
r3.rip.v.04886	1	1	1	1	1
r3.rip.v.04887	1	1	1	1	1
r3.rip.v.04888	1	1	1	1	1
r3.rip.v.04889	1	1	1	1	1
r3.rip.v.04890	47	47	47	4	4
r3.rip.v.04891	47	47	47	4	4
r3.rip.v.04892	1	1	1	1	1
r3.rip.v.04893	4	4	4	5	5
r3.rip.v.04894	1	1	1	4	1
r3.rip.v.04895	47	47	47	4	4
r3.rip.v.04896	1	1	47	1	1
r3.rip.v.04897	1	1	47	1	1
r3.rip.v.04898	47	1	46	4	4
r3.rip.v.04899	2	2	2	2	2
r3.rip.v.04900	1	1	44	1	1
r3.rip.v.04901	1	1	1	1	1
r3.rip.v.04902	4	4	4	5	4
r3.rip.v.04903	47	47	47	4	4
r3.rip.v.04904	45	45	45	45	46
r3.rip.v.04905	1	1	1	1	1
r3.rip.v.04906	1	1	1	1	1
r3.rip.v.04907	47	1	1	1	1
r3.rip.v.04908	1	1	47	1	1
r3.rip.v.04909	47	47	47	1	1&&3
r3.rip.v.04910	47	47	47	1	1
r3.rip.v.04911	2	2	2	2	2
r3.rip.v.04912	1	1	1	1	1
r3.rip.v.04913	1	1	1	1	1
r3.rip.v.04914	47	47	47	4	4
r3.rip.v.04915	47	47	47	4	4
r3.rip.v.04916	1	1	47	1	1
r3.rip.v.04917	1	1	47	1	1
