	114	115	116
r1.rule.v.01305	1	1	1
r1.rule.v.01306	1	1	1
r1.rule.v.01307	1	1	1
r1.rule.v.01308	1	1	1
r1.rule.v.01309	1	1	1
r1.rule.v.01310	1	1	1
r1.rule.v.01311	1	1	1
r1.rule.v.01314	4	4	4
r1.rule.v.01315	1	1	1
r1.rule.v.01316	4	4	4
r1.rule.v.01317	47	47	47
r1.rule.v.01318	47	47	47
r1.rule.v.01319	4	4	4
r1.rule.v.01320	47	47	47
r1.rule.v.01321	1	1	1
r1.rule.v.01322	47	47	47
r1.rule.v.01323	2	4	2
r1.rule.v.01324	4	4	4
r1.rule.v.01325	45	45	1
r1.rule.v.01326	2	4	2
r1.rule.v.01327	4	4	4
r1.rule.v.01328	4	4	4
r1.rule.v.01329	1	1	1
r1.rule.v.01330	1	1	1
r1.rule.v.01331	4	4	2
r1.rule.v.01332	45	45	1
r1.rule.v.01333	4	4	4
r1.rule.v.01334	4	4	4
r1.rule.v.01335	45	4	45
r1.rule.v.01336	47	47	47
r1.rule.v.01337	4	4	4
r1.rule.v.01338	47	47	47
r1.rule.v.01339	47	47	47
r1.rule.v.01340	47	47	47
r1.rule.v.01341	47	47	47
r1.rule.v.01342	4	4	4
r1.rule.v.01343	47	47	47
r1.rule.v.01344	3	1	3
r1.rule.v.01345	47	47	47
r1.rule.v.01346	4	4	4
r1.rule.v.01347	4	4	4
r1.rule.v.01348	4	4	4
r1.rule.v.01349	1	1	1
r1.rule.v.01350	47	47	47
r1.rule.v.01351	45	45	4
r1.rule.v.01352	3	1	3
r1.rule.v.01353	47	47	47
r1.rule.v.01354	47	47	47
r1.rule.v.01355	1	1	1
r1.rule.v.01356	47	47	47
r1.rule.v.01357	1	4	1
r1.rule.v.01358	47	47	47
r1.rule.v.01359	4	4	4
r1.rule.v.01360	47	47	47
r1.rule.v.01361	44	4	44
r1.rule.v.01362	47	47	47
r1.rule.v.01363	4	4	2
r1.rule.v.01364	3	1	1
r1.rule.v.01365	1	1	1
r1.rule.v.01366	47	47	47
r1.rule.v.01367	47	47	47
r1.rule.v.01368	47	4	47
r1.rule.v.01369	47	47	47
r1.rule.v.01370	47	47	47
r1.rule.v.01371	47	47	47
r1.rule.v.01372	47	47	47
r1.rule.v.01373	47	47	47
r1.rule.v.01374	47	47	47
r1.rule.v.01375	47	47	47
r1.rule.v.01376	47	47	47
r1.rule.v.01377	47	47	47
r1.rule.v.01378	47	47	47
r1.rule.v.01379	47	47	47
r1.rule.v.01380	47	47	47
r1.rule.v.01381	47	47	47
r1.rule.v.01382	4	4	4
r1.rule.v.01383	47	47	47
r1.rule.v.01384	47	47	47
r1.rule.v.01385	47	47	47
r1.rule.v.01386	47	47	47
r1.rule.v.01387	47	47	47
r1.rule.v.01388	47	47	47
r1.rule.v.01389	47	47	47
r1.rule.v.01390	47	47	47
r1.rule.v.01391	47	47	47
r1.rule.v.01392	1	1	1
r1.rule.v.01395	1	1	1
r1.rule.v.01396	1	1	1
r1.rule.v.01397	1	1	1
r1.rule.v.01398	1	1	1
r1.rule.v.01399	1	1	1
r1.rule.v.01400	1	1	1
r1.rule.v.01401	1	1	1
r1.rule.v.01402	1	1	1
r1.rule.v.01403	1	1	1
r1.rule.v.01404	1	1	1
r1.rule.v.01405	1	3	1
r1.rule.v.01406	1	1	1
