	101	102	103	105	107	108
r2.say.v.03655	2	2	2	2	2	2
r2.say.v.03683	2	2	2	2	2	1
r2.say.v.03684	1	1	1	1	1	1
r2.say.v.03726	1	1	1	3	2	2
r2.say.v.03735	1	1	2	1	1	2
r2.say.v.03740	1	1	2	1	1	2
r2.say.v.03745	1	1	1	1	1	1
r2.say.v.03748	1	1	1	1	1	8
r2.say.v.03760	1	1	1	1	8	1
r2.say.v.03763	1	1	1	1	1	1
r2.say.v.03780	1	1	6	1	8	44
r2.say.v.03788	2	2	2	2	2	2
r2.say.v.03801	1	8	5	8	8	8
r2.say.v.03818	2	2	2	2	2	2
r2.say.v.03821	1	8	1	8	8	1
r2.say.v.03822	1	2	2	1	1	1
r2.say.v.03824	1	1	2	3	2	2
r2.say.v.03828	1	8	1	1	8	1
r2.say.v.03838	1	1	1	8	1	8
r2.say.v.03840	1	1	1	1	8	1
r2.say.v.03852	1	8	2	8	8	1
r2.say.v.03856	1	8	1	7	7	1
r2.say.v.03859	1	8	1	8	8	8
r2.say.v.03865	1	1	1	47	9	1
r2.say.v.03884	1	8	2	8	1	1
r2.say.v.03887	1	8	6	4	8	8
r2.say.v.03888	1	8	1	8	8	8
r2.say.v.03898	1	1	2	2	2	2
r2.say.v.03906	2	2	2	1	2	1
r2.say.v.03943	1	8	1	8	8	8
r2.say.v.03945	2	2	2	1	1	1
r2.say.v.03954	2	2	2	2	2	2
r2.say.v.03968	1	8	1	8	8	1
r2.say.v.03983	1	1	2	1	1	1
r2.say.v.04005	1	2	2	2	2	2
r2.say.v.04048	2	4	2	1	11	2
r2.say.v.04068	1	8	6	8	8	1
r2.say.v.04091	2	2	2	2	1	2
r2.say.v.04098	1	2	2	2	1	2
r2.say.v.04100	2	1	2	1	1	2
r2.say.v.04113	2	3	1	1	3	1
r2.say.v.04147	1	8	1	8	1	1
r2.say.v.04183	1	2	2	2	2	1
r2.say.v.04189	2	2	2	2	2	2
r2.say.v.04199	2	2	2	2	2	2
r2.say.v.04212	5	5	1	8	8	1
r2.say.v.04224	2	1	2	2	2	2
r2.say.v.04233	3	3	3	3	3	45
r2.say.v.04237	2	2	2	2	2	2
r2.say.v.04245	1	1	1	1	1	1
r2.say.v.04246	1	2	1	1	1	1
r2.say.v.04248	2	2	2	1	1	2
r2.say.v.04252	3	3	3	3	3	45
r2.say.v.04262	1	2	2	8	2	1
r2.say.v.04271	1	1	2	3	3	9
r2.say.v.04274	1	9	2	3	3	9
r2.say.v.04278	1	1	1	1	1	1
r2.say.v.04284	1	1	1	1	9	2
r2.say.v.04294	2	3	1	3	3	2
r2.say.v.04298	1	3	1	1	1	2
r2.say.v.04316	1	2	2	1	9	3
r2.say.v.04338	2	2	4	4	1	4
r2.say.v.04347	1	8	1	8	1	8
r2.say.v.04356	2	2	2	2	2	2
r2.say.v.04357	2	1	2	2	1	2
r2.say.v.04358	1	1	2	2	1	1
r2.say.v.04368	2	1	2	1	1	1
r2.say.v.04372	1	8	1	8	8	8
r2.say.v.04373	1	8	1	8	1	1
r2.say.v.04385	2	1	2	2	9	1
r2.say.v.04386	2	1	1	1	1	9
r2.say.v.04391	1	8	1	8	1	1
r2.say.v.04393	1	1	1	1	1	1
r2.say.v.04394	2	2	2	1	9	2
r2.say.v.04399	1	8	1	8	8	8
r2.say.v.04410	1	8	1	8	1	8
r2.say.v.04428	1	8	2	8	8	1
r2.say.v.04433	1	8	2	8	1	1
r2.say.v.04476	2	2	2	1	2	2
r2.say.v.04480	1	1	2	1	9	1
r2.say.v.04492	1	8	1	8	8	1
r2.say.v.04498	2	3	2	2	2	2
r2.say.v.04499	1	9	2	2	1	1
r2.say.v.04510	2	2	2	2	2	2
r2.say.v.04512	2	9	2	2	1	2
r2.say.v.04517	2	1	2	2	2	2
r2.say.v.04520	2	2	2	2	2	2
r2.say.v.04535	47	46	46	46	46	45
r2.say.v.04540	2	2	2	2	2	2
r2.say.v.04562	2	2	2	2	2	2
r2.say.v.04567	2	2	2	2	2	2
r2.say.v.04573	2	2	2	2	4	2
r2.say.v.04585	2	1	2	2	2	2
r2.say.v.04586	2	2	2	2	2	2
r2.say.v.04604	1	9	2	8	8	1
r2.say.v.04609	2	2	2	2	2	2
r2.say.v.04610	1	1	2	1	1	1
r2.say.v.04612	2	2	2	2	2	2
r2.say.v.04633	4	4	4	4	4	4
