	101	102	111	115
r9.sense.n.08648	4	4	47	46
r9.sense.n.08649	1	1	1	1
r9.sense.n.08650	1	1	1	1
r9.sense.n.08651	1	1	3	1
r9.sense.n.08652	4	4	47	46
r9.sense.n.08653	5	1	47	1
r9.sense.n.08654	1	1	2	1
r9.sense.n.08655	4	4	47	46
r9.sense.n.08656	45	3	46	3
r9.sense.n.08657	45	3	46	3
r9.sense.n.08659	45	3	45	3
r9.sense.n.08660	5	1	47	1
r9.sense.n.08661	5	1	47	1
r9.sense.n.08662	1	1	1	1
r9.sense.n.08663	4	4	47	46
r9.sense.n.08664	4	4	47	46
r9.sense.n.08665	2	2	2	2
r9.sense.n.08666	4	4	47	46
r9.sense.n.08667	1	1	1	1
r9.sense.n.08668	1	1	1	1
r9.sense.n.08669	2	2	2	2
r9.sense.n.08670	1	1	47	46
r9.sense.n.08671	4	4	47	46
r9.sense.n.08672	2	2	2	2
r9.sense.n.08673	4	4	47	46
r9.sense.n.08674	2	2	2	2
r9.sense.n.08675	1	1	1	1
r9.sense.n.08676	1	1	2	1
r9.sense.n.08677	2	2	2	2
r9.sense.n.08678	2	2	2	2
r9.sense.n.08679	4	4	47	46
r9.sense.n.08680	1	1	1	2
r9.sense.n.08681	4	4	47	46
r9.sense.n.08682	4	4	47	46
r9.sense.n.08683	4	4	47	46
r9.sense.n.08684	2	2	2	2
r9.sense.n.08685	1	1	1	1
r9.sense.n.08686	1	1	1	1
r9.sense.n.08687	4	4	47	46
r9.sense.n.08688	1	2	2	1
r9.sense.n.08689	2	2	2	2
r9.sense.n.08690	4	4	47	4
r9.sense.n.08691	5	1	5	1
r9.sense.n.08692	1	1	1	1
r9.sense.n.08693	1	1	1	1
r9.sense.n.08694	1	1	1	1
r9.sense.n.08695	1	1	1	1
r9.sense.n.08696	2	1	1	2
r9.sense.n.08697	2	1	2	2
r9.sense.n.08698	2	2	2	2
r9.sense.n.08699	2	1	2	2
r9.sense.n.08700	45	45	45	45
r9.sense.n.08701	2	2	2	2
r9.sense.n.08702	2	2	2	2
r9.sense.n.08703	4	4	47	46
r9.sense.n.08704	4	4	47	46
r9.sense.n.08705	4	4	3	4
r9.sense.n.08706	4	4	1	1
r9.sense.n.08707	5	1	47	1
r9.sense.n.08708	1	4	3	4
r9.sense.n.08709	1	4	3	4
r9.sense.n.08710	4	4	47	46
r9.sense.n.08711	2	2	2	2
r9.sense.n.08712	4	4	47	46
r9.sense.n.08714	1	1	47	1
r9.sense.n.08715	1	1	1	1
r9.sense.n.08716	2	1	1	1
r9.sense.n.08717	2	2	2	2
r9.sense.n.08718	1	1	1	1
r9.sense.n.08719	1	1	1	1
r9.sense.n.08720	1	1	1	1
r9.sense.n.08721	1	1	1	1
r9.sense.n.08722	1	1	1	1
r9.sense.n.08723	1	1	1	1
r9.sense.n.08724	1	1	1	1
r9.sense.n.08725	1	1	1	1
r9.sense.n.08726	1	1	1	1
r9.sense.n.08727	4	4	47	46
r9.sense.n.08728	4	4	47	46
r9.sense.n.08730	4	4	4	1
r9.sense.n.08833	1	1	1	1
r9.sense.n.08860	4	4	47	4
r9.sense.n.08882	4	4	4	4
r9.sense.n.08916	2	2	2	2
r9.sense.n.08939	1	1	1	1
r9.sense.n.08981	2	2	2	2
r9.sense.n.08990	5	4	5	1
r9.sense.n.08997	2	2	2	2
r9.sense.n.09022	1	1	1	1
r9.sense.n.09038	1	1	1	1
r9.sense.n.09079	4	4	4	4
r9.sense.n.09097	2	2	2	2
r9.sense.n.09218	2	2	2	2
r9.sense.n.09286	2	2	2	2
r9.sense.n.09344	2	2	2	2
r9.sense.n.09594	2	2	2	2
r9.sense.n.09604	1	1	1	1
